"ANO_ELEICAO","NUM_TURNO","UF","CODIGO_CARGO","NUMERO_CANDIDATO","QTDE_VOTOS"
"2018","1","AC","3","17","45032"
"2018","1","AC","3","70","1215"
"2014","1","AC","3","25","76218"
"2018","1","AC","3","13","144071"
"2014","1","AC","3","50","2171"
"2014","1","AC","3","95","6153"
"2014","1","AC","3","45","116948"
"2018","1","AC","3","95","7238"
"2018","1","AC","3","96","19115"
"2014","1","AC","3","13","193253"
"2018","1","AC","3","18","2765"
"2018","1","AC","3","11","223993"
"2014","1","AC","3","96","24029"
"2014","2","AC","3","45","186658"
"2014","2","AC","3","96","8480"
"2014","2","AC","3","95","2510"
"2014","2","AC","3","13","196509"
"2014","1","AL","3","45","101757"
"2014","1","AL","3","21","3950"
"2018","1","AL","3","29","2509"
"2014","1","AL","3","95","127767"
"2014","1","AL","3","51","2732"
"2014","1","AL","3","15","670310"
"2018","1","AL","3","50","56169"
"2014","1","AL","3","96","199638"
"2014","1","AL","3","36","7879"
"2018","1","AL","3","17","143208"
"2018","1","AL","3","95","103344"
"2014","1","AL","3","19","1820"
"2018","1","AL","3","15","1001053"
"2018","1","AL","3","90","94653"
"2014","1","AL","3","11","435827"
"2014","1","AL","3","50","60816"
"2018","1","AL","3","96","291939"
"2018","1","AM","3","20","596585"
"2014","1","AM","3","21","4196"
"2018","1","AM","3","96","149036"
"2014","1","AM","3","40","179758"
"2014","1","AM","3","15","709058"
"2018","1","AM","3","12","579016"
"2018","1","AM","3","95","39614"
"2014","1","AM","3","90","707151"
"2018","1","AM","3","16","1324"
"2018","1","AM","3","40","417203"
"2014","1","AM","3","33","29499"
"2014","1","AM","3","50","8448"
"2014","1","AM","3","16","4897"
"2018","1","AM","3","50","5433"
"2014","1","AM","3","95","42160"
"2018","1","AM","3","55","142804"
"2014","1","AM","3","96","106650"
"2018","1","AM","3","65","26403"
"2014","2","AM","3","95","26208"
"2018","2","AM","3","12","733414"
"2014","2","AM","3","15","696465"
"2014","2","AM","3","90","869992"
"2018","2","AM","3","96","120198"
"2018","2","AM","3","95","20364"
"2018","2","AM","3","20","1033954"
"2014","2","AM","3","96","129621"
"2014","1","AP","3","55","53079"
"2018","1","AP","3","12","133214"
"2018","1","AP","3","25","94278"
"2014","1","AP","3","96","20023"
"2014","1","AP","3","40","105445"
"2014","1","AP","3","70","30135"
"2014","1","AP","3","23","27045"
"2014","1","AP","3","95","4808"
"2018","1","AP","3","40","119500"
"2014","1","AP","3","12","161550"
"2018","1","AP","3","96","22757"
"2014","1","AP","3","21","455"
"2018","1","AP","3","95","6618"
"2018","1","AP","3","16","4818"
"2018","1","AP","3","17","45197"
"2014","1","AP","3","16","5306"
"2014","2","AP","3","96","20567"
"2014","2","AP","3","40","143311"
"2014","2","AP","3","95","4946"
"2014","2","AP","3","12","220256"
"2018","2","AP","3","96","22253"
"2018","2","AP","3","40","174540"
"2018","2","AP","3","12","191741"
"2018","2","AP","3","95","6169"
"2018","1","BA","3","18","31198"
"2014","1","BA","3","13","3558975"
"2018","1","BA","3","95","314605"
"2014","1","BA","3","95","496697"
"2018","1","BA","3","50","44702"
"2014","1","BA","3","40","432379"
"2018","1","BA","3","25","1502266"
"2018","1","BA","3","28","38960"
"2014","1","BA","3","16","16788"
"2018","1","BA","3","29","3100"
"2014","1","BA","3","25","2440409"
"2018","1","BA","3","15","33266"
"2014","1","BA","3","50","50891"
"2014","1","BA","3","96","794912"
"2018","1","BA","3","13","5096062"
"2018","1","BA","3","96","1170405"
"2014","1","BA","3","28","27781"
"2014","1","CE","3","50","102394"
"2018","1","CE","3","13","3457556"
"2014","1","CE","3","40","144507"
"2018","1","CE","3","96","672245"
"2014","1","CE","3","13","2039233"
"2018","1","CE","3","16","5060"
"2018","1","CE","3","50","90611"
"2018","1","CE","3","95","246430"
"2018","1","CE","3","45","488438"
"2014","1","CE","3","95","303440"
"2014","1","CE","3","96","438492"
"2018","1","CE","3","17","282456"
"2014","1","CE","3","15","1979499"
"2018","1","CE","3","29","694"
"2014","2","CE","3","13","2417668"
"2014","2","CE","3","15","2113940"
"2014","2","CE","3","95","101772"
"2014","2","CE","3","96","272099"
"2014","1","DF","3","22","428522"
"2014","1","DF","3","13","307500"
"2018","1","DF","3","16","1272"
"2018","1","DF","3","25","88840"
"2018","1","DF","3","50","65648"
"2014","1","DF","3","50","34689"
"2014","1","DF","3","29","2432"
"2014","1","DF","3","40","692855"
"2018","1","DF","3","44","110973"
"2018","1","DF","3","55","169785"
"2018","1","DF","3","96","113619"
"2018","1","DF","3","40","210510"
"2014","1","DF","3","96","78398"
"2018","1","DF","3","13","60592"
"2018","1","DF","3","15","634008"
"2018","1","DF","3","95","66576"
"2014","1","DF","3","45","68305"
"2018","1","DF","3","30","63261"
"2018","1","DF","3","90","105579"
"2018","1","DF","3","29","729"
"2014","1","DF","3","95","61807"
"2018","2","DF","3","40","451329"
"2014","2","DF","3","96","152701"
"2014","2","DF","3","22","649587"
"2018","2","DF","3","15","1042574"
"2018","2","DF","3","95","58471"
"2014","2","DF","3","95","42037"
"2018","2","DF","3","96","134856"
"2014","2","DF","3","40","812036"
"2018","1","ES","3","19","105754"
"2014","1","ES","3","40","751293"
"2014","1","ES","3","13","114691"
"2014","1","ES","3","50","21044"
"2014","1","ES","3","95","117000"
"2018","1","ES","3","40","1072224"
"2018","1","ES","3","96","175988"
"2018","1","ES","3","95","114918"
"2014","1","ES","3","21","2126"
"2018","1","ES","3","50","22875"
"2014","1","ES","3","15","1020440"
"2014","1","ES","3","96","123653"
"2018","1","ES","3","13","142654"
"2018","1","ES","3","17","525973"
