"ANO_ELEICAO","NUM_TURNO","COD_MUN_TSE","SIGLA_UE","CODIGO_CARGO","NUMERO_CANDIDATO","QTDE_VOTOS"
"2016","1","52990",,"11","95","376"
"2016","1","06084","06084","11","25","816"
"2016","1","50237","50237","11","15","14355"
"2016","1","51713","51713","11","25","1491"
"2016","1","40576",,"11","96","467"
"2016","1","06025","06025","11","22","2320"
"2016","1","52418","52418","11","40","2474"
"2016","1","41386","41386","11","19","812"
"2016","1","41114",,"11","95","4938"
"2012","1","06173","06173","11","65","1839"
"2016","1","41963","41963","11","14","2667"
"2016","1","45551","45551","11","14","1847"
"2016","1","45870",,"11","95","45"
"2012","1","06157","06157","11","70","5252"
"2016","1","46736","46736","11","43","5423"
"2016","1","49875","49875","11","12","905"
"2016","1","53236",,"11","95","94"
"2012","1","00574","00574","11","15","4064"
"2016","1","50431","50431","11","11","10557"
"2016","1","41289","41289","11","25","2123"
"2016","1","40606",,"11","95","39"
"2012","1","00663","00663","11","45","2229"
"2016","1","52256","52256","11","15","1884"
"2016","1","47333","47333","11","16","1638"
"2016","1","41874",,"11","95","205"
"2012","1","00272","00272","11","15","4154"
"2016","1","47112","47112","11","22","1797"
"2016","1","40975","40975","11","12","6131"
"2016","1","41874",,"11","96","881"
"2012","1","00582","00582","11","14","1536"
"2016","1","44970","44970","11","13","461"
"2016","1","48976","48976","11","45","1270"
"2016","1","45918",,"11","96","249"
"2012","1","00493","00493","11","15","2391"
"2016","1","46132","46132","11","14","2624"
"2016","1","48330","48330","11","22","1890"
"2016","1","50237",,"11","96","2003"
"2012","1","00450","00450","11","14","2889"
"2016","1","51179","51179","11","15","1790"
"2016","1","41238","41238","11","50","48715"
"2016","1","51519",,"11","96","105"
"2012","1","00671","00671","11","45","2867"
"2016","1","51977","51977","11","15","7594"
"2016","1","46515","46515","11","13","1685"
"2016","1","41130",,"11","96","186"
"2012","1","00310","00310","11","15","7465"
"2016","1","47635","47635","11","10","7489"
"2016","1","49239","49239","11","11","2402"
"2016","1","42560",,"11","95","66"
"2016","1","31003","31003","11","15","2030"
"2016","1","41114","41114","11","40","14291"
"2016","1","41920","41920","11","15","623"
"2016","1","44539",,"11","96","172"
"2016","1","31011","31011","11","22","1497"
"2016","1","41017","41017","11","65","4954"
"2016","1","52272","52272","11","25","1844"
"2016","1","50970",,"11","96","364"
"2016","1","32239","32239","11","43","210"
