"ANO_ELEICAO","NUM_TURNO","UF","CODIGO_CARGO","NUMERO_CANDIDATO","QTDE_VOTOS"
"2014","1","AC","1","27","282"
"2018","1","AC","1","12","21809"
"2018","1","AC","1","19","1531"
"2018","1","AC","1","18","10557"
"2014","1","AC","1","13","111641"
"2014","1","AC","1","20","1203"
"2014","1","AC","1","28","639"
"2018","1","AC","1","54","113"
"2014","1","AC","1","16","112"
"2018","1","AC","1","96","16357"
"2014","1","AC","1","50","867"
"2018","1","AC","1","45","33115"
"2018","1","AC","1","50","1642"
"2014","1","AC","1","95","4344"
"2014","1","AC","1","21","68"
"2014","1","AC","1","29","14"
"2018","1","AC","1","15","6458"
"2018","1","AC","1","95","5499"
"2014","1","AC","1","96","15539"
"2014","1","AC","1","45","116109"
"2018","1","AC","1","17","262508"
"2018","1","AC","1","16","80"
"2018","1","AC","1","27","241"
"2018","1","AC","1","30","1990"
"2018","1","AC","1","13","78170"
"2014","1","AC","1","40","167603"
"2018","1","AC","1","51","3564"
"2014","1","AC","1","43","597"
"2014","2","AC","1","96","8234"
"2018","2","AC","1","13","86977"
"2014","2","AC","1","13","138982"
"2014","2","AC","1","45","243677"
"2018","2","AC","1","17","294899"
"2018","2","AC","1","95","6594"
"2018","2","AC","1","96","10659"
"2014","2","AC","1","95","3480"
"2018","1","AL","1","12","155457"
"2018","1","AL","1","17","528355"
"2018","1","AL","1","27","410"
"2014","1","AL","1","20","8413"
"2018","1","AL","1","13","687247"
"2018","1","AL","1","51","19106"
"2014","1","AL","1","40","356803"
"2018","1","AL","1","54","421"
"2014","1","AL","1","13","703809"
"2014","1","AL","1","29","125"
"2018","1","AL","1","95","46692"
"2014","1","AL","1","95","71611"
"2018","1","AL","1","16","744"
"2014","1","AL","1","16","1197"
"2018","1","AL","1","50","8863"
"2014","1","AL","1","96","131942"
"2018","1","AL","1","19","5128"
"2018","1","AL","1","18","15843"
"2014","1","AL","1","43","3552"
"2018","1","AL","1","30","11697"
"2018","1","AL","1","15","43895"
"2014","1","AL","1","45","311830"
"2014","1","AL","1","50","15236"
"2018","1","AL","1","45","58580"
"2014","1","AL","1","21","892"
"2018","1","AL","1","96","111065"
"2014","1","AL","1","28","7069"
"2014","1","AL","1","27","610"
"2014","2","AL","1","45","574322"
"2018","2","AL","1","95","25919"
"2018","2","AL","1","96","96413"
"2014","2","AL","1","13","941445"
"2018","2","AL","1","17","610093"
"2014","2","AL","1","95","25003"
"2014","2","AL","1","96","63302"
