"CODIGO_CARGO","SIGLA_UE","NOME_CANDIDATO","NOME_URNA_CANDIDATO","NUM_TURNO","ANO_ELEICAO","NUMERO_CANDIDATO","SIGLA_UF"
1,"BR","ALESSANDRO VIEIRA","ALESSANDRO VIEIRA",1,2022,-10038,NA
1,"BR","ANDRE JANONES","ANDRE JANONES",1,2022,-10000,NA
1,"BR","LUCIANO BIVAR","LUCIANO BIVAR",1,2022,-10028,NA
1,"BR","MANDETTA","MANDETTA",1,2022,-10045,NA
1,"BR","PADRE KELMON","PADRE KELMON",1,2022,-10046,NA
1,"BR","RODRIGO PACHECO","RODRIGO PACHECO",1,2022,-10013,NA
1,"BR","SERGIO MORO","SERGIO MORO",1,2022,-10001,NA
3,"MG","AECIO NEVES","AECIO NEVES",1,2022,-10039,NA
3,"MG","CLEITINHO","CLEITINHO",1,2022,-10047,NA
3,"MG","DANIEL SUCUPIRA","DANIEL SUCUPIRA",1,2022,-10040,NA
3,"MG","MIGUEL CORREA","MIGUEL CORREA",1,2022,-10009,NA
3,"MG","SARAIVA FELIPE","SARAIVA FELIPE",1,2022,-10048,NA
3,"MG","VITTORIO MEDIOLI","VITTORIO MEDIOLI",1,2022,-10049,NA
5,"MG","AECIO NEVES","AECIO NEVES",1,2022,-10017,NA
5,"MG","DUDA SALABERT","DUDA SALABERT",1,2022,-10018,NA
5,"MG","JULVAN LACERDA","JULVAN LACERDA",1,2022,-10042,NA
5,"MG","MARCELO ALVARO ANTONIO","MARCELO ALVARO ANTONIO",1,2022,-10005,NA
5,"MG","PAULO PIAU","PAULO PIAU",1,2022,-10034,NA
5,"MG","REGINALDO LOPES","REGINALDO LOPES",1,2022,-10024,NA
3,"RJ","ANDRE CECILIANO","ANDRE CECILIANO",1,2022,-10029,NA
3,"RJ","ANTHONY GAROTINHO","ANTHONY GAROTINHO",1,2022,-10021,NA
3,"RJ","CORONEL EMIR LARANGEIRA","CORONEL EMIR LARANGEIRA",1,2022,-10030,NA
3,"RJ","FELIPE SANTA CRUZ","FELIPE SANTA CRUZ",1,2022,-10004,NA
3,"RJ","MILTON TEMER","MILTON TEMER",1,2022,-10031,NA
3,"RJ","SANTA CRUZ","SANTA CRUZ",1,2022,-10050,NA
5,"RJ","LUCIANA BOITEUX","LUCIANA BOITEUX",1,2022,-10035,NA
5,"RJ","MARCELO CRIVELLA","MARCELO CRIVELLA",1,2022,-10043,NA
5,"RJ","OTONI PAULA","OTONI PAULA",1,2022,-10025,NA
5,"RJ","WASHINGTON REIS","WASHINGTON REIS",1,2022,-10011,NA
3,"RS","BETO ALBUQUERQUE","BETO ALBUQUERQUE",1,2022,-10008,NA
3,"RS","GABRIEL SOUZA","GABRIEL SOUZA",1,2022,-10014,NA
3,"RS","JOSE IVO SARTORI","JOSE IVO SARTORI",1,2022,-10041,NA
3,"RS","PEDRO RUAS","PEDRO RUAS",1,2022,-10015,NA
3,"RS","RANOLFO VIEIRA JUNIOR","RANOLFO VIEIRA JUNIOR",1,2022,-10022,NA
3,"RS","ROMILDO BOLZAN JUNIOR","ROMILDO BOLZAN JUNIOR",1,2022,-10051,NA
5,"RS","JOSE IVO SARTORI","JOSE IVO SARTORI",1,2022,-10036,NA
5,"RS","LASIER MARTINS","LASIER MARTINS",1,2022,-10012,NA
5,"RS","MANUELA DAVILA","MANUELA DAVILA",1,2022,-10019,NA
5,"RS","NELSON MARCHEZAN JUNIOR","NELSON MARCHEZAN JUNIOR",1,2022,-10055,NA
5,"RS","PAULO ROBERTO ROSA","PAULO ROBERTO ROSA",1,2022,-10056,NA
5,"RS","ROMILDO BOLZAN JUNIOR","ROMILDO BOLZAN JUNIOR",1,2022,-10057,NA
3,"SP","ABRAHAM WEINTRAUB","ABRAHAM WEINTRAUB",1,2022,-10010,NA
3,"SP","ALDO REBELO","ALDO REBELO",1,2022,-10052,NA
3,"SP","FELICIO RAMUTH","FELICIO RAMUTH",1,2022,-10003,NA
3,"SP","GUILHERME BOULOS","GUILHERME BOULOS",1,2022,-10032,NA
3,"SP","JANAINA PASCHOAL","JANAINA PASCHOAL",1,2022,-10053,NA
3,"SP","JOAO DORIA","JOAO DORIA",1,2022,-10023,NA
3,"SP","MARCIO FRANCA","MARCIO FRANCA",1,2022,-10002,NA
3,"SP","RENATA ABREU","RENATA ABREU",1,2022,-10033,NA
3,"SP","RICARDO MELLAO","RICARDO MELLAO",1,2022,-10054,NA
5,"SP","CARLA ZAMBELLI","CARLA ZAMBELLI",1,2022,-10037,NA
5,"SP","HENI OZI CUKIER","HENI OZI CUKIER",1,2022,-10026,NA
5,"SP","JOSE ANIBAL","JOSE ANIBAL",1,2022,-10044,NA
5,"SP","JOSE LUIZ DATENA","JOSE LUIZ DATENA",1,2022,-10006,NA
5,"SP","MARINA SILVA","MARINA SILVA",1,2022,-10058,NA
5,"SP","MILTON LEITE","MILTON LEITE",1,2022,-10016,NA
5,"SP","NISE YAMAGUCHI","NISE YAMAGUCHI",1,2022,-10007,NA
5,"SP","PAULO SKAF","PAULO SKAF",1,2022,-10020,NA
5,"SP","SERGIO MORO","SERGIO MORO",1,2022,-10027,NA
