"NR_CNPJ_EMPRESA","NM_EMPRESA"
"04942645000102","J.J. Coelho"
"02170847000140","DATA CONTROL - Instituto de Pesquisa Ltda"
"68802370000186","IBOPE INTELIGÊNCIA PESQUISA E CONSULTORIA LTDA."
"07596217000155","FONTE REAL  GGE LTDA ME"
"08984712000102","F. FAÇANHA DE ALMEIDA"
"10595124000110","IBRAPE PESQUISA LTDA"
"12503801000159","GAZETA DE ALAGOAS LTDA"
"03568752000141","EMPRESA DE PESQUISAS TÉCNICAS- EIRELI"
"05207553000133","TELES CONSULTORIA E ASSESSORIA EMPRESARIAL S/S"
"13912963000103","Pedro Henrique de Souza Mendonça Lobo"
"86849395000117","Sensus Data World Pesquisa e Consultoria S/C Ltda"
"09283689000183","PROMÍDIA PESQUISAS DE OPINIÃO PÚBLICA E MARKETING"
"00852501000104","VOX OPINIÃO PESQUISA E PROJETOS LTDA"
"14101311000151","SAMUEL ALMEIDA DA SILVA"
"13934779000164","francisco manoel santos 10078926416"
"01864538000107","IPEN INSTITUTO DE PESQUISA DO NORTE LTDA"
"06023655000161","A F SOARES MARKETING E PESQUISAS DE MERCADO LTDA"
"84480946000192","D M Duarte"
"66990367000108","DataPress Instituto de Pesquisa, Comunicação e Publicidade Ltda."
"10572939000184","INSTITUTO PREVISÃO"
"10601194000134","N M MARANHÃO-ME"
"03079221000195","DMP DESIGN MARKETING E PROPAGANDA LTDA"
"04816658000127","EDITORA ANA CASSIA LTDA"
"39253182000148","GPP PLANEJAMENTO E PESQUISA LTDA"
"10795444000114","Censusdata Ltda ME"
"07317438000147","DOXA COMUNICAÇÃO INTEGRADA S/S LTDA"
"83582734000153","Bureau de Marketing e Pesquisa Ltda."
"05706042000166","Ecos Serviços Ltda"
"08263490000120","R.C.G.C.Lopes ME - Mentor Pesquisas"
"02911405000107","Garanti Sociedade Civil Ltda"
"08210871000141","ANCORA PESQUISA E MARKETINK LTDA ME"
"15299211000144","CONSULTE - CONSULTORIA, SELEÇÃO E OPINIÃO PÚBLICA"
"16730633000195","JADER DA SILVA CEDRAZ"
"09315824000125","Instituto Soma de Pesquisa de Opinião Pública"
"05357278000134","CAMPUS CENTRO DE ESTUDOS E PESQUISA DE OPINIÃO LTDA"
"40645707000170","Instituto de Estudos Pesquisas e Desenvolvmiento Municipal"
"12019687000196","SECULUS ANALISE E PESQUISA DE OPINIÃO LTDA"
"16096182000186","P&A - Instituto de Pesquisa e Anal Soc e Economica Ltda."
"16502103000190","A B SANTOS"
"05949626000162","IBEL - INSTITUTO BAIANO DE ESTATÍSTICAS LTDA"
"08691707000101","COMPET CONSULTORIA, MARKETING, PESQUISAS E TREINAMENTOS LTDA"
"34367987000107","Opinião. Marketing, Publicidade, Promoções e Serviços LTDA"
"03688568000135","TECNODADOS Projetos e Pesquisas LTDA"
"08624076000108","Jornal O Eco Ltda"
"13273587000154","GASPARETTO PESQUISAS E ESTATÍSTICAS LTDA-ME"
"04061427000150","Folha Regional S/C LTDA"
"02424348000131","Economic Cat Administração Pública, Empresarial e Marketing Ltda"
"09607039000146","BRAPEG - BRASIL PESQUISA E GESTÃO LTDA"
"09042642000128","Carlos Farani Paranhos de Azevedo"
"03896981000195","COOPERFIL - PRODUTOS E SERVIÇOS DE COMUNICAÇÃO LTDA"
"05643737000146","Eleva Tecnologia LTDA"
"07118724000183","INSTITUTO COMPASSO CONSULTORIA  EMPRESARIAL  E GOVERNAMENTAL  LTDA"
"08326128000151","Consultoria e Capacitação Pedagógica LTDA"
"12032011000132","AMPLA - PROJETOS E CONSULTORIA"
"04583866000123","DATAQUALY PESQUISA DE MERCADO E OPINIÃO LTDA."
"06029551000164","BABESP - BAHIA, PESQUISA E ESTATÍSTICA LTDA ME"
"08719751000174","INSTITUTO DE DESENVOLVIMENTO DA EDUCAÇÃO E DA SAÚDE PÚBLICA"
"03127178000196","JRM CONSULTORIA EMPRESARIAL LTDA"
"14874771000112","JAILSON ARAUJO MANGABEIRA"
"09087858000100","Opinião Pesquisas e Marketing Ltda"
"11661310000173","SIST-Sistema Compasso de Consultoria e Pesquisa LTDA."
"03556888000131","Larcerte Consultoria Empresarial Treinamentos e Eventos Ltda EPP"
"05771708000160","IPESQ-PROJETOS E PESQUISAS LTDA"
"12265777000167","INSTITUTO DE PESQUISA INSIGHT LTDA - ME"
"02794806000124","Quattuor Desenvolvimento Empresarial LTDA"
"01076070000196","MS CONSULTORIA MARKETING E PESQUISA LTDA"
"42686865000101","OBJETIVA EMPREENDIMENTOS E PUBLICIDADES LTDA - ME"
