norm_est,est_id
1334,1
2123,NA
4233 A,NA
7655,2
7877 A 1° REGIAO,3
8151,4
8233,5
8233 A,5
ADEMIR DOURADO SAMPAIO,6
ADERCIO APARECIDO MELO,7
ADRIANO RODRIGUES,8
ADRIANO VON PFUHL RODRIGUES,8
AGELA CRISTINA MAIA REIS,9
AGUSTO SILVA ROCHA,2
ALAN IOSHIKAZU OFUJI,10
ALAN OFUJI,10
ALBERTO ARROYO FARIAS,11
ALELXANDRE VASCONCELOS LIMA,12
ALESSANDRO SOARES FREITAS,13
ALESSANDRO ZITO GOMES,14
ALEX RAIA,15
ALEX RAIA SILVA,15
ALEX SANTOS,16
ALEX SANTOS COSTA,16
ALEXANDRE ARAUJO GARCIA,17
ALEXANDRE SILVA LIMA,18
ALEXANDRE VACONCELOS LIMA,12
ALEXANDRE VASCONCELO LIMA,12
ALEXANDRE VASCONCELOS,12
ALEXANDRE VASCONCELOS LIIMA,12
ALEXANDRE VASCONCELOS LIMA,12
ALEXANDRE VASCONCELOSLIMA,12
ALEXANDRE VASCONCEOS LIMA,12
ALEXANDRE VASONCELOS LIMA,12
ALEXANDRO TELES OLIVEIRA,19
ALEXSANDRA FERNANDES CAETANO,20
ALEXSANDRA ROSA,21
ALEXSANDRE MIRANDA ALENCAR,22
ALGUSTO SILVA ROCHA,2
ALICE NASCIMENTO ASIS,23
ALICE NASCIMENTO ASSIS,23
ALINE CASTELLO BRANCO MANCUSO,24
ALINE MORAES,25
ALINE YURI TANAKA,26
ALLYSON FERNANDES LIANDRO,27
ALMIR MIRANDA FERREIRA,28
ALVES SANTOS,29
ALYNE NEVES SILVA,30
AMAIKE KERIC ALVES SILVA,31
AMANDA CRISTIANE GONCALVES FERNANDES,32
AMAURY MACEDO NASCIMENTO,33
AMIR MIRANDA FERREIRA,34
ANA CATARINA XAVIER LEMOS,35
ANDERSON SILVA MACEDO,36
ANDRE LUIS WILLY CASTRO,37
ANDRE LUIZ SENA ROCHA,38
ANDREA SILVA NUNES,39
ANDREIA ADELAIDE ANGELOTI MARCON,40
ANDRESSA KUSCHENKO,41
ANDRESSA KUSTCHENKO,41
ANDRESSA KUSTHENCO,41
ANDRESSA KUSTHENKO,41
ANDRESSA KUTCHENKO,41
ANDRESSA KUTHENKO,41
ANDRESSA KUTSCHENKO,41
ANDRIGO RODRIGUES,42
ANGELA CRISTIA MAIA REIS,43
ANGELA CRISTIMA MAIA REIS,43
ANGELA CRISTINA MAIA REIS,43
ANGELA CRISTINA MAIS REIS,43
ANGELA CRITINA MAIA CRUZ,43
ANGERLA CRISTINA MAIS REAIS,43
ANILTON OLIVEIRA ANTUNES,44
ANTONIO BRAZIL VIANA JUNIOR,45
ANTONIO CARLOS R BARBOSA,46
ANTONIO CARLOS R BARBOSAS,46
ANTONIO CARLOS RODRIGUES BARBOSA,46
ANTONIO CARLOSBARBOSA,46
ANTONIO FERNANDO NOCETI BAHIA,47
ANTONIO UMBERTO OLIVEIRA,48
APOLO FRANCO,49
APOLO FRANCO NOVAES SANTOS,49
AQUILES FIAMENGUE NETO,50
ARGEMIRO DIAS SOARES,51
ARMONI CRUZ SANTOS,52
AUGUSTO ROCHA,2
AUGUSTO ROCHA SILVA,2
AUGUSTO S ROCHA,2
AUGUSTO SA SILVA ROCHA,2
AUGUSTO SILA ROCHA,2
AUGUSTO SILVA,2
AUGUSTO SILVA RCHA,2
AUGUSTO SILVA ROCHA,2
AUGUSTO SILVA ROCJA,2
AUGUSTO SILVA ROHA,2
AUGUSTO SIVA ROCHA,2
AUGUSTODA SILVA ROCHA,2
AUGUSTP SILVA ROCHA,2
AUIELES FIAMENGUE NETO,50
AUSTO SILVA ROCHA,2
BARBARA CAMBOIM LOPES FIGUEIREDO,53
BENICIO PINTO COSTA,54
BRUNO AGRA FERREIRA,55
BRUNO ARGUELHO BITTENCOURT CARDOSO,56
BRUNO AUGUSTO ANDRADE,57
BRUNO AUGUSTO S ANDRADE,57
BRUNO AUGUSTO SILVA ANDRADE,57
BRUNO BRITO,58
BRUNO BRITO SANTOS,58
BRUNO CAETANO VIDIGAL,59
BRUNO LUCIAN GONCALVES,60
BRUNO LUCIAN GONCALVES COSTA,60
CAIO AUGUSTUS NASCIMENTO FERNANDES,61
CAIO FELIPE BRITO ANDRADE,62
CAMILA BARBIERI BRANQUINHO OLIVEIRA,63
CAMILA BARREIROS BARBIERI,63
CARLOS ALBERTO BEZERRA GALDINO,64
CARLOS ALBERTO VASCONCELOS,65
CARLOS ALBERTO VASCONCELOS OLIVEIRA,65
CARLOS ANTONIO GADELHA ARAUJO JUNIOR,66
CARLOS ANTONIO OLIVEIRA SANTOS,67
CARLOS HENRIQUE FLORES,68
CARLOS MAGNO MACHADO,69
CARLOS OLIVIO ROMEIRO SILVA,70
CAROENA ALVES SANTOS,29
CELENE RAPOSO AQUINO,71
CELIO COSTA SOUTO MAIOR,72
CELY NATALIE PINTO,73
CELY NATALIE PINTO RODRIGUES,73
CINTHIA QUEIROZ GRANDE POUSA,74
CINTIA QUEIROZ GRANDE POUSA,74
CLAUDIA ALGAYER ROSA,75
CLAUDIA CASSIDORI,76
CLAUDIA CASSIDORI BACARIN,76
CLAUDIA HELENA ALVES BUENO,77
CLAUDIA JAKELLINE BARBOSA E SILVA,78
CLAUDIA JULIA GUIMARAES HORTA,79
CLAUDIA JULIO GUIMARAES HORTA,79
CLAUDIA SCHIAVON,80
CLEIBSON APARECIDO ALMEIDA,81
CLENILSON SANTOS OLIVEIRA,82
CLODOALDO ROLDAO TABORDA CHUBA SOBRINHO,83
CRISTIANE ALESSANDRA DOMINGOS ARAUJO,84
CRISTIANE BUNDCHEN,85
CUSTODIO ARLINDO RODRIGUES,86
DAMIAO FLAVIO SANTOS,87
DANIELA ALVES FERREIRA SOUSA,88
DANIELA ALVES FERREIRA SOUZA,88
DANIELA BANDEIRA CARVALHO,89
DANIELA MARTORANO PIRES,90
DANILO MESSIAS NASCIMENTO E SANTOS,91
DARIO NERY,92
DAVID LEAL CARVALHO,93
DAVID PEREIRA FARIAS,94
DEBORA CARMO SONORA,95
DEBORA CARMO SONORA SOUZA,95
DEBORA S L G SCHNEIDER,1
DEBORA SANDRA L G SCHNEIDER,1
DEBORA SONORA CARMO,1
DEBORA SONORA CARMO SOUZA,1
DEBORAH S L G SCHNEIDER,1
DEBORAH SANDRA L G SCHNEIDER,1
DEBORAH SANDRA LEAL GUIMARAES SCHNEIDER,1
DEISE DEOLINDO SILVA,96
DELTA PUBLICIDADE S A,NA
DEMETRIO ALCONE PERES,97
DENIS ARAUJO SANTOS,98
DENISE MAGRI MENDES,99
DENISE NOGUEIRA MAGRI MENDES,99
DENIVALDO C FERNANDES OLIVEIRA,100
DENIVALDO CONCEICAO FERNANDES OLIVEIRA,100
DENIVALDO FERNANDES,100
DHAIANY BUENO GOMES,101
DIEGO ALVES OLIVEIRA,102
DIEGO CAMACHO,103
DIEGO GARCIA GUIMARAES,104
DIEGO HENRIQUE CARVALHO CAMACHO,103
DIERE XAVIER FERNANDEZ,105
DILCILEY MATOS SILVA,106
DINARTE ORLANDI,107
DINARTEORLANDI,107
DIOGENES VICOTR SILVEIRA,108
DIOGENES VICTOR SILVEIRA,108
DIOGENES VICTOR SIVEIRA,108
DIOGENES VITOR SILVEIRA,108
DIOGO MELLO BRITO SILVA,109
"DIOGO MELLO BRITO SILVA,",109
DORIS SATIE M FONTES,110
DORIS T M FONTES,111
DOUGLAS OLIVEIRA MATOS BRAGA,112
DRIELLY JULIANNE RODRIGUES SANTOS,113
DRIS T M FONTES,114
EDER MARTINS ROC HA,115
EDER MARTINS ROCHA,115
EDIMEIRE APARECIDA NOGUEIRA COLETI,116
EDIMEIRE COLETI,116
EDIMILSON ANTONIO PEREIRA JUNIOR,117
EDIVALDO SILVESTRE GALINDO JUNIOR,118
EDIVALDO SILVESTRE JUNIOR,118
EDMEIRE COLETI,116
EDMILSON ANTONIO PEREIRA JUNIOR,117
EDUARDO AUGUSTO SILVA,119
EDUARDO JOSE PEREIRA COSTA,120
EDUARDO LOURENCO BARBOSA,121
EDUARDO RAMOS,122
ELAINE BATISTA,123
ELAINE GARCIA MINUCI,124
ELAINE PAULINELI,125
ELAINY MARCIANO BATISTA,126
ELIANE RAQUEL PERES LALA,127
ELISANGELA APARECIDA SILVA LIZZI,128
ELISETE ASSIS REBELLO,129
ELMO HENRIQUE MORAES,130
ELMO HENRIQUE MORAIS,130
EMANUELLY QUEIROZ,131
EMMANUELLE SERRANO QUEIROZ,132
EMMANUELLY QUEIROZ,133
ENAC PROCOPIO LIMA,134
ENIVALDO CARVALHO ROCHA,135
ERICO JANDER SILVA LOPES,136
ERICO JNADER SILVA LOPES,136
ESTATISTICO AUGUSTO SILVA ROCHA,2
ESTATISTICO RESPONSAVEL PELA PESQUISA,NA
EULINA SILVA SANTOS,137
EVANILDES COSTA SANTOS,138
EZIO LACERDA LOPES,139
FABIANA GRAVINA OLIVIERI,140
FABIANO BARROS PRATES,140
FABIO BRASIL,141
FABIO DANILO SILVA CABRAL,142
FABIOLA MIRANDA VON RONDOW,143
FABRICIO ATHAYDE SANTOS,144
FATIMA APARECIDA SOUZA MAJONE MORETTO,145
FELICIEN GONCALVES VASQUEZ,146
FELICIEN GONCALVES VASQUZ,146
FELIPE ABRAHAO COELHO FANTAUZZI,147
FELIPE BAVARESCO,148
FELIPE RAFAEL BAVARESCO,148
FELIX LOPES LIMA,149
FERNANADA LANG SCHUMACHER,150
FERNANDA LANG SCHUMACHER,150
FERNANDO MADEIRA FERNANDES,151
FILIPE JAEGER ZABALA,152
FLAVIA FERRAZ PEGO,153
FRACY ANNE VIEIRA BARBOSA,154
FRANCEICA FATIMA LUCENA,3
FRANCI ANNE BARBOSA,154
FRANCI ANNE VIEIRA BARBOSA,154
FRANCICA FATIMA LUCENA,3
FRANCICSA FATIMA LUCENA,3
FRANCISA FATIMA LUCENA,3
FRANCISCA FAFIMA LUCENA,3
FRANCISCA FATIMA LUCENA,3
FRANCISCA FETIMA LUCENA,3
FRANCISCO ASSIS AMARAL BASTOS,155
FRANCISCO BONFIM,156
FRANCISCO ELMIRO SOUSA FILHO,157
FRANCY ANNE,154
FRANCY ANNE BARBOSA,154
FRANCY ANNE BARBOSA CESAR,154
FRANCY ANNE BARBOSA VIEIRA,154
FRANCY ANNE VIEIRA,154
FRANCY ANNE VIEIRA BARBO,154
FRANCY ANNE VIEIRA BARBOSA,154
FRANCY ANNY VIEIRA,154
FRANCYANNE BARBOSA,154
FRANKLIN SOUSA TORRES,158
FRANKLIN SOUZA TORRES,158
FRANY ANNE BARBOSA CESAR,154
FRANY ANNE VIEIRA BARBOSA,154
FREDERICO LARA SOUZA,159
FREDERICO SOUZA BOSCHI,160
FRNACI ANNE VIEIRA BARBOSA,154
GABRIEL ANTONIO TORRES PINTO,161
GALTIERI FERREIRA TAVARES,162
GALTTIERE FERREIRA TAVARES,162
GALTTIEREFERREIRA TAVARES,162
GALTTIERI FERREIRA TAVARES,162
GENESIS NERIS JESUS,163
GENESIS NORIS JESUS,163
GERALDO JOSE OLIVEIRA,164
GERSON RODRIGUES PRIMO JUNIOR,164
GILCE ZELINDA BATTISTUZ,165
GILCEZELINDA BATTISTUZ,165
GILHERME COELHO NEVES,166
GIORDANO DAMASCENO,167
GIORDANO TRINDADE DAMASCENO BRUNO,167
GISELLE SPINDLER,168
GONCALO ALVES BEZERRA,169
GUILHERME COELHO NEVES,166
"GUILHERME COELHO NEVES,",166
GUILHERME MORATO,170
GUSTAVO VARELA ALVARENGA,171
HELIO RUBENS CARVALHO NUNES,172
HELOISA RODRIGUES BARBOSA,173
HENRIQUE MUNIZ,174
HERCULES CAOIBARIBE JUNIOR,175
HERCULES CAPIBARIBE JR,175
HERCULES CAPIBARIBE JUNIOR,175
HERCULES CAPIBARIBE JUNIOS,175
HERCULES CAPIBERIBE JUNIOR,175
HERICH ULRICH,176
HERNAN LIMA CUNHA,177
HERNANY RICHARDS MEIRELES BITTENCOURT,178
HILDETE ALVES COSTA,179
HUDSON TEIXEIRA SILVA,180
IANNE RAFAELLA SANTOS MELO,181
INAC IO JOSE BESSA PIRES,182
INACIO JOSE BESSA PIRES,182
INSTITUTO PESQUISA MERCADO E OPINIAO PUBLICA,NA
IPPCP,NA
IRANEIDE SOCORRO SANTOS AZEVEDO,183
ISABELA ALVES FERREIRA LIMA,184
ISAIAS MECHILEMOTHDA SILVA LIRA,185
ISAIS MECHILLEMOTH SILVA LIRA,185
ISIS MILANE BATISTA LIMA,186
ISRAEL OLIVEIRA COSTA SOUSA,187
ITALO COLINS ALVES,188
