tse_id,util,url,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12
RJ-09178/2020,1,https://odia.ig.com.br/campos/2020/11/6034699-pesquisa-mostra-wladimir-garotinho-na-ponta-com-57--dos-votos-em-campos.html,p,1,,1,Wladimir Garotinho,57,Caio Vianna,43,,,,,,,,,,,,,,,,,,,,
SC-03503/2020,1,https://flo.uri.sh/visualisation/4492070/embed,p,1,,1,Adriano Silva,"61,6",Darci de Matos,"38,4",,,,,,,,,,,,,,,,,,,,
ES-00047/2020,1,https://congressoemfoco.uol.com.br/area/pais/vitoria-empate-2turno-ibope/,p,1,,,Pazolini,46,Coser,46,,,,,,,,,,,,,,,,,,,,
MG-05084/2020,1,https://noticias.r7.com/eleicoes-2020/kalil-segue-a-frente-para-reeleicao-em-1-turno-em-bh-diz-pesquisa-15102020,p,1,,,Alexandre Kalil,58,João Vítor Xavier,8,Bruno Engler,5,Áurea Carolina,4,Rodrigo Paiva,3,Nilmário Miranda,2,Luísa Barreto,1,,,,,,,,,,
MG-05084/2020,1,https://noticias.r7.com/eleicoes-2020/kalil-segue-a-frente-para-reeleicao-em-1-turno-em-bh-diz-pesquisa-15102020,p,0,,,Alexandre Kalil,40,Áurea Carolina,4,João Vítor Xavier,4,Bruno Engler,2,,,,,,,,,,,,,,,,
GO-03759/2020,1,Poder360,p,1,,,Antonio Vieira Neto,1,Talles Barreto,1,Fábio Junior,1,Maguito Vilela,28,Major Araújo,2,Vanderlan Cardoso,22,Alysson Lima,3,Samuel Almeida,1,Elias Vaz,3,Gustavo Gayer,3,Manu Jacob,1,Cristiano Cunha,1
PA-02952/2020,1,https://www.oliberal.com/eleicoes/ibope-edmilson-cai-nas-intencoes-de-voto-pesquisa-aponta-segundo-turno-para-prefeito-de-belem-1.326291,p,1,,,Edmilson Rodrigues,33,Priante,15,Eguchi,11,Thiago Araújo,8,Vavá Martins,7,Cássio Andrade,6,Gustavo Sefer,5,,,,,,,,,,
SP-08403/2020,1,https://g1.globo.com/sp/ribeirao-preto-franca/eleicoes/2020/noticia/2020/11/14/pesquisa-ibope-em-ribeirao-preto-votos-validos-nogueira-39percent-suely-vilela-25percent-chiarelli-11percent.ghtml,p,1,,,Duarte Nogueira,34,Suely Vilela,22,Chiarelli,10,Cris Bezerra,8,Machado,8,Coronel Usai,3,Mauro Inácio,2,Vanderley Caixe,1,,,,,,,,
TO-04226/2020,1,https://www.diariocidade.com/noticias/pesquisa-eleitoral/pesquisa-eleitoral-prefeito-palmas-to-outubro-eleicoes-2020-ibope/,p,1,,,Cinthia Ribeiro,36,Júnior Geo,12,Eli Borges,8,Vanda Monteiro,7,Tiago Amastha Andrino,7,Marcelo Lelis,5,Barison,3,Vilela do PT,2,Professor Bazzoli,1,Alan Barbiero,1,,,,
AP-03665/2020,1,https://noticias.r7.com/eleicoes-2020/real-time-big-data-josiel-20-capi-e-dr-furlan-14-em-macapa-26102020,p,1,,,Josiel,20,Capi,14,Dr. Furlan,14,Patricia Ferraz,9,Cirilo Fernandes,4,Paulo Lemos,3,Gianfranco,2,Guaracy,2,Haroldo Iram,2,Professor Marcos,2,,,,
AP-03665/2020,1,https://noticias.r7.com/eleicoes-2020/real-time-big-data-josiel-20-capi-e-dr-furlan-14-em-macapa-26102020,p,0,,,Josiel,13,Capi,10,Patrícia Ferraz,4,Cirilo Fernandes,4,Dr. Furlan,4,Paulo Lemos,2,Guaracy,1,,,,,,,,,,
SP-04424/2020,1,https://noticias.r7.com/eleicoes-2020/rogerio-santos-psdb-lidera-com-44-em-santos-diz-pesquisa-31102020,p,1,,,Rogério Santos,44,Vicente Cascione,8,Banha,5,Douglas Martins,5,Ivan Sartori,3,Delegado Romano,1,Guilherme Prado,1,João Villela,1,Tanah Correa,1,Thiago Andrade,1,,,,
SP-04424/2020,1,https://noticias.r7.com/eleicoes-2020/rogerio-santos-psdb-lidera-com-44-em-santos-diz-pesquisa-31102020,p,0,,,Rogério Santos,29,Vicente Cascione,4,Banha,3,Paulo Alexandre,2,Carlos Paz,2,Douglas Martins,2,Ivan Sartori,1,,,,,,,,,,
GO-03697/2020,1,Poder360,p,1,,,Vanderlan Cardoso,26,Maguito Vilela,23,Adriana Accorsi,13,Alysson Lima,4,Elias Vaz,3,Gustavo Gayer,3,Major Araújo,2,Cristiano Cunha,1,Antonio Valmor,1,Talles Barreto,1,Virmondes Cruvinel,1,Cristina Lopes,1
GO-03697/2020,1,https://diariodeaparecida.com.br/vanderlan-lidera-segunda-pesquisa-da-cnn-brasil-com-26/,p,0,,,Vanderlan Cardoso,22,Maguito Vilela,19,Adriana Accorsi,6,,,,,,,,,,,,,,,,,,
PE-07456/2020,1,https://revistaforum.com.br/politica/2020/11/9/ibope-marilia-arraes-volta-crescer-fica-mais-proxima-de-2-turno-em-recife-85501.html,p,1,,,Marilia Arraes,21,João Campos,33,Mendonça Filho,17,Delegada Patrícia,12,,,,,,,,,,,,,,,,
