unnamed: 0,tse_id,url,info_uf,info_muni,info_position,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
,AC-00128/2020,https://www.ac24horas.com/2020/06/19/pesquisas-mostram-aprovacao-da-gestao-de-gladson-cameli-no-interior-e-queda-de-popularidades-doas-atuais-prefeitos/,AC,SENA MADUREIRA,Prefeito,1.0,P,1.0,,,MAZINHO SERAFIM,"43,1",TOINHA VIEIRA,"22,4",GERLEN DINIZ,19,ZENIL CHAVES,"6,9",JOSANDRO CAVALCANTE,"1,7",,,,,,,,,,,,,,,,,,,,
,AC-00616/2020,https://www.ac24horas.com/2020/06/19/pesquisas-mostram-aprovacao-da-gestao-de-gladson-cameli-no-interior-e-queda-de-popularidades-doas-atuais-prefeitos/,AC,SENADOR GUIOMARD,Prefeito,1.0,P,1.0,,,BRANCA MENEZES,"36,8",GILSON DA FUNERARIA,"23,3",,,,,,,,,,,,,,,,,,,,,,,,,,
,AC-01432/2020,https://www.ac24horas.com/2020/06/08/pesquisa-coloca-minoru-com-38-e-aponta-empate-entre-bocalom-e-angelim-na-2a-posicao-socorro-neri-tem-maior-rejeicao/,AC,RIO BRANCO,Prefeito,1.0,P,0.0,,,MINORU KINPARA,"7,1",ANGELIM,6,BOCALOM,"5,4",SOCORRO NERI,"2,4",DUARTE,"1,8",LUZIEL CARVALHO,"1,2",SEBASTIAO VIANA,"1,2",,,,,,,,,,,,,,,,
,AC-01432/2020,https://www.ac24horas.com/2020/06/08/pesquisa-coloca-minoru-com-38-e-aponta-empate-entre-bocalom-e-angelim-na-2a-posicao-socorro-neri-tem-maior-rejeicao/,AC,RIO BRANCO,Prefeito,1.0,P,1.0,,,MINORU KINPARA,"38,2",TIAO BOCALOM,"18,6",RAIMUNDO ANGELIM,"17,4",ROBERTO DUARTE,"7,9",SOCORRO NERI,"7,6",,,,,,,,,,,,,,,,,,,,
,AC-01984/2020,https://www.ac24horas.com/2020/02/17/ilderlei-lidera-votacao-espontanea-e-perde-para-fagner-sales-em-cenarios-estimulados/,AC,CRUZEIRO DO SUL,Prefeito,1.0,P,1.0,,,FAGNER SALES,26,ILDERLEI,14,CESAR MESSIAS,13,MARCELO SIQUEIRA,13,LINKER CAMELI,8,LINDEMBERG CHAVES,3,,,,,,,,,,,,,,,,,,
,AC-01984/2020,https://www.ac24horas.com/2020/02/17/ilderlei-lidera-votacao-espontanea-e-perde-para-fagner-sales-em-cenarios-estimulados/,AC,CRUZEIRO DO SUL,Prefeito,1.0,P,0.0,,,ILDERLEI CORDEIRO,8,FAGNER SALES,3,CESAR MESSIAS,2,JESSICA SALES,2,LUIS CUNHA MELO,1,MARCELO SIQUEIRA,1,,,,,,,,,,,,,,,,,,
,AC-03900/2020,https://www.ac24horas.com/2020/06/19/pesquisas-mostram-aprovacao-da-gestao-de-gladson-cameli-no-interior-e-queda-de-popularidades-doas-atuais-prefeitos/,AC,TARAUACÁ,Prefeito,1.0,P,1.0,,,RODRIGO DAMASCENO,"31,8",ABDIAS DA FARMACIA,"16,3",NEIA SERGIO,"13,3",JUNIOR FEITOSA,"13,1",MARILETE VITORINO,"7,1",JANAINA FURTADO,"5,2",LAURO BENIGNO,4,GILMAR TORRES,1,,,,,,,,,,,,,,
,AC-06953/2020,https://tarauacaagora.blogspot.com/2020/02/minoru-lidera-pesquisa-para-prefeito-de.html,AC,RIO BRANCO,Prefeito,1.0,P,0.0,,,SOCORRO NERI,8,MINORU KINPARA,7,JORGE VIANA,3,MARCUS ALEXANDRE,3,ROBERTO DUARTE,2,EMERSON JARUDE,1,GLADSON CAMELI,1,MARA ROCHA,1,RAIMUNDO ANGELIM,1,,,,,,,,,,,,
,AC-06953/2020,https://tarauacaagora.blogspot.com/2020/02/minoru-lidera-pesquisa-para-prefeito-de.html,AC,RIO BRANCO,Prefeito,1.0,P,1.0,,,MINORU KINPARA,26,SOCORRO NERI,16,ROBERTO DUARTE,14,ALYSSON BESTENE,5,VANDA MILANI,5,DANIEL ZEN,2,FERNANDO ZAMORA,2,JARBAS SOSTER,1,,,,,,,,,,,,,,
,AL-01205/2020,https://maragogi.7segundos.com.br/noticias/2020/05/07/169291/cicero-cavalcante-deve-ser-o-proximo-prefeito-de-matriz-do-camaragibe-segundo-pesquisa.html,AL,MATRIZ DE CAMARAGIBE,"Prefeito, Vereador",1.0,P,0.0,,,CICERO CAVALCANTE,"29,05",ANDERSON BOLEVARD,"20,95",RAMON DANTAS,"6,43",WASHINGTON MOURA,"1,45",,,,,,,,,,,,,,,,,,,,,,
