tse_id,url,info_uf,info_muni,info_position,util,position,estimulada,suspensa,vv,cand1,resul1,part1,cand2,resul2,part2,cand3,resul3,part3,cand4,resul4,part4,cand5,resul5,part5,cand6,resul6,part6,cand7,resul7,part7,cand8,resul8,part8,cand9,resul9,part9,cand10,resul10,part10,cand11,resul11,part11,cand12,resul12,part12,cand13,resul13,part13,cand14,resul14,part14,cand15,resul15,part15,unnamed: 55,unnamed: 56,unnamed: 57,unnamed: 58,unnamed: 59,unnamed: 60,unnamed: 61,unnamed: 62,unnamed: 63,unnamed: 64,unnamed: 65,unnamed: 66,unnamed: 67,unnamed: 68,unnamed: 69,unnamed: 70,unnamed: 71,unnamed: 72,unnamed: 73,unnamed: 74,unnamed: 75,unnamed: 76,unnamed: 77,unnamed: 78,unnamed: 79,unnamed: 80,unnamed: 81,unnamed: 82,unnamed: 83,unnamed: 84,unnamed: 85,unnamed: 86,unnamed: 87,unnamed: 88,unnamed: 89,unnamed: 90,unnamed: 91,unnamed: 92,unnamed: 93,unnamed: 94,unnamed: 95,unnamed: 96,unnamed: 97,unnamed: 98,unnamed: 99,unnamed: 100,unnamed: 101,unnamed: 102,unnamed: 103,unnamed: 104,unnamed: 105,unnamed: 106,unnamed: 107,unnamed: 108,unnamed: 109,unnamed: 110,unnamed: 111,unnamed: 112,unnamed: 113,unnamed: 114,unnamed: 115,unnamed: 116,unnamed: 117,unnamed: 118,unnamed: 119,unnamed: 120,unnamed: 121,unnamed: 122,unnamed: 123,unnamed: 124,unnamed: 125,unnamed: 126,unnamed: 127,unnamed: 128,unnamed: 129,unnamed: 130,unnamed: 131,unnamed: 132,unnamed: 133
AC-09190/2020,https://www.ac24horas.com/2020/07/06/pesquisa-poe-minoru-e-socorro-tecnicamente-empatados/,AC,RIO BRANCO,Prefeito,1.0,P,,,,MINORU KINPARA,"24,63",PSDB,SOCORRO NERI,"21,5",PSB,ROBERTO DUARTE JUNIOR,"14,5",MDB,TIAO BOCALOM,"14,37",PP,DANIEL ZEN,"3,38",PT,FERNANDO ZAMORA,"1,75",PSL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-09190/2020,https://acjornal.com/2020/07/06/apoio-de-gladson-poe-socorro-neri-empatada-com-minoru-kimpara-veja-a-nova-pesquisa-em-rio-branco/,AC,RIO BRANCO,Prefeito,1.0,P,0.0,,,MINORU KINPARA,"23,5",PSDB,SOCORRO NERI,"21,25",PSB,TIAO BOCALOM,"14,12",PP,ROBERTO DUARTE JUNIOR,"13,63",MDB,DANIEL ZEN,"3,38",PT,JAMYL ASFURY,"1,62",PSC,FERNANDO ZAMORA,"1,75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-00452/2020,https://www.blogkleversonlevy.com.br/blog/ex-vereador-lidera-pesquisa-a-prefeitura-de-belo-monte/606/,AL,BELO MONTE,"Prefeito, Vereador",1.0,P,1.0,,,DALMINHO,61,PTB,ANTONIO CINTRA,22,MDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-00452/2020,https://www.blogkleversonlevy.com.br/blog/ex-vereador-lidera-pesquisa-a-prefeitura-de-belo-monte/606/,AL,BELO MONTE,"Prefeito, Vereador",1.0,P,0.0,,,DALMINHO,"48,5",PTB,ANTONIO CINTRA,"17,5",MDB,AVANIO FEITOSA,"3,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-00730/2020,http://maragogi.7segundos.com.br/noticias/2020/07/06/153465-cicero-cavalcante-mantem-lideranca-na-intencao-de-voto-em-matriz-de-camaragibe,AL,MATRIZ DE CAMARAGIBE,"Prefeito, Vereador",1.0,P,1.0,,,CICERO CAVALCANTE,44,,OTAVIO HENRIQUE,"18,3",,RAMON DANTAS,"7,2",,FERNANDO CAVALCANTE,"4,1",,WASHINGTON MOURA,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-00730/2020,http://maragogi.7segundos.com.br/noticias/2020/07/06/153465-cicero-cavalcante-mantem-lideranca-na-intencao-de-voto-em-matriz-de-camaragibe,AL,MATRIZ DE CAMARAGIBE,"Prefeito, Vereador",1.0,P,0.0,,,CICERO CAVALCANTE,"33,9",,OTAVIO HENRIQUE,"9,7",,ANDERSON BOULEVARD,"7,8",,RAMON DANTAS,"7,4",,MARQUINHOS,"5,6",,WASHINGTON MOURA,"2,3",,FERNANDO CAVALCANTE,"1,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-01900/2020,https://maragogi.7segundos.com.br/noticias/2020/07/22/154850-datasensus-divulga-pesquisa-para-prefeito-de-porto-calvo,AL,PORTO CALVO,"Prefeito, Vereador",1.0,P,1.0,,,DAVID PEDROSA,42,,KATULLO,"22,4",,ANTONIO CARLOS,"9,5",PMN,JEFFERSON RODRIGUES,"3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-01900/2020,https://maragogi.7segundos.com.br/noticias/2020/07/22/154850-datasensus-divulga-pesquisa-para-prefeito-de-porto-calvo,AL,PORTO CALVO,"Prefeito, Vereador",1.0,P,1.0,,,KAIKA,"44,3",,DAVID PEDROSA,"36,4",,ANTONIO CARLOS,"2,1",PMN,JEFFERSON RODRIGUES,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-01900/2020,https://maragogi.7segundos.com.br/noticias/2020/07/22/154850-datasensus-divulga-pesquisa-para-prefeito-de-porto-calvo,AL,PORTO CALVO,"Prefeito, Vereador",1.0,P,0.0,,,DAVID PEDROSA,"34,6",,KAIKA,"30,7",PSD,ANTONIO CARLOS,1,PMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-01903/2020,https://www.cadaminuto.com.br/noticia/2020/06/30/roteiro-vice-prefeito-lidera-pesquisa-eleitoral-contra-sobrenome-tradicional,AL,ROTEIRO,"Prefeito, Vereador",1.0,P,0.0,,,ALYSSON,41,,TIAGO CURSINO,8,,WLADIMIR BRITO,"5,25",,GABRIEL JATOBA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
