"id_pesq","info_muni","url","util","position","estimulada","suspensa","vv","cand1","resul1","cand2","resul2","cand3","resul3","cand4","resul4","cand5","resul5","cand6","resul6","cand7","resul7","cand8","resul8","cand9","resul9","cand10","resul10","cand11","resul11","cand12","resul12","cand13","resul13","cand14","resul14","cand15","resul15"
"RS-07152/2020","PORTO ALEGRE","https://g1.globo.com/rs/rio-grande-do-sul/eleicoes/2020/noticia/2020/10/05/pesquisa-ibope-em-porto-alegre-manuela-24percent-fortunati-14percent-melo-11percent-marchezan-9percent.ghtml","1","p","1","","","MANUELA D'AVILA","24","JOSE FORTUNATI","14","SEBASTIAO MELO","11","NELSON MARCHEZAN JUNIOR","9","JULIANA BRIZOLA","5","JOAO DERLY","4","FERNANDA MELCHIONNA","3","VALTER NAGELSTEIN","3","GUSTAVO PAIM","1","JULIO FLORES","1","","","","","","","","","",""
"SP-08428/2020","SÃO PAULO","https://www1.folha.uol.com.br/poder/2020/10/russomanno-segue-lider-em-sp-com-rejeicao-em-alta-diz-datafolha.shtml","1","P","1","","","CELSO RUSSOMANNO","27","BRUNO COVAS","21","GUILHERME BOULOS","12","MARCIO FRANÇA","8","JILMAR TATTO","1","ARTHUR DO VAL","3","ANDREA MATARAZZO","2","VERA LUCIA","1","JOICE HASSELMANN","1","LEVY FIDELIX","2","MARINA HELOU","1","ORLANDO SILVA","1","FILIPE SABARA","1","","","",""
"SP-08428/2020","SÃO PAULO","https://www1.folha.uol.com.br/poder/2020/10/russomanno-segue-lider-em-sp-com-rejeicao-em-alta-diz-datafolha.shtml","1","P","0","","","BRUNO COVAS","10","GUILHERME BOULOS","10","CELSO RUSSOMANNO","7","MARCIO FRANÇA","3","ARTHUR DO VAL","2","CANDIDATO DO PT","1","","","","","","","","","","","","","","","","","",""
"MG-09256/2020","BELO HORIZONTE","https://www1.folha.uol.com.br/poder/2020/10/com-56-kalil-lidera-em-bh-e-pode-ser-reeleito-no-1o-turno-aponta-datafolha.shtml","1","p","1","","","KALIL","56","JOAO VITOR XAVIER","6","AUREA CAROLINA","3","BRUNO ENGLER","3","NILMARIO MIRANDA","2","PROFESSOR WENDEL MESQUITA","2","RODRIGO PAIVA","2","CABO XAVIER","1","FABIANO CAZECA","1","MARCELO SOUZA E SILVA","1","MARILIA DOMINGUES","1","WANDERSON ROCHA","1","","","","","",""
"MG-09256/2020","BELO HORIZONTE","https://www1.folha.uol.com.br/poder/2020/10/com-56-kalil-lidera-em-bh-e-pode-ser-reeleito-no-1o-turno-aponta-datafolha.shtml","1","p","0","","","KALIL","37","AUREA CAROLINA","2","JOAO VITOR XAVIER","1","RODRIGO PAIVA","1","NILMARIO MIRANDA","1","BRUNO ENGLER","1","","","","","","","","","","","","","","","","","",""
"RJ-09140/2020","RIO DE JANEIRO","https://www1.folha.uol.com.br/poder/2020/10/paes-lidera-disputa-para-prefeitura-do-rio-com-30-e-crivella-tem-14-diz-datafolha.shtml","1","P","1","","","EDUARDO PAES","30","CRIVELLA","14","MARTHA ROCHA","10","BENEDITA DA SILVA","8","BANDEIRA DE MELLO","3","CYRO GARCIA","2","CLARISSA GAROTINHO","1","FRED LUZ","1","LUIZ LIMA","1","PAULO MESSINA","1","","","","","","","","","",""
"RJ-09140/2020","RIO DE JANEIRO","https://www1.folha.uol.com.br/poder/2020/10/paes-lidera-disputa-para-prefeitura-do-rio-com-30-e-crivella-tem-14-diz-datafolha.shtml","1","P","0","","","EDUARDO PAES","18","CRIVELLA","7","MARTHA ROCHA","3","RENATA SOUZA","2","BENEDITA DA SILVA","2","LUIZ LIMA","1","BANDEIRA DE MELLO","1","FRED LUZ","1","","","","","","","","","","","","","",""
"PE-08999/2020","RECIFE","https://www1.folha.uol.com.br/poder/2020/10/filho-de-ex-governador-joao-campos-lidera-disputa-no-recife-com-26-diz-datafolha.shtml","1","P","1","","","JOAO CAMPOS","26","MARILIA ARRAES","17","MENDONÇA FILHO","16","DELEGADA PATRICIA","10","MARCO AURELIO","2","CARLOS","1","CORONEL FEITOSA","1","","","","","","","","","","","","","","","",""
"PE-08999/2020","RECIFE","https://www1.folha.uol.com.br/poder/2020/10/filho-de-ex-governador-joao-campos-lidera-disputa-no-recife-com-26-diz-datafolha.shtml","1","P","0","","","JOAO CAMPOS","9","MARILIA ARRAES","8","MENDONÇA FILHO","5","DELEGADA PATRICIA","3","","","","","","","","","","","","","","","","","","","","","",""
"PB-07812/2020","JOÃO PESSOA","https://valor.globo.com/politica/noticia/2020/10/05/em-joao-pessoa-disputa-esta-embolada-mostra-pesquisa-ibope.ghtml","1","P","1","","","CICERO LUCENA","18","NILVAN FERREIRA","15","JOAO ALMEIDA","13","RICARDO COUTINHO","12","WALLBER VIRGOLINO","10","RUY CARNEIRO","7","EDILMA FREIRE","5","RAONI","2","ANISIO MAIA","1","","","","","","","","","","","",""
