tse_id,url,NM_UE,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
AC-06579/2020,https://www.ac24horas.com/2020/10/11/pesquisa-minoru-fica-na-frente-com-27-e-socorro-e-bocalom-estao-empatados-com-19/,RIO BRANCO,1,P,1,,,MINORU,"27,7",SOCORRO,"19,8",BOCALOM,19,DUARTE,"10,5",ZEN,"3,5",JAMYL,"2,6",SOSTER,"2,1",,,,,,,,,,,,,,,,,
AL-03385/2020,https://tribunahoje.com/noticias/politica/2020/10/10/pesquisa-aponta-reeleicao-garantida-de-prefeito-de-capela-al-segundo-ibrape/,CAPELA,1,P,1,,,ADELMINHO CALHEIROS,53,EUSTAQUINHO MOREIRA,33,PASTOR ANTONIO FERREIRA,1,,,,,,,,,,,,,,,,,,,,,,,,,
AL-03385/2020,https://tribunahoje.com/noticias/politica/2020/10/10/pesquisa-aponta-reeleicao-garantida-de-prefeito-de-capela-al-segundo-ibrape/,CAPELA,1,P,0,,,ADELMINHO CALHEIROS,"49,3",EUSTAQUINHO MOREIRA,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-09340/2020,https://oparanews.com.br/pesquisa-ibope-em-maceio-alfredo-gaspar-26-jhc-25/,MACEIÓ,1,P,0,,,ALFREDO GASPAR,20,JHC,14,CICERO ALMEIDA,6,DAVI FILHO,4,JOSAN LEITE,2,RICARDO BARBOSA,2,LENILDA LUNA,1,VALERIA CORREIA,1,,,,,,,,,,,,,,,
AL-09340/2020,https://oparanews.com.br/pesquisa-ibope-em-maceio-alfredo-gaspar-26-jhc-25/,MACEIÓ,1,P,1,,,ALFREDO GASPAR,26,JHC,25,CICERO ALMEIDA,10,DAVI FILHO,5,LENILDA LUNA,3,JOSAN LEITE,2,RICARDO BARBOSA,2,VALERIA CORREIA,2,CORINTHO CAMPELO,1,CICERO FILHO,1,,,,,,,,,,,
AL-03940/2020,https://www.cadaminuto.com.br/noticia/2020/10/09/chapa-de-theo-e-leo-cresce-e-se-isola-na-lideranca-em-major-izidoro,MAJOR ISIDORO,1,P,1,,,THEOBALDO CINTRA,49,ALEX MARIANO,40,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-03940/2020,https://www.cadaminuto.com.br/noticia/2020/10/09/chapa-de-theo-e-leo-cresce-e-se-isola-na-lideranca-em-major-izidoro,MAJOR ISIDORO,1,P,0,,,THEOBALDO CINTRA,"43,6",ALEX MARIANO,"37,2",,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-08249/2020,https://maragogi.7segundos.com.br/noticias/2020/10/12/161174-pesquisa-ibrape-mostra-lideranca-de-fernando-cavalcante-em-matriz-de-camaragibe,MATRIZ DE CAMARAGIBE,1,P,1,,,FERNANDO CAVALCANTE,44,OTAVIO HENRIQUE,32,WASHINGTON MOURA,3,,,,,,,,,,,,,,,,,,,,,,,,,
AL-08249/2020,https://maragogi.7segundos.com.br/noticias/2020/10/12/161174-pesquisa-ibrape-mostra-lideranca-de-fernando-cavalcante-em-matriz-de-camaragibe,MATRIZ DE CAMARAGIBE,1,P,0,,,FERNANDO CAVALCANTE,"39,3",OTAVIO HENRIQUE,27,WASHINGTON MOURA,"1,8",,,,,,,,,,,,,,,,,,,,,,,,,
AL-07668/2020,http://www.aquiacontece.com.br/noticia/politica/09/10/2020/ibrape-pesquisa-aponta-vitoria-de-djalma-beltrao-em-piacabucu-caso-as-eleicoes-fossem-hoje/156632,PIAÇABUÇU,1,P,,,,DJALMA BELTRAO,38,DALMO JUNIOR,26,KAYRO CASTRO,17,,,,,,,,,,,,,,,,,,,,,,,,,
AL-04926/2020,https://www.cadaminuto.com.br/noticia/2020/10/11/sao-luis-do-quitunde-fernanda-cavalcante-dispara-na-frente-de-concorrente,SÃO LUÍS DO QUITUNDE,1,P,1,,,FERNANDA CAVALCANTE,64,JUNIOR PEDRO,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-04005/2020,http://portalpontual.com.br/2020/10/05/pesquisa-pontual-adail-filho-lidera-com-folga-as-intencoes-de-voto-em-coari/,COARI,1,P,,,,ADAIL FILHO,"53,9",ROBSON TIRADENTES,"13,3",LUIZ VASQUEZ,"4,7",MESSIAS DO CHORA,"4,7",,,,,,,,,,,,,,,,,,,,,,,
AM-01624/2020,https://diretoaopontonews.com.br/amazonas/david-almeida-sobe-4-nas-intencoes-de-votos-apos-1o-debate-na-tv/,MANAUS,1,P,1,,,AMAZONINO MENDES,"29,1",DAVID ALMEIDA,"22,6",JOSE RICARDO,6,CAPITAO ALBERTO NETO,"5,5",ALFREDO NASCIMENTO,"4,8",,,,,,,,,,,,,,,,,,,,,
AM-06844/2020,https://tambaquiprati.com/politica/amazonino-cresce-e-coloca-183-pontos-sobre-o-2o-colocado-em-manaus/,MANAUS,1,P,1,,,AMAZONINO MENDES,"32,8",DAVID ALMEIDA,"14,5",CAPITAO ALBERTO NETO,"6,7",JOSE RICARDO,"5,9",ALFREDO NASCIMENTO,"5,4",RICARDO NICOLAU,"2,9",CORONEL MENEZES,"2,8",CHICO PRETO,"1,7",,,,,,,,,,,,,,,
AM-09713/2020,https://www.portalmarcossantos.com.br/2020/10/07/amazonino-e-alfredo-sao-mais-rejeitados-revela-nova-pesquisa-para-prefeito/,MANAUS,1,P,1,,,AMAZONINO MENDES,"31,6",DAVID ALMEIDA,"17,2",ZE RICARDO,"9,1",ALFREDO,"6,5",CAPITAO ALBERTO NETO,"6,1",RICARDO NICOLAU,"4,8",,,,,,,,,,,,,,,,,,,
BA-08389/2020,http://atarde.uol.com.br/politica/eleicoes/noticias/2141329-a-tardepotencial-pesquisa-mostra-empate-tecnico-na-eleicao-em-luis-eduardo-magalhaes,LUÍS EDUARDO MAGALHÃES,1,P,0,,,OZIEL OLIVEIRA,30,JUNIOR MARABA,25,COMANDANTE RANGEL,1,,,,,,,,,,,,,,,,,,,,,,,,,
BA-08389/2020,http://atarde.uol.com.br/politica/eleicoes/noticias/2141329-a-tardepotencial-pesquisa-mostra-empate-tecnico-na-eleicao-em-luis-eduardo-magalhaes,LUÍS EDUARDO MAGALHÃES,1,P,1,,,OZIEL OLIVEIRA,35,JUNIOR MARABA,30,COMANDANTE RANGEL,2,,,,,,,,,,,,,,,,,,,,,,,,,
BA-08956/2020,https://www.bahianoticias.com.br/noticia/253246-bn-seculus-hildecio-tem-vantagem-em-todos-os-cenarios-em-cairu.html,CAIRU,1,P,1,,,HILDECIO,"48,2",EMANOEL RIBEIRO,"9,8",MANECA,"9,31",BENEDITO PASSOS,"7,03",,,,,,,,,,,,,,,,,,,,,,,
BA-08956/2020,https://www.bahianoticias.com.br/noticia/253246-bn-seculus-hildecio-tem-vantagem-em-todos-os-cenarios-em-cairu.html,CAIRU,1,P,0,,,HILDECIO,"45,42",EMANOEL RIBEIRO,"7,84",MANECA,"7,84",BENEDITO PASSOS,"6,05",,,,,,,,,,,,,,,,,,,,,,,
BA-08725/2020,https://www.otabuleiro.com.br/blog/coaraci-prefeito-jadson-lidera-nova-pesquisa,COARACI,1,P,1,,,JADSON,"46,84",JOSEFINA CASTRO,"26,09",NINO,"21,74",CARLOS MAI,"3,36",CHICO BAIA,"1,98",,,,,,,,,,,,,,,,,,,,,
BA-08725/2020,https://www.otabuleiro.com.br/blog/coaraci-prefeito-jadson-lidera-nova-pesquisa,COARACI,1,P,0,,,JADSON,"40,34",JOSEFINA CASTRO,"19,48",NINO,"14,66",CARLOS MAI,"1,03",,,,,,,,,,,,,,,,,,,,,,,
BA-05543/2020,https://www.bahianoticias.com.br/noticia/253313-bn-seculus-suzana-ramos-aparece-como-preferencia-do-eleitorado-de-juazeiro.html,JUAZEIRO,1,P,1,,,SUZANA,"43,42",PAULO BONFIM,"26,71",CORONEL ANSELMO,"12,11",RAFFANI,"2,11",CAPITAO MOREIRA,"1,97",BRENO RAINAN,"1,84",,,,,,,,,,,,,,,,,,,
BA-07530/2020,https://oecojornal.com.br/pesquisa-indica-ampla-vantagem-de-roberval-galego-em-dom-basilio/,DOM BASÍLIO,1,P,1,,,ROBERVAL,"69,3",MARCAO,"23,1",,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-05543/2020,https://www.bahianoticias.com.br/noticia/253313-bn-seculus-suzana-ramos-aparece-como-preferencia-do-eleitorado-de-juazeiro.html,JUAZEIRO,1,P,0,,,SUZANA,"40,13",JOSEPH,"23,03",PAULO BONFIM,"11,18",BRENO,"1,84",CORONEL ANSELMO,"1,71",RAFFANI,"1,05",,,,,,,,,,,,,,,,,,,
BA-04388/2020,http://www.irecereporter.com.br/jussara-justica-eleitoral-suspende-divulgacao-de-pesquisa-eleitoral-realizada-pela-empresa-ancora-por-suspeita-de-irregularidades,JUSSARA,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-07261/2020,https://www.portaldombasilio.com.br/2020/10/eleicoes-2020-carlao-lidera-disputa.html,LIVRAMENTO DE NOSSA SENHORA,1,P,1,,,CARLAO,"51,1",RICARDINHO,"37,8",CHIQUINHO DO PT,"2,9",,,,,,,,,,,,,,,,,,,,,,,,,
BA-09650/2020,https://www.bahianoticias.com.br/noticia/253284-bn-seculus-joao-gualberto-leva-vantagem-em-todos-os-cenarios-em-mata-de-sao-joao.html,MATA DE SÃO JOÃO,1,P,0,,,JOAO GUALBERTO,"39,4",LULU,"13,59",PAULO HENRIQUE,"10,87",MARCIA,"4,62",,,,,,,,,,,,,,,,,,,,,,,
BA-09650/2020,https://www.bahianoticias.com.br/noticia/253284-bn-seculus-joao-gualberto-leva-vantagem-em-todos-os-cenarios-em-mata-de-sao-joao.html,MATA DE SÃO JOÃO,1,P,1,,,JOAO GUALBERTO,"55,71",LULU,"14,95",PAULO HENRIQUE,"13,59",,,,,,,,,,,,,,,,,,,,,,,,,
BA-09797/2020,https://gazetadabahia.com/2020/10/06/candidato-a-reeleicao-ze-filho-lidera-pesquisa-eleitoral-em-riachao-do-jacuipe/,RIACHÃO DO JACUÍPE,1,P,1,,,ZE FILHO,"36,4",CARLINHOS MATO,31,LUCAS WILLIAM,"14,1",,,,,,,,,,,,,,,,,,,,,,,,,
BA-04570/2020,https://www.bahiajornal.com.br/noticia/3349/real-time-big-data-record,SALVADOR,1,P,0,,,BRUNO REIS,18,ACM NETO,4,DENICE,2,OLIVIA SANTANA,1,CEZAR LEITE,1,,,,,,,,,,,,,,,,,,,,,
BA-04570/2020,https://www.bahiajornal.com.br/noticia/3349/real-time-big-data-record,SALVADOR,1,P,1,,,BRUNO REIS,33,PASTOR SARGENTO ISIDORIO,12,MAJOR DENICE,6,OLIVIA SANTANA,6,CEZAR LEITE,5,BACEALAR,1,HILTON COELHO,1,RODRIGO PEREIRA,1,,,,,,,,,,,,,,,
BA-02196/2020,"https://www.jornalfolhadoestado.com/noticias/112528/em-santanopolis,-florin-lidera-intencoes-de-votos",SANTANÓPOLIS,1,P,0,,,FLORIN,"48,5",VITOR DO POSTO,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-02196/2020,"https://www.jornalfolhadoestado.com/noticias/112528/em-santanopolis,-florin-lidera-intencoes-de-votos",SANTANÓPOLIS,1,P,1,,,FLORIN,"50,75",VITOR DO POSTO,"32,5",,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-08879/2020,https://www.bahianoticias.com.br/noticia/253329-bn-seculus-rogerio-andrade-e-favorito-para-se-reeleger-em-santo-antonio-de-jesus.html,SANTO ANTÔNIO DE JESUS,1,P,1,,,ROGERIO ANDRADE,"37,47",GENIVAL,"21,73",DR CHRISTIAN,"4,4",DR EVERALDO,"3,47",DRA LIA,"3,33",,,,,,,,,,,,,,,,,,,,,
BA-08879/2020,https://www.bahianoticias.com.br/noticia/253329-bn-seculus-rogerio-andrade-e-favorito-para-se-reeleger-em-santo-antonio-de-jesus.html,SANTO ANTÔNIO DE JESUS,1,P,0,,,ROGERIO ANDRADE,28,GENIVAL,"13,2",LIA BARROSO,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,
BA-09562/2020,https://gazetadabahia.com/2020/10/10/pesquisa-registrada-no-tre-ba-aponta-vitoria-do-prefeito-candidato-a-reeleicao-izaque-junior-em-sao-domingos/,SÃO DOMINGOS,1,P,,,,IZAQUE JUNIOR,"49,8",ILARIO CARNEIRO,"42,1",,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-09804/2020,"https://www.bnews.com.br/noticias/politica/eleicoes-2020/283402,pesquisa-gradux-osni-lidera-corrida-eleitoral-em-serrinha-veja-numeros.html",SERRINHA,1,P,0,,,OSNI,"38,3",ADRIANO,"33,3",VIVIANY ANDRADE,"1,4",HELENA RODRIGUES,"1,1",,,,,,,,,,,,,,,,,,,,,,,
BA-09804/2020,"https://www.bnews.com.br/noticias/politica/eleicoes-2020/283402,pesquisa-gradux-osni-lidera-corrida-eleitoral-em-serrinha-veja-numeros.html",SERRINHA,1,P,1,,,OSNI,"40,4",ADRIANO,"35,2",VIVIANY ANDRADE,"1,7",HELENA RODRIGUES,"1,4",,,,,,,,,,,,,,,,,,,,,,,
BA-05624/2020,https://www.bahianoticias.com.br/noticia/253385-bn-seculus-lucio-esta-a-frente-na-preferencia-do-eleitorado-de-ubaira.html,UBAÍRA,1,P,0,,,LUCIO,"52,06",NENEM,"28,35",,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00023/2020,https://www.ilheus.net/2020/10/moacyr-leite-lidera-pesquisa-eleitoral-em-urucuca.html,URUÇUCA,1,P,1,,,MOACYR,"48,5",FERNANDA,"20,67",PAULO BARACHO,11,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00023/2020,https://www.ilheus.net/2020/10/moacyr-leite-lidera-pesquisa-eleitoral-em-urucuca.html,URUÇUCA,1,P,0,,,MOACYR,"45,67",FERNANDA,"18,33",PAULO BARACHO,"9,17",,,,,,,,,,,,,,,,,,,,,,,,,
