tse_id,url,NM_UE,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
BA-06917/2020,https://g1.globo.com/ba/bahia/eleicoes/2020/noticia/2020/10/30/pesquisa-ibope-em-salvador-bruno-reis-61percent-major-denice-13percent-olivia-santana-7percent-pastor-sargento-isidorio-5percent.ghtml,SALVADOR,1,P,1,,,BRUNO REIS,61,MAJOR DENICE,13,OLIVIA,7,SARGENTO ISIDORIO,5,BACELAR,1,CEZAR LEITE,1,HILTON COELHO,1,,,,,,,,,,,,,,,,
BA-06917/2020,https://g1.globo.com/ba/bahia/eleicoes/2020/noticia/2020/10/30/pesquisa-ibope-em-salvador-bruno-reis-61percent-major-denice-13percent-olivia-santana-7percent-pastor-sargento-isidorio-5percent.ghtml,SALVADOR,1,P,0,,,BRUNO REIS,47,MAJOR DENICE,7,OLIVIA,5,SARGENTO ISIDORIO,3,,,,,,,,,,,,,,,,,,,,,,
SP-01331/2020,https://noticias.uol.com.br/eleicoes/2020/10/30/covas-sobe-4-pontos-e-tem-26-russomanno-cai-5-a-20-aponta-ibope.htm,SÃO PAULO,1,P,1,,,BRUNO COVAS,26,CELSO RUSSOMANNO,20,GUILHERME BOULOS,13,MARCIO FRANÇA,11,JILMAR TATTO,6,ARTHUR DO VAL,3,JOICE HASSELMANN,2,ANDREA MATARAZZO,1,LEVY FIDELIX,1,ORLANDO SILVA,1,FILIPE SABARA,1,,,,,,,,
SP-01331/2020,https://noticias.uol.com.br/eleicoes/2020/10/30/covas-sobe-4-pontos-e-tem-26-russomanno-cai-5-a-20-aponta-ibope.htm,SÃO PAULO,1,P,0,,,BRUNO COVAS,15,GUILHERME BOULOS,9,CELSO RUSSOMANNO,8,MARCIO FRANÇA,5,JILMAR TATTO,3,ARTHUR DO VAL,3,JOICE HASSELMANN,1,,,,,,,,,,,,,,,,
MT-05058/2020,https://www.midianews.com.br/politica/ibope-em-cuiaba-abilio-tem-26-emanuel-25-e-franca-16/387030,CUIABÁ,1,P,1,,,ABILIO,26,EMANUEL PINHEIRO,25,ROBERTO FRANÇA,16,GISELA SIMONA,16,JULIER,3,AECIO RODRIGUES,2,,,,,,,,,,,,,,,,,,
RJ-09598/2020,https://noticias.uol.com.br/eleicoes/2020/10/30/pesquisa-ibope-rio-de-janeiro-30-de-outubro.htm,RIO DE JANEIRO,1,P,1,,,EDUARDO PAES,32,MARTHA ROCHA,14,BENEDITA DA SILVA,9,CLARISSA GAROTINHO,4,LUIZ LIMA,4,BANDEIRA DE MELLO,2,RENATA SOUZA,2,FRED LUZ,1,PAULO MESSINA,1,MARCELO CRIVELLA,14,,,,,,,,,,
RJ-09598/2020,https://noticias.uol.com.br/eleicoes/2020/10/30/pesquisa-ibope-rio-de-janeiro-30-de-outubro.htm,RIO DE JANEIRO,1,P,0,,,EDUARDO PAES,24,MARCELO CRIVELLA,9,MARTHA ROCHA,7,BENEDITA DA SILVA,3,LUIZ LIMA,2,RENATA SOUZA,2,BANDEIRA DE MELLO,1,FRED LUZ,1,,,,,,,,,,,,,,
MS-09748/2020,https://noticias.uol.com.br/eleicoes/2020/10/30/ibope-campo-grande-30-de-outubro.htm,CAMPO GRANDE,1,P,1,,,MARQUINHOS TRAD,46,HARFOUCHE,11,PEDRO KEMP,8,VINICIUS SIQUEIRA,7,DELEGADA SIDNEIA,4,ESACHEU,2,MARCIO FERNANDES,2,DAGOBERTO,1,JOAO HENRIQUE,1,MARCELO BLUMA,1,MARCELO MIGLIOLI,1,CRIS DUARTE,1,GUTO SCARPANTI,1,PAULO MATOS,1,,
PI-07888/2020,https://noticias.uol.com.br/eleicoes/2020/10/30/ibope-teresina-30-outubro.htm,TERESINA,1,P,1,,,DR PESSOA,37,KLEBER MONTEZUMA,22,FABIO ABREU,12,FABIO NOVO,6,MAJOR DIEGO MELO,1,GESSY FONSECA,1,SIMONE PEREIRA,1,FABIO SERVIO,1,LUCINEIDE BARROS,1,,,,,,,,,,,,
PI-07888/2020,https://noticias.uol.com.br/eleicoes/2020/10/30/ibope-teresina-30-outubro.htm,TERESINA,1,P,0,,,DR PESSOA,31,KLEBER MONTEZUMA,20,FABIO ABREU,9,FABIO NOVO,5,GESSY FONSECA,1,LUCINEIDE BARROS,1,MAJOR DIEGO MELO,1,,,,,,,,,,,,,,,,
AC-04206/2020,https://folhadoacre.com.br/2020/10/29/socorro-neri-minoru-e-bocalom-continuam-empatados-segundo-pesquisa-ibope/,RIO BRANCO,1,P,1,,,MINORU KINPARA,28,SOCORRO NERI,23,TIAO BOCALOM,21,ROBERTO DUARTE,11,DANIEL ZEN,7,JARBAS SOSTER,1,JAMYL ASFURY,1,,,,,,,,,,,,,,,,
RR-05506/2020,https://folhabv.com.br/noticia/POLITICA/Eleicoes-2020/Ibope-divulga-segunda-pesquisa-para-Prefeitura-de-Boa-Vista/70085,BOA VISTA,1,P,1,,,OTTACI,27,ARTHUR HENRIQUE,25,SHERIDAN,8,LINOBERG,8,NICOLETTI,6,LUCIANO CASTRO,6,GERLANE,2,PR ISAMAR,1,FABIO ALMEIDA,1,SHAOLYN GOMES,1,,,,,,,,,,
RS-06638/2020,https://gauchazh.clicrbs.com.br/politica/eleicoes/noticia/2020/10/pesquisa-ibope-aponta-manuela-com-27-marchezan-e-melo-com-14-e-fortunati-com-13-das-intencoes-de-voto-ckgvej6dw0025015xass005ys.html,PORTO ALEGRE,1,P,1,,,MANUELA D AVILA,27,NELSON MARCHEZAN,14,SEBASTIAO MELO,14,JOSE FORTUNATI,13,JULIANA BRIZOLA,4,JOAO DERLY,3,FERNANDA MELCHIONNA,3,VALTER NAGELSTEIN,2,GUSTAVO PAIM,2,JULIO FLORES,1,RODRIGO MARONI,1,,,,,,,,
RS-06638/2020,https://gauchazh.clicrbs.com.br/politica/eleicoes/noticia/2020/10/pesquisa-ibope-aponta-manuela-com-27-marchezan-e-melo-com-14-e-fortunati-com-13-das-intencoes-de-voto-ckgvej6dw0025015xass005ys.html,PORTO ALEGRE,1,P,0,,,MANUELA D AVILA,20,NELSON MARCHEZAN,12,JOSE FORTUNATI,7,SEBASTIAO MELO,10,FERNANDA MELCHIONNA,3,JOAO DERLY,1,JULIANA BRIZOLA,2,VALTER NAGELSTEIN,2,GUSTAVO PAIM,1,,,,,,,,,,,,
