tse_id,url,NM_UE,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
AC-02355/2020,https://www.ac24horas.com/2020/11/03/data-control-poe-rosana-gomes-com-38-e-andre-e-gilson-empatados-com-19/,SENADOR GUIOMARD,1,p,0,,,ROSANA GOMES,36,ANDRE MAIA,"16,3",GILSON DA FUNERARIA,"15,3",BRANCA MENEZES,"6,5",JOAO CARVALHO,"1,5",,,,,,,,,,,,,,,,,,,,
AC-02355/2020,https://www.ac24horas.com/2020/11/03/data-control-poe-rosana-gomes-com-38-e-andre-e-gilson-empatados-com-19/,SENADOR GUIOMARD,1,p,1,,,ROSANA GOMES,38,ANDRE MAIA,"19,5",GILSON DA FUNERARIA,"19,3",BRANCA MENEZES,9,JOAO CARVALHO,"1,5",,,,,,,,,,,,,,,,,,,,
AL-04255/2020,https://www.tnh1.com.br/noticia/nid/pesquisa-ibrape-bruno-feijo-lidera-em-boca-da-mata-com-50-das-intencoes-de-voto/,BOCA DA MATA,1,P,1,,,FEIJO,"46,7",ZEZINHO TENORIO,"29,1",,,,,,,,,,,,,,,,,,,,,,,,,,
AL-05496/2020,https://arapiraca.7segundos.com.br/noticias/2020/11/02/162780-pesquisa-registrada-no-tre-aponta-vitoria-de-nicolas-pereira-na-eleicao-de-campo-alegre,CAMPO ALEGRE,1,P,1,,,NICOLAS PEREIRA,60,DANIEL TENORIO,20,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-04332/2020,https://www.cidadesdomeubrasil.com.br/al/jundia/noticias,JUNDIÁ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-09889/2020,https://al1.com.br/noticias/eleicoes-2020/49827/ibrape-no-pilar-renato-filho-lidera-com-80,PILAR,1,P,,,,RENATO FILHO,80,RARISSOM AMORIM,7,CICERO MESSIAS,1,,,,,,,,,,,,,,,,,,,,,,,,
AL-03610/2020,https://www.cadaminuto.com.br/noticia/2020/11/01/pesquisa-ibrape-aponta-lideranca-folgada-de-angela-vanessa-em-sao-jose-da-laje,SÃO JOSÉ DA LAJE,1,P,0,,,ANGELA VANESSA,"59,4",NOEMY LYRA,"8,4",SARGENTO NININHO,6,,,,,,,,,,,,,,,,,,,,,,,,
AL-03610/2020,https://www.cadaminuto.com.br/noticia/2020/11/01/pesquisa-ibrape-aponta-lideranca-folgada-de-angela-vanessa-em-sao-jose-da-laje,SÃO JOSÉ DA LAJE,1,P,1,,,ANGELA VANESSA,67,NOEMY LYRA,10,SARGENTO NININHO,8,,,,,,,,,,,,,,,,,,,,,,,,
AM-00003/2020,https://www.facebook.com/ayuntamientoarona/posts/3681528188544664,MANAUS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-04361/2020,http://www.sigivilares.com.br/,LUÍS EDUARDO MAGALHÃES,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-06321/2020,http://www.paranapesquisas.com.br/wp-content/uploads/2020/11/M%C3%ADdiaDiasD%C3%81vila_Nov2020.pdf,DIAS D ÁVILA,1,P,0,,,ALBERTO CASTRO,"22,4",ANDREIA,"15,8",GERALDO REQUIAO,"12,4",,,,,,,,,,,,,,,,,,,,,,,,
BA-06321/2020,http://www.paranapesquisas.com.br/wp-content/uploads/2020/11/M%C3%ADdiaDiasD%C3%81vila_Nov2020.pdf,DIAS D ÁVILA,1,P,1,,,ALBERTO CASTRO,"36,6",GERALDO REQUIAO,"22,8",ANDREIA,"22,6",JOSUE DE LIMA,1,,,,,,,,,,,,,,,,,,,,,,
BA-05936/2020,http://www.lidernoticias.com/2020/11/candidato-juninho-lidera-rejeicao-em.html,JOÃO DOURADO,1,P,0,,,DI CARDOSO,"50,5",JUNINHO,"37,5",,,,,,,,,,,,,,,,,,,,,,,,,,
BA-05936/2020,http://www.lidernoticias.com/2020/11/candidato-juninho-lidera-rejeicao-em.html,JOÃO DOURADO,1,P,1,,,DI CARDOSO,"53,2",JUNINHO,"39,7",,,,,,,,,,,,,,,,,,,,,,,,,,
BA-08847/2020,https://www.diariodanoticia.com/2020/11/cachoeira-pesquisa-eleitoral-para.html,CACHOEIRA,1,P,1,,,ELIANA,32,TATO,47,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-03292/2020,https://agenciasertao.com/wp-content/uploads/2020/11/impugnacao-pesquisa-radio-alvorada2.pdf,CAETITÉ,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-05195/2020,https://agenciasertao.com/wp-content/uploads/2020/11/Decisao-pesquisa-caetite-2.pdf,CAETITÉ,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-01997/2020,http://www.paranapesquisas.com.br/wp-content/uploads/2020/11/M%C3%ADdiaCama%C3%A7ari_Nov2020.pdf,CAMAÇARI,1,P,0,,,ELINALDO,"33,3",IVONEIDE CAETANO,"10,9",OZIEL,1,,,,,,,,,,,,,,,,,,,,,,,,
BA-01997/2020,http://www.paranapesquisas.com.br/wp-content/uploads/2020/11/M%C3%ADdiaCama%C3%A7ari_Nov2020.pdf,CAMAÇARI,1,P,1,,,ELINALDO,"47,8",IVONEIDE CAETANO,"23,3",OZIEL,"4,1",SOCRATES MAGNO,"2,1",,,,,,,,,,,,,,,,,,,,,,
BA-06154/2020,https://www.giroemipiau1.com.br/2020/11/03/veja-numeros-de-nova-pesquisa-eleitoral-para-prefeito-em-ipiau-2/,IPIAÚ,1,P,,,,MARIA DAS GRAÇAS,"40,34",ALIPIO OLIVEIRA,"34,36",DERALDINO JUNIOR,"10,09",,,,,,,,,,,,,,,,,,,,,,,,
BA-02709/2020,https://www.boquiraemacao.com.br/2020/10/macaubas-ba-pesquisa-do-jornal-o-eco.html,MACAÚBAS,1,p,1,,,AMELINHO,"55,7",ALOISIO,"28,2",DR ELISMAR,"3,9",,,,,,,,,,,,,,,,,,,,,,,,
BA-02518/2020,https://www.jequienews.com/2020/11/93-fmseculus-soya-e-o-favorito-entre-os.html,MARACÁS,1,P,0,,,FABIO PENNA,"22,02",SOYA,"41,8",PAULO DOS ANJOGS,"7,64",,,,,,,,,,,,,,,,,,,,,,,,
BA-02518/2020,https://www.jequienews.com/2020/11/93-fmseculus-soya-e-o-favorito-entre-os.html,MARACÁS,1,P,1,,,FABIO PENNA,"23,6",PAULO DOS SANTOS,"7,87",SOFIA,"43,15",,,,,,,,,,,,,,,,,,,,,,,,
BA-05158/2020,https://www.uauaweb.com.br/2020/11/nova-pesquisa-de-intencao-de-voto.html,MONTE SANTO,1,P,1,,,SILVANIA MATOS,"51,05",VANDO,"39,9",,,,,,,,,,,,,,,,,,,,,,,,,,
BA-04834/2020,https://leoricardonoticias.com.br/2018/dia-a-dia/a-guerra-dos-numeros-das-pesquisas-eleitorais-em-morro-do-chapeu/,MORRO DO CHAPÉU,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-08358/2020,https://opopularonline.com.br/index.php?lk=4&id=7247,PINDAÍ,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00857/2020,https://www.interativapn.com/2020/11/nova-pesquisa-registrada-confirma.html,PONTO NOVO,1,P,1,,,TIAGO VENANCIO,"56,93",DR THIAGO,"38,1",,,,,,,,,,,,,,,,,,,,,,,,,,
BA-09117/2020,https://bahia.ba/eleicoes2020/bruno-lidera-com-58-denice-tem-12-olivia-8-diz-pesquisa/,SALVADOR,1,P,,,,BRUNO REIS,58,MAJOR DENICE,12,OLIVIA SANTANA,8,SARGENTO ISIDORIO,4,CEZAR LEITE,2,BACELAR,1,HILTON COELHO,1,,,,,,,,,,,,,,,,
BA-08165/2020,https://www.bahianoticias.com.br/noticia/254017-bn-seculus-prefeito-andre-deve-ser-reeleito-em-souto-soares.html,SOUTO SOARES,1,P,0,,,ANDRE,"68,33",JOAO ROCHA,"17,38",,,,,,,,,,,,,,,,,,,,,,,,,,
BA-08165/2020,https://www.bahianoticias.com.br/noticia/254017-bn-seculus-prefeito-andre-deve-ser-reeleito-em-souto-soares.html,SOUTO SOARES,1,P,1,,,ANDRE,"68,81",JOAO ROCHA,"17,86",,,,,,,,,,,,,,,,,,,,,,,,,,
BA-02762/2020,https://www.augustourgente.com.br/2020/10/pesquisa-aponta-reeleicao-do-prefeito.html,QUIXABEIRA,1,P,0,,,REGINALDO SAMPAIO,"54,67",DOURENILSON,"36,33",,,,,,,,,,,,,,,,,,,,,,,,,,
