tse_id,url,NM_UE,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
PE-08844/2020,https://robertoalmeidacsc.blogspot.com/2020/11/joao-campos-e-marilia-arraes-mais-perto.html,NA,1,P,,,,JOAO CAMPOS,31,MARILIA ARRAES,22,MENDONÇA FILHO,16,DELEGADA PATRICIA,13,CORONEL FEITOSA,2,MARCO AURELIO,1,CARLOS ANDRADE,1,CHARBEL,1,,,,,,,,,,,,,,
PE-06544/2020,https://www.penews.com.br/keko-do-armazem-lidera-no-cabo/,NA,1,P,1,,,KEKO DO ARMAZEM,33,LULA CABRAL,25,DELEGADO RESENDE,14,EZEQUIEL REZENDE,2,TADEU ANJOS,2,,,,,,,,,,,,,,,,,,,,
PE-06544/2020,https://www.penews.com.br/keko-do-armazem-lidera-no-cabo/,NA,1,P,0,,,KEKO DO ARMAZEM,31,LULA CABRAL,21,DELEGADO RESENDE,11,TADEU ANJOS,1,EZEQUIEL DO PT,1,,,,,,,,,,,,,,,,,,,,
PE-02289/2020,https://www.blogdoeduardofranca.com/2020/11/eduardo-lidera-em-goiana-com-8-pontos.html?m=1,NA,1,P,0,,,EDUARDO HONORIO,"32,3",EDVAL SOARES,"26,9",OLGA SENA,"6,6",,,,,,,,,,,,,,,,,,,,,,,,
PE-02289/2020,https://www.blogdoeduardofranca.com/2020/11/eduardo-lidera-em-goiana-com-8-pontos.html?m=1,NA,1,P,1,,,EDUARDO HONORIO,40,EDVAL SOARES,"31,7",OLGA SENA,"10,9",,,,,,,,,,,,,,,,,,,,,,,,
PE-03862/2020,https://www.naynneto.com.br/marcia-conrado-abre-vantagem-de-37-pontos-e-dispara-em-st/,NA,1,P,0,,,MARCIA,"43,4",SOCORRO,"12,6",VICTOR,"6,6",,,,,,,,,,,,,,,,,,,,,,,,
PE-03042/2020,https://www.portalagresteviolento.com.br/todas-as-noticias/,NA,1,P,0,,,SILVINO,"30,5",SIVALDO ALBINO,"16,5",ZAQUEU,"13,8",JOAO LINS,"2,8",,,,,,,,,,,,,,,,,,,,,,
PE-03862/2020,https://faroldenoticias.com.br/386364-2/,NA,1,P,1,,,MARCIA CONRADO,"53,7",SOCORRO,"16,3",VICTOR OLIVEIRA,"9,2",MARQUINHOS,"3,2",,,,,,,,,,,,,,,,,,,,,,
PE-02430/2020,http://blogdomagno.com.br/ver_post.php?id=218607,NA,1,P,1,,,PIMENTEL,"48,2",TIAO DO GESSO,"40,9",,,,,,,,,,,,,,,,,,,,,,,,,,
PE-02430/2020,http://blogdomagno.com.br/ver_post.php?id=218607,NA,1,P,0,,,PIMENTEL,"44,3",TIAO DO GESSO,"38,3",,,,,,,,,,,,,,,,,,,,,,,,,,
