tse_id,url,NM_UE,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
AC-07015/2020,https://www.gazetadopovo.com.br/eleicoes/2020/pesquisa-eleitoral/prefeito-rio-branco-ac-ibope-10-novembro-2020/amp/,RIO BRANCO,1,p,,,,TIAO BOCALOM,28,MINORU KINPARA,22,SOCORRO NERI,22,ROBERTO DUARTE,12,DANIEL ZEN,6,JARBAS SOSTER,1,JAMYL ASFURI,1,,,,,,,,,,,,,,,,
AL-07692/2020,https://www.cadaminuto.com.br/noticia/2020/11/09/diferenca-segue-crescendo-e-pesquisa-ibrape-confirma-reeleicao-do-prefeito-adelminho-calheiros-com-folga-em-capela,CAPELA,1,P,1,,,ADELMINHO,56,EUSTAQUINHO,35,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-07692/2020,https://www.cadaminuto.com.br/noticia/2020/11/09/diferenca-segue-crescendo-e-pesquisa-ibrape-confirma-reeleicao-do-prefeito-adelminho-calheiros-com-folga-em-capela,CAPELA,1,P,0,,,ADELMINHO,"52,7",EUSTAQUINHO,"33,4",,,,,,,,,,,,,,,,,,,,,,,,,,
AL-00463/2020,https://noticias.uol.com.br/eleicoes/2020/11/11/pesquisa-ibope-maceio-alagoas-eleicoes-municipais-11-de-novembro.htm,MACEIÓ,1,P,,,,ALFREDO GASPAR,26,JHC,22,DAVI DAVINO,19,VALERIA CORREIA,4,CICERO ALMEIDA,3,JOSAN LEITE,3,RICARDO BARBOSA,2,LENILDA LUNA,1,,,,,,,,,,,,,,
AL-00788/2020,https://maceio.7segundos.com.br/noticias/2020/11/11/163426-pesquisa-data-sensus-traz-novos-numeros-na-disputa-a-prefeitura-de-maceio,MACEIÓ,1,P,1,,,DAVI FILHO,"25,7",JHC,"24,7",ALFREDO GASPAR,"24,3",CICERO ALMEIDA,"4,5",JOSAN LEITE,"1,9",VALERIA CORREIA,"1,6",RICARDO BARBOSA,"1,3",,,,,,,,,,,,,,,,
AL-07258/2020,https://folhadealagoas.com.br/2020/11/10/atevaldo-cabral-se-aproxima-da-vitoria-em-ouro-branco-aponta-pesquisa/,OURO BRANCO,1,P,1,,,ATEVALDO CABRAL,53,DENYSE,30,SANDRO AMORIM,1,,,,,,,,,,,,,,,,,,,,,,,,
AL-07258/2020,https://folhadealagoas.com.br/2020/11/10/atevaldo-cabral-se-aproxima-da-vitoria-em-ouro-branco-aponta-pesquisa/,OURO BRANCO,1,P,0,,,ATEVALDO CABRAL,51,DENYSE,30,SANDRO AMORIM,1,,,,,,,,,,,,,,,,,,,,,,,,
AL-00198/2020,https://www.juntadeandalucia.es/boja/2020/45/72,PALMEIRA DOS ÍNDIOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-03003/2020,http://ordineavvocaticosenza.it/wp-content/uploads/2020/01/Scioper-G.di-P.-6-genn.-1-febb.-2020.pdf,SÃO MIGUEL DOS CAMPOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-01343/2020,https://www.facebook.com/nathanmacenna10/videos/3466795546739375/,CAREIRO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-02949/2020,https://www.portaldoholanda.com.br/eleicoes/amazonino-tem-vaga-garantida-no-2-turno-segundo-pesquisa-pontual,MANAUS,1,P,1',,,AMAZONINO MENDES,"29,4",DAVID ALMEIDA,"19,7",RICARDO NICOLAU,"10,6",JOSE RICARDO,"7,7",CORONEL MENEZES,"7,1",CAP ALBERTO NETO,"6,7",ALFREDO NASCIMENTO,"3,1",,,,,,,,,,,,,,,,
AM-03642/2020,https://blogdodurango.com.br/eleicoes-2020/oitava-pesquisa/,MANAUS,1,P,1,,,AMAZONINO MENDES,"28,2",DAVID ALMEIDA,"16,6",RICARDO NICOLAU,12,ZE RICARDO,"11,9",CAPITAO ALBERTO NETO,"6,5",CORONEL MENEZES,"5,3",ALFREDO NASCIMENTO,"4,1",ROMERO REIS,"1,7",CHICO PRETO,"1,3",,,,,,,,,,,,
AM-03642/2020,https://blogdodurango.com.br/eleicoes-2020/oitava-pesquisa/,MANAUS,1,P,0,,,AMAZONINO MENDES,"19,9",DAVID ALMEIDA,"12,4",ZE RICARDO,"8,7",RICARDO NICOLAU,"7,4",CORONEL MENEZES,"4,6",CAPITAO ALBERTO NETO,"4,3",ALFREDO NASCIMENTO,"2,8",ROMERO REIS,"1,6",CHICO PRETO,1,,,,,,,,,,,,
AM-04545/2020,https://noticias.uol.com.br/eleicoes/2020/11/11/ibope-amazonino-24-e-david-almeida-18-empatam-em-1-em-manaus.htm,MANAUS,1,P,,,,AMAZONINO MENDES,24,DAVID ALMEIDA,18,RICARDO NICOLAU,14,ZE RICARDO,9,CAPITAO ALBERTO NETO,8,CORONEL MENEZES,8,ALFREDO NASCIMENTO,5,CHICO PRETO,2,ROMERO REIS,2,MARCELO AMIL,1,,,,,,,,,,
AM-04564/2020,https://ojornaldailha.com/bi-garcia-tem-62-e-juscelino-26-mostra-pesquisa-action-bnc-em-parintins/,PARINTINS,1,P,1,,,BI GARCIA,"62,2",MANSO,"26,2",DOUGLAS BATISTA,"6,1",,,,,,,,,,,,,,,,,,,,,,,,
AM-04564/2020,https://bncamazonas.com.br/eleicoes2020/bi-garcia-pesquisa-prefeitura-parintins/,PARINTINS,1,P,0,,,BI GARCIA,"60,4",JUCELINO MANSO,"24,4",DOUGLAS BATISTA,"4,9",,,,,,,,,,,,,,,,,,,,,,,,
AP-04406/2020,https://www.diariodoamapa.com.br/cadernos/politica/ibope-divulga-3a-pesquisa-a-prefeitura-de-macapa/,MACAPÁ,1,P,,,,JOSIEL,31,CAPI,15,DR FURLAN,11,PATRICIA FERRAZ,11,CIRILO FERNANDES,7,GUARACY,6,HAROLDO IRAM,3,GIANFRANCO,1,PAULO LEMOS,1,PROFESSOR MARCOS,1,,,,,,,,,,
BA-01011/2020,https://bahia.ba/eleicoes2020/agora-candidato-a-reeleicao-oziel-tem-311-de-rejeicao-em-luis-eduardo-magalhaes/,LUÍS EDUARDO MAGALHÃES,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-08184/2020,https://alertabahia.com.br/pesquisa-registrada-no-tse-aponta-755-de-vantagem-para-reinalldo-goes-em-iuiu/,IUIU,1,P,,,1,REINALDO GOES,"83,5",ALICE PIRES,"16,5",,,,,,,,,,,,,,,,,,,,,,,,,,
BA-08307/2020,https://bahia.ba/eleicoes2020/sivaldo-rios-lidera-disputa-para-prefeito-em-capim-grosso-com-4054-das-intencoes-de-voto/,CAPIM GROSSO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-05805/2020,https://www.bahianoticias.com.br/noticia/254250-pesquisa-eleva-paulo-cezar-e-favorito-na-disputa-pela-prefeitura-em-alagoinhas.html,ALAGOINHAS,1,P,0,,,PAULO CEZAR,"35,9",JOAQUIM NETO,"25,5",RADIOVALDO COSTA,"9,1",EDNALDO SACRAMENTO,1,,,,,,,,,,,,,,,,,,,,,,
BA-05805/2020,https://www.bahianoticias.com.br/noticia/254250-pesquisa-eleva-paulo-cezar-e-favorito-na-disputa-pela-prefeitura-em-alagoinhas.html,ALAGOINHAS,1,P,1,,,PAULO CEZAR,"37,1",JOAQUIM NETO,"26,3",RADIOVALDO COSTA,"9,8",EDNALDO SACRAMENTO,"1,4",,,,,,,,,,,,,,,,,,,,,,
BA-08511/2020,https://www.super9.com.mx/Y_z_I4ZTk3OT/11354292091366/b6bd-eb14ff,ANTÔNIO CARDOSO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-02019/2020,https://www.itecgoi.in/courses_list.php?salt3=0530044ba02019-2020&salt4=36370f5f859&salt=18753c1907209,BAIANÓPOLIS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-06818/2020,https://www.boquiraemacao.com.br/2020/11/boquira-ba-duas-pesquisas-estao.html,BOQUIRA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-04163/2020,https://acheisudoeste.com.br/noticias/2,BRUMADO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-09926/2020,https://www.acheisudoeste.com.br/arquivo/11/2020/1,BRUMADO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-03711/2020,https://www.acheisudoeste.com.br/noticias/44315-2020/11/01/www.redeintersoft.com,CACULÉ,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-03556/2020,https://oxarope.com/noticias/32521/luciano-francisqueto-tem-61-83-das-intencoes-de-voto-em-itabela-aponta-pesquisa-11-11-2020/,ITABELA,1,P,0,,,FRANCISQUETO,"59,67",LELU,"15,83",,,,,,,,,,,,,,,,,,,,,,,,,,
BA-05035/2020,https://acheisudoeste.com.br/noticias/2,CAETITÉ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-05195/2020,https://agenciasertao.com/wp-content/uploads/2020/11/Decisao-pesquisa-caetite-2.pdf,CAETITÉ,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-01937/2020,https://www.tvnbn.com.br/bn-seculus-atual-prefeito-marcelo-e-favorito-na-eleicao-em-governador-mangabeira/,GOVERNADOR MANGABEIRA,1,P,1,,,MARCELO,"49,39",DOMINGAS,"26,84",PIMENTEL,"2,76",EDGAR HENRIQUE,"1,38",,,,,,,,,,,,,,,,,,,,,,
BA-08229/2020,http://atarde.uol.com.br/politica/eleicoes/noticias/2145761-a-tardepotencial-pesquisa-petista-a-frente-da-disputa-eleitoral-em-irara,IRARÁ,1,P,0,,,DERIVALDO,49,JUSCELINO,27,BALY,2,CARLINHOS,1,,,,,,,,,,,,,,,,,,,,,,
BA-04154/2020,https://quersaberpolitica.com.br/2016/instituto-seculus-tem-mais-uma-pesquisa-em-casa-nova-impugnada-e-proibida-de-ser-divulgada/,CASA NOVA,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-01937/2020,https://www.tvnbn.com.br/bn-seculus-atual-prefeito-marcelo-e-favorito-na-eleicao-em-governador-mangabeira/,GOVERNADOR MANGABEIRA,1,P,0,,,MARCELO,"45,4",DOMINGAS,"23,01",PIMENTEL,"1,69",EDGAR HENRIQUE,"1,23",,,,,,,,,,,,,,,,,,,,,,
