tse_id,url,util,NM_UE,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
AC-06347/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-01408/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-08875/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-00077/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-00859/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-01331/2020,https://www.portaldoholanda.com.br/eleicoes/amazonino-avanca-e-encosta-em-david-almeida-aponta-pesquisa,1,,P,1,,,DAVID ALMEIDA,41,AMAZONINO MENDES,39,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-01804/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-02801/2020,https://bncamazonas.com.br/wp-content/uploads/2020/11/2%C2%AA-PESQUISA-ELEITORAL-MANAUS-2%C2%BA-TURNO-AM-02801-TSE.pdf,1,,P,1,,,AMAZONINO MENDES,"37,1",DAVID ALMEIDA,"48,9",,,,,,,,,,,,,,,,,,,,,,,,,,
AM-03423/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-07265/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-07905/2020,https://amazonas1.com.br/eleicoes-2020/pesquisa-da-eficaz-aponta-vantagem-de-9-pontos-de-david-sobre-amazonino/,1,,p,0,,,DAVID ALMEIDA,45.9,AMAZONINO MENDES,"38,1",,,,,,,,,,,,,,,,,,,,,,,,,,
AM-07905/2020,https://amazonas1.com.br/eleicoes-2020/pesquisa-da-eficaz-aponta-vantagem-de-9-pontos-de-david-sobre-amazonino/,1,,p,1,,,DAVID ALMEIDA,"45,9",AMAZONINO MENDES,"38,1",,,,,,,,,,,,,,,,,,,,,,,,,,
AM-09448/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-09625/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP-02947/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-05963/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-09700/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-07055/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-03084/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-07163/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE-05483/2020,https://valor.globo.com/politica/noticia/2020/11/20/datafolha-em-fortaleza-sarto-tem-50percent-e-capitao-wagner-36percent.ghtml,1,,P,1,,,SARTO,50,CAPITAO WAGNER,36,,,,,,,,,,,,,,,,,,,,,,,,,,
CE-07448/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE-07611/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES-03817/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES-09301/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES-00165/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES-09256/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES-03533/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES-05302/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES-02815/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES-05907/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-01023/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-02435/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-06731/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-07739/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00671/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-01140/2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
