tse_id,url,info_uf,info_muni,info_position,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
PI-02335/2020,https://www.portalr10.com/noticia/55567/deputados-do-pi-terao-valores-gastos-com-tratamento-de-covid-19-ressarcidos,PI,TERESINA,Prefeito,1,P,0,,,FIRMINO FILHO,"12,89",DR. PESSOA,"7,44",KLEBER MONTEZUMA,"5,45",FABIO ABREU,"4,13",FABIO NOVO,"2,31",MAJOR DIEGO,"1,32",,,,,,,,,,,,,,,,,,
PI-02335/2020,https://www.portalr10.com/noticia/55567/deputados-do-pi-terao-valores-gastos-com-tratamento-de-covid-19-ressarcidos,PI,TERESINA,Prefeito,1,P,1,,,DR PESSOA,"33,06",FABIO ABREU,"20,99",KLEBER MONTEZUMA,"9,92",FABIO NOVO,"5,29",MAJOR DIEGO,"2,64",VALTER ALENCAR,"2,64",FABIO SERVIO,"1,32",,,,,,,,,,,,,,,,
MA-04247/2020,https://www.blogdomarcosilva.com.br/jpesquisa-mostra-lideranca-de-francisco-nagib-em-codo/,MA,CODÓ,Prefeito,1,P,1,,,FRANCISCO NAGIB,33,DR. ZE FRANCISCO,22,ZITO ROLIM,13,CAMILO FIGUEIREDO,12,PEDRO BELO,3,CHIQUINHO DO SAAE,2,,,,,,,,,,,,,,,,,,
MA-04247/2020,https://www.blogdomarcosilva.com.br/jpesquisa-mostra-lideranca-de-francisco-nagib-em-codo/,MA,CODÓ,Prefeito,1,P,0,,,FRANCISCO NAGIB,28,DR. ZE FRANCISCO,13,ZITO ROLIM,4,CAMILO FIGUEIREDO,3,PEDRO BELO,2,CHIQUINHO DO SAAE,1,,,,,,,,,,,,,,,,,,
BA-06696/2020,https://www.boquiraemacao.com.br/2020/08/boquira-ba-nova-pesquisa-registrada-no.html,BA,BOQUIRA,Prefeito,1,P,1,,,LUCIANO DA FARMACIA,"56,6",MARCO TULIO,"22,8",DANILO,"3,9",,,,,,,,,,,,,,,,,,,,,,,,
PE-05458/2020,https://portaldeprefeitura.com.br/2020/08/10/pesquisa-revela-cenario-indefinido-nas-eleicoes-municipais-do-recife/,PE,RECIFE,Prefeito,1,P,1,,,JOAO CAMPOS,16,MENDONÇA FILHO,14,DANIEL COELHO,14,MARILIA ARRAES,12,DELEGADA PATRICIA DOMINGOS,12,,,,,,,,,,,,,,,,,,,,
PE-05458/2020,https://ricardoantunes.com.br/wp-content/uploads/2020/08/Pesquisa-Conectar-DEM-Divulga%C3%A7%C3%A3o.pdf,PE,RECIFE,Prefeito,1,P,0,,,GERALDO JULIO,4,JOAO CAMPOS,2,DELEGADA PATRICIA DOMINGOS,2,MARILIA ARRAES,1,DANIEL COELHO,1,MENDONÇA FILHO,1,,,,,,,,,,,,,,,,,,
CE-05972/2020,https://www.imapepb.com.br/noticias/notcias/983827,CE,MILAGRES,Prefeito,1,P,1,,,DR. ABRAAO,"47,8",FIGUEIREDO,"32,4",PEPE DA PAPELARIA,"3,3",,,,,,,,,,,,,,,,,,,,,,,,
CE-05972/2020,https://www.imapepb.com.br/noticias/notcias/983827,CE,MILAGRES,Prefeito,1,P,0,,,DR. ABRAAO,"39,2",FIGUEIREDO,"28,6",PEPE DA PAPELARIA,"1,2",,,,,,,,,,,,,,,,,,,,,,,,
CE-04835/2020,https://www.ibopeinteligencia.com/noticias-e-pesquisas/neste-momento-a-disputa-pela-prefeitura-de-aracati-tem-bismark-maia-na-lideranca-com-ampla-vantagem/,CE,ARACATI,Prefeito,1,P,0,,,BISMARCK MAIA,55,CAETANO NETO,1,EVALDO SILVA,1,,,,,,,,,,,,,,,,,,,,,,,,
CE-04835/2020,https://www.ibopeinteligencia.com/noticias-e-pesquisas/neste-momento-a-disputa-pela-prefeitura-de-aracati-tem-bismark-maia-na-lideranca-com-ampla-vantagem/,CE,ARACATI,Prefeito,1,P,1,,,BISMARCK MAIA,70,CAETANO NETO,13,EVALDO SILVA,5,ANTONIO QUIRINO,1,,,,,,,,,,,,,,,,,,,,,,
MT-02907/2020,https://estadaomatogrosso.nyc3.digitaloceanspaces.com/storage/webdisco/pageflip/151/source.pdf,MT,ALTO ARAGUAIA,Prefeito,1,P,0,,,GUSTAVO MELO,29,MARTHA MAIA,20,MAIA NETO,6,MACIEL PERUCHI,2,SILVIA MAIA,2,DR. WILSON,1,ALCIDES BATISTA FILHO,1,,,,,,,,,,,,,,,,
MT-02907/2020,https://estadaomatogrosso.nyc3.digitaloceanspaces.com/storage/webdisco/pageflip/151/source.pdf,MT,ALTO ARAGUAIA,Prefeito,1,P,1,,,GUSTAVO MELO,40,MARTHA MAIA,29,MACIEL PERUCHI,4,JUNIOR BUONI,1,,,,,,,,,,,,,,,,,,,,,,
MA-01461/2020,https://www.wiltonlima.com.br/2020/08/o-blog-wilton-lima-teve-acesso.html,MA,AÇAILÂNDIA,Prefeito,1,P,1,,,DR. BENJAMIM,44,ALUISIO SOUSA,21,JARDEL BOM JARDIM,10,DEUSDETE,8,SILVANA SILVESTRE,6,SERGIO VIEIRA,2,MALAQUIAS JUNIOR,1,SAMARA,1,,,,,,,,,,,,,,
MA-01461/2020,https://www.wiltonlima.com.br/2020/08/o-blog-wilton-lima-teve-acesso.html,MA,AÇAILÂNDIA,Prefeito,1,P,0,,,DR. BENJAMIM,25,ALUISIO SOUSA,11,JARDEL BOM JARDIM,4,SERGIO VIEIRA,1,DEUSDETE,1,MALAQUIAS JUNIOR,1,SAMARA,1,SILVANA SILVESTRE,1,,,,,,,,,,,,,,
MA-07515/2020,https://www.blogdojorgearagao.com.br/2020/08/20/escutec-aponta-lideranca-de-maria-felix-em-cajari/,MA,CAJARI,Prefeito,1,P,1,,,MARIA FELIX,44,CAMYLA SANTOS,36,ITALO BONIFACIO,9,PADRE PAULO,3,,,,,,,,,,,,,,,,,,,,,,
MA-07515/2020,https://www.blogdojorgearagao.com.br/2020/08/20/escutec-aponta-lideranca-de-maria-felix-em-cajari/,MA,CAJARI,Prefeito,1,P,0,,,MARIA FELIX,38,CAMYLA SANTOS,33,ITALO BONIFACIO,4,,,,,,,,,,,,,,,,,,,,,,,,
MA-05325/2020,https://www.carolinaotempo.com.br/noticias/cidade/481580,MA,CAROLINA,Prefeito,1,P,1,,,DR. ERIVELTON,61,GILMA BARROS,17,JAYME DA PIPES,15,,,,,,,,,,,,,,,,,,,,,,,,
MA-05325/2020,https://www.carolinaotempo.com.br/noticias/cidade/481580,MA,CAROLINA,Prefeito,1,P,0,,,DR. ERIVELTON,50,GILMA BARROS,12,JAYME DA PIPES,10,,,,,,,,,,,,,,,,,,,,,,,,
MA-03744/2020,https://hora1news.com/2020/08/18/confirmado-dr-orlando-na-corrida-eleitoral-em-presidente-dutra/,MA,PRESIDENTE DUTRA,Prefeito,1,P,1,,,RAIMUNDINHO,46,BINE,21,DR. ORLANDO,20,LUCAS LORENÇO,1,,,,,,,,,,,,,,,,,,,,,,
MA-01773/2020,https://johncutrim.com.br/escutec-erica-revil-lidera-em-lago-verde/,MA,LAGO VERDE,Prefeito,1,P,1,,,ALEX ALMEIDA,34,ERICA REVIL,33,PROFESSOR OLIVEIRA,12,LAERCIO LIMA,3,,,,,,,,,,,,,,,,,,,,,,
MA-01735/2020,https://www.ma10.com.br/2020/08/22/pesquisa-mostra-cenario-da-disputa-eleitoral-no-municipio-de-coelho-neto/,MA,COELHO NETO,Prefeito,1,P,0,,,BRUNO SILVA,"20,9",AMERICO DE SOUSA,13,ALBINO KLAUBERTH,"2,5",ILSON BAIANO,"2,5",,,,,,,,,,,,,,,,,,,,,,
