id_pesq,info_muni,url,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
CE-05364/2020,MISSÃO VELHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-09809/2020,IPIRÁ,https://www.bahianoticias.com.br/municipios/noticia/22620-bn-seculus-dudy-e-favorito-a-vencer-eleicao-para-prefeitura-em-ipira.html,1,p,1,,,DUDY,"47,2",BRANDAO,"33,46",HUGO BAIANO,"2,32",,,,,,,,,,,,,,,,,,,,,,,,
BA-09809/2020,IPIRÁ,https://www.bahianoticias.com.br/municipios/noticia/22620-bn-seculus-dudy-e-favorito-a-vencer-eleicao-para-prefeitura-em-ipira.html,1,p,0,,,DUDY,"45,65",BRANDAO,"32,11",HUGO BAIANO,"1,35",,,,,,,,,,,,,,,,,,,,,,,,
RN-02389/2020,CAMPO REDONDO,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-06133/2020,CAMAÇARI,https://www.diariocidade.com/noticias/pesquisa-eleitoral/pesquisa-eleitoral-camacari-setembro-2020/,1,P,1,,,ELINALDO ARAUJO,47,INOVENIDE CAETANO,24,OZIEL ARAUJO,5,SOCRATES MAGNO,1,PEDRINHO DE PEDRAO,1,ANTONIO CARLOS SOARES,1,,,,,,,,,,,,,,,,,,
BA-06133/2020,CAMAÇARI,https://www.diariocidade.com/noticias/pesquisa-eleitoral/pesquisa-eleitoral-camacari-setembro-2020/,1,P,0,,,ELINALDO ARAUJO,41,INOVENIDE CAETANO,13,OZIEL ARAUJO,4,CAETANO,3,SOCRATES MAGNO,1,,,,,,,,,,,,,,,,,,,,
GO-00120/2020,LEOPOLDO DE BULHÕES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-08202/2020,SÃO JOÃO DA PARAÚNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS-09536/2020,CANOAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00508/2020,ITAGUAÇU DA BAHIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-07246/2020,BONITO,https://leoricardonoticias.com.br/2018/dia-a-dia/eleicoes-2020-renan-de-lourinho-chega-a-71-da-preferencia-do-eleitorado-de-bonito-ba-segundo-pesquisa/,1,P,1,,,REINAN DE LOURINHO,"71,3",ROMULO CARNEIRO,20,NETO DA RIO BARRO,"2,3",,,,,,,,,,,,,,,,,,,,,,,,
BA-07246/2020,BONITO,https://leoricardonoticias.com.br/2018/dia-a-dia/eleicoes-2020-renan-de-lourinho-chega-a-71-da-preferencia-do-eleitorado-de-bonito-ba-segundo-pesquisa/,1,P,0,,,REINAN DE LOURINHO,"61,9",ROMULO CARNEIRO,"13,6",,,,,,,,,,,,,,,,,,,,,,,,,,
RO-03254/2020,VILHENA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-02734/2020,PIRES DO RIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-08740/2020,TAUBATÉ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-09138/2020,GOVERNADOR NUNES FREIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN-03259/2020,CAICÓ,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-06912/2020,BURITI DOS LOPES,https://www.oitomeia.com.br/colunas/eleicoes2020/2020/09/17/pesquisa-eleitoral-em-buriti-dos-lopes-junior-percy-tem-54-das-intencoes-de-votos-e-bernildo-val-27/,0,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
