id_pesq,info_muni,url,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
tse_id,info_muni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-09082/2020,UNIÃO DOS PALMARES,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-09993/2020,ABAÍRA,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00000/2020,SERRANO DO MARANHÃO,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-02222/2020,FERNANDO FALCÃO,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-02741/2020,ALDEIAS ALTAS,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-07112/2020,APICUM-AÇU,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-09355/2020,MIRINZAL,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-09597/2020,FRUTAL,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-01896/2020,CURIONÓPOLIS,https://correiodecarajas.com.br/curionopolis-justica-eleitoral-suspende-pesquisa-fraudulenta/,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-05330/2020,PARAUAPEBAS,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-02495/2020,VALENÇA DO PIAUÍ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-04780/2020,NAZÁRIA,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00929/2020,IVAIPORÃ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJ-04508/2020,CARAPEBUS,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE-02144/2020,NOSSA SENHORA DO SOCORRO,https://politicaajato.com.br/pesquisa-espontanea-mostra-polarizacao-entre-inaldo-e-dr-samuel-em-socorro/,1,p,0,,,PADRE INALDO,"13,3",DR SAMUEL,8,,,,,,,,,,,,,,,,,,,,,,,,,,
SE-03021/2020,ARACAJU,https://ajunews.com.br/politica/danielle-garcia-lidera-corrida-para-prefeitura-de-aracaju-aponta-pesquisa-do-cidadania/,1,p,1,,,DANIELLE GARCIA,"21,88",EDVALDO NOGUEIRA,"21,31",VALADARES FILHO,"12,5",GILMAR CARVALHO,"11,36",ALMEIDA LIMA,"1,7",MARCIO MACEDO,"1,42",RODRIGO VALADARES,"1,14",,,,,,,,,,,,,,,,
SE-04679/2020,ARACAJU,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-01393/2020,ARAÇARIGUAMA,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-08919/2020,SUMARÉ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-09915/2020,ITANHAÉM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TO-08023/2020,SANTA RITA DO TOCANTINS,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-03976/2020,MATRIZ DE CAMARAGIBE,https://al1.com.br/noticias/politica/45450/datasensus-divulga-nota-sobre-decisao-judicial-que-impede-divulgacao-de-pesquisa-em-matriz,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
