"candidate","SG_UE","CD_CARGO",NUMERO_CANDIDATO
"ANDRE JANONES","BR",1,37
"LUCIANO BIVAR","BR",1,44
"JAIR BOLSONARO","BR",1,22
"CIRO GOMES","BR",1,12
"LUIZ FELIPE D'AVILA","BR",1,30
"EYMAEL","BR",1,27
"LEONARDO PERICLES","BR",1,50
"LUIZ INACIO LULA DA SILVA","BR",1,13
"PABLO MARCAL","BR",1,90
"SIMONE TEBET","BR",1,15
"SOFIA MANZANO","BR",1,21
"VERA LUCIA","BR",1,16

"DAVID HALL","AC",3,36
"GLADSON CAMELI","AC",3,11
"JENILSON LEITE","AC",3,40
"JORGE VIANA","AC",3,13
"MARA ROCHA","AC",3,15
"NILSON EUCLIDES","AC",3,50
"SERGIO PETECAO","AC",3,55

"ANTONIO ALBUQUERQUE","AL",3,10
"CICERO ALBUQUERQUE","AL",3,50
"FERNANDO COLLOR","AL",3,14
"MONICA CARVALHO","AL",3,77
"PAULO DANTAS","AL",3,15
"REGIS CAVALCANTE","AL",3,23
"RODRIGO CUNHA","AL",3,44
"RUI PALMEIRA","AL",3,55

"AMAZONINO MENDES","AM",3,23
"CAROL BRAZ","AM",3,12
"EDUARDO BRAGA","AM",3,15
"HENRIQUE OLIVEIRA","AM",3,19
"JOAO PEDRO","AM",3,13
"MARCELO AMIL","AM",3,50
"PLINIO VALERIO","AM",3,45
"RICARDO NICOLAU","AM",3,77
"WILSON LIMA","AM",3,44
"MARCELO RAMOS","AM",3,55

"ACM NETO","BA",3,44
"GIOVANI DAMICO","BA",3,21
"JERONIMO RODRIGUES","BA",3,13
"JOAO ROMA","BA",3,22
"KLEBER ROSA","BA",3,50

"ADELITA MONTEIRO","CE",3,101
"CAPITAO WAGNER","CE",3,103
"CHIQUINHO FEITOSA","CE",3,104
"EDUARDO GIRAO","CE",3,105
"EUNICIO OLIVEIRA","CE",3,106
"EVANDRO LEITAO","CE",3,107
"IZOLDA CELA","CE",3,108
"MAURO FILHO","CE",3,109
"ROBERTO CLAUDIO","CE",3,110

"IBANEIS ROCHA","DF",3,15
"IZALCI LUCAS","DF",3,45
"KEKA BAGNO","DF",3,50
"LEANDRO GRASS","DF",3,43
"LEILA BARROS VOLEI","DF",3,12
"RAFAEL PARENTE","DF",3,40
"JOSE REGUFFE","DF",3,44
"JOAO VICENTE GOULART","DF",3,65
"LUCAS SALLES","DF",3,27
"ROBSON DA SILVA","DF",3,16
"WINSTON LIMA","DF",3,28

"ARIDELMO TEIXEIRA","ES",3,30
"AUDIFAX BARCELOS","ES",3,18
"CARLOS MANATO","ES",3,22
"CESAR COLNAGO","ES",3,55
"ERICK MUSSO","ES",3,10
"FABIANO CONTARATO","ES",3,13
"FELIPE RIGONI","ES",3,44
"GUERINO ZANON","ES",3,55
"RENATO CASAGRANDE","ES",3,40

"GUSTAVO MENDANHA","GO",3,51
"MAJOR VITOR HUGO","GO",3,22
"MARCONI PERILLO","GO",3,45
"RONALDO CAIADO","GO",3,44
"WOLMIR AMADO","GO",3,13
"EDIGAR DINIZ","GO",3,30
"HELGA MARTINS","GO",3,21

"CARLOS BRANDAO","MA",3,40
"EDIVALDO HOLANDA JUNIOR","MA",3,55
"ENILTON RODRIGUES","MA",3,50
"HERTZ DIAS","MA",3,16
"JOSIMAR MARANHAOZINHO","MA",3,22
"LAHESIO BONFIM","MA",3,36
"SIMPLICIO ARAUJO","MA",3,77
"WEVERTON ROCHA","MA",3,12

"ALEXANDRE KALIL","MG",3,55
"CARLOS VIANA","MG",3,22
"MIGUEL CORREA","MG",3,12
"ROMEU ZEMA","MG",3,30
"LORENE FIGUEIREDO","MG",3,50
"MARCUS PESTANA","MG",3,45
"RENATA REGINA","MG",3,21

"ANDRE PUCCINELLI","MS",3,15
"CAPITAO CONTAR","MS",3,28
"EDUARDO RIEDEL","MS",3,45
"GISELLE MARQUES","MS",3,13
"MARQUINHOS TRAD","MS",3,55
"ROSE MODESTO","MS",3,44

"BLAIRO MAGGI","MT",3,101
"DILCEU ROSSATO","MT",3,102
"EMANUEL PINHEIRO","MT",3,103
"FLAVIO FRICAL","MT",3,104
"GILBERTO LOPES FILHO","MT",3,105
"JANAINA RIVA","MT",3,106
"JOSE CARLOS","MT",107
"JOSE ROBERTO STOPPA","MT",3,108
"LUCIMAR CAMPOS","MT",3,109
"MARIA LUCIA CAVALLI","MT",3,110
"MAURO MENDES","MT",3,44
"NILSON LEITAO","MT",3,112
"OTAVIANO PIVETTA","MT",3,113
"PROCURADOR MAURO","MT",3,50
"ROSA NEIDE","MT",3,115
"VICTORIO GALLI","MT",3,14
"WELLINGTON FAGUNDES","MT",3,117

"ANA JULIA","PA",3,101
"ARACELI","PA",3,102
"BETO FARO","PA",3,103
"CLEBER RABELO","PA",3,104
"EVERALDO EGUCHI","PA",3,105
"FERNANDO CARNEIRO","PA",3,50
"FLEXA RIBEIRO","PA",3,107
"HELDER BARBALHO","PA",3,15
"MANOEL PIONEIRO","PA",3,109
"MARCIO MIRANDA","PA",3,44
"MARIO COUTO","PA",3,111
"PAULO ROCHA","PA",3,112
"PROFESSORA SILVIA LETICIA","PA",3,113
"SIMAO JATENE","PA",3,114
"ZENALDO COUTINHO","PA",3,115
"ZEQUINHA MARINHO","PA",3,22

"JOAO AZEVEDO","PB",3,40
"LIGIA FELICIANO","PB",3,12
"NILVAN FERREIRA","PB",3,22
"PEDRO CUNHA LIMA","PB",3,45
"VENEZIANO VITAL DO REGO","PB",3,15
"ADJANY SIMPLICIO","PB",3,50

"ANDERSON FERREIRA","PE",3,22
CLAUDIA RIBEIRO,PE,3,16
