tse_id,url,info_uf,info_position,util,position,ambito,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12
AC-06900/2022,https://folhadoacre.com.br/2022/04/gladson-lidera-nova-pesquisa-ao-governo-com-31-seguido-de-jenilson-leite-com-179/,AC,"Governador, Senador",1,g,AC,,,,Gladson Cameli,31,Jenilson Leite,"17,9",Petecão,"13,8",Mara Rocha,"9,3",Nilson Euclides,"1,8",,,,,,,,,,,,,,
AM-05330/2022,https://portalcm7.com/noticias/politica/pesquisa-eleitoral-no-interior-do-amazonas-surpreende-eleitores-politicos-despencam-e-outros-crescem/,AM,Governador,1,g,AM,1,,,Wilson Lima,"35,1",Amazonino Mendes,"31,5",Eduardo Braga,"14,2",Plínio Valério,"9,6",Ricardo Nicolau,"4,4",,,,,,,,,,,,,,
AM-06436/2022,https://www.federalregister.gov/documents/2022/03/28/2022-06436/information-collection-secure-rural-schools-act,AM,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-06793/2022,https://www.manaus.am.gov.br/noticia/iptu-premiado-2022-ja-esta-disponivel-para-impressao-e-pagamento/,AM,Governador,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP-03296/2022,https://eparaguacu.sp.gov.br/licitacao/detalhe/234895/paquisicao-de-pecas-para-aparelho-de-eletrocardiogramap/,AP,"Governador, Senador, Deputado Federal",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-01582/2022,https://informeba.com.br/2022/03/30/pesquisa-seculos-mostra-disputa-acirrada-entre-otto-alencar-joao-leao-e-dra-raissa-para-o-senado/,BA,"Governador, Senador",1,s,BA,,,,Otto Alencar,"26,17",João Leão,"16,36",Dra. Raíssa,"9,1",Tâmara Azevedo,"3,01",,,,,,,,,,,,,,,,
BA-01582/2022,http://bahiaemdia.com.br/pesquisa-bnseculus-aponta-vitoria-de-acm-neto-no-1o-turno-para-o-governo-da-bahia/,BA,"Governador, Senador",1,g,BA,1,,,ACM Neto,"63,48",Jerônimo,"6,54",João Roma,"5,69",Kleber Rosa,"1,83",,,,,,,,,,,,,,,,
BR-00368/2022,https://www.crescemosjuntos.com.br/trabalhe-conosco/vaga?protocolo=00368/2022,BR,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-00372/2022,https://paranaportal.uol.com.br/politica/genial-quaest-07-04-2022,BR,Presidente,1,pr,BR,1,,,Lula,45,Bolsonaro,31,Ciro,6,Janones,2,Doria,2,Tebet,1,Vera Lúcia,1,,,,,,,,,,
BR-00758/2022,https://drive.google.com/file/d/1S5Ju6Zu1r8l59_XGSqQP7aIZhTrWNUSN/view,BR,Presidente,1,pr,BR,0,,,Bolsonaro,"33,4",Lula,"32,9",Ciro,"2,7",Moro,"2,4",Janones,"0,7",Doria,"0,5",Tebet,"0,3",D'ávila,"0,1",,,,,,,,
