tse_id,url,SG_UF,DS_CARGOS,util,position,ambito,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12
AM-06436/2022,https://www.uol.com.br/eleicoes/2022/04/11/pesquisa-real-time-big-data-governo-amazonas-abril.htm,AM,"Senador, Governador",1,g,am,1,,,amazonino mendes,32,wilson lima,19,eduardo braga,17,ricardo nicolau,5,henrique oliveira,4,carol braz,3,marcelo amil,1,,,,,,,,,,
AM-06436/2022,https://www.uol.com.br/eleicoes/2022/04/11/pesquisa-real-time-big-data-governo-amazonas-abril.htm,AM,"Senador, Governador",1,s,am,1,,,virgilio neto,21,omar aziz,15,coronel menezes,14,luiz castro,9,chico preto,7,,,,,,,,,,,,,,
AM-06793/2022,https://observatoriomanaus.com/2022/03/amazonino-lidera-com-305-wilson-lima-tem-239-diz-pesquisa-encomendada-pela-emissora-de-radio-e-tv-onda-digital/,AM,Governador,1,g,am,0,,,amazonino ,"22,4",wilson lima,18,eduardo braga,"14,6",plinio valerio,"1,6",ricardo nicolau,"1,5",henrique,"1,4",carol,"1,4",,,,,,,,,,
AM-06793/2022,https://observatoriomanaus.com/2022/03/amazonino-lidera-com-305-wilson-lima-tem-239-diz-pesquisa-encomendada-pela-emissora-de-radio-e-tv-onda-digital/,AM,Governador,1,g,am,1,,,amazonino ,"30,5",wilson lima,"23,9",eduardo braga,"19,3",plinio valerio,"3,4",ricardo nicolau,"3,2",carol braz,"2,8",henrique oliveira,"2,4",,,,,,,,,,
BR-00368/2022,https://www.folhavitoria.com.br/politica/noticia/04/2022/poderdata-vantagem-de-lula-para-bolsonaro-cai-a-5-pontos,BR,Presidente,1,pr,br,1,,,lula,40,bolsonaro,35,ciro gomes,5,joao doria,3,andre janones,3,simone tebet,2,eymael,1,,,,,,,,,,
BR-01631/2022,https://www.uol.com.br/eleicoes/2022/04/13/sensus-pesquisa-abril-lula-bolsonaro-eleicoes-2022.htm,BR,Presidente,1,pr,br,1,,,lula,"43,3",bolsonaro,"28,8",ciro gomes,"6,3",joao doria,"2,6",andre janones,2,vera lucia,"1,1",,,,,,,,,,,,
BR-02093/2022,https://www.paranapesquisas.com.br/noticias/eleicoes2022-fique-de-olho-nas-pesquisas-eleitorais-que-serao-publicadas-nesta-semana-3/,BR,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-04569/2022,https://www.oliberalnews.com.br/2022/04/10/eleicoes-2022-nova-pesquisa-para-presidente-no-mato-grosso-do-sul/,BR,Presidente,1,pr,br,1,,,bolsonaro,"37,3",lula,"27,1",ciro gomes,"6,2",simone tebet,4,joao doria,"2,3",,,,,,,,,,,,,,
BR-07089/2022,https://www.paranapesquisas.com.br/noticias/eleicoes2022-fique-de-olho-nas-pesquisas-eleitorais-que-serao-publicadas-esta-semana/,BR,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-07411/2022,https://www.paranapesquisas.com.br/noticias/ibpad-divulgada-pesquisa-eleitoral-nacional-nesta-quinta-feira-31/,BR,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-07748/2022,https://www.paranapesquisas.com.br/destaque/confira-as-pesquisas-eleitorais-divulgadas-nesta-quarta-feira-30/,BR,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-07987/2022,https://www.paranapesquisas.com.br/noticias/instituto-ideia-instituto-ver-e-ibop-divulgam-nesta-quinta-24-pesquisas-eleitorais/,BR,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-08671/2022,https://www.paranapesquisas.com.br/noticias/instituto-opnus-divulga-pesquisa-eleitoral-nesta-sexta-feira-01/,BR,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE-02528/2022,https://www.jornaldoceara.com/destaque/realizada-pelo-instituto-ipec-pesquisa-para-governo-do-ceara-e-registrada-no-tse-confira-detalhes/,CE,Governador,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE-09564/2022,https://mais.opovo.com.br/jornal/politica/2022/04/01/camilo-deixa-governo-com-78-de-aprovacao-mostra-pesquisa-opnus.html,CE,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-02272/2022,https://difusoraon.com/2022/03/26/instituto-exata-aponta-vitoria-de-weverton-caso-as-eleicoes-fossem-hoje/,MA,"Governador, Deputado Estadual, Deputado Federal, Senador",1,s,ma,1,,,flavio dino,51,roberto rocha,20,edivaldo holanda,10,saulo arcangeli,1,paulo romao,1,antonia cariongo,1,,,,,,,,,,,,
MA-02272/2022,https://difusoraon.com/2022/03/26/instituto-exata-aponta-vitoria-de-weverton-caso-as-eleicoes-fossem-hoje/,MA,"Governador, Deputado Estadual, Deputado Federal, Senador",1,g,ma,1,,,weverton rocha,22,carlos brandao,16,roberto rocha,13,edivaldo holanda,12,lahesio bonfim,10,josimar,6,simplicio araujo,2,enilton rodrigues,1,,,,,,,,
MS-07079/2022,https://bn1.com.br/noticias/justica-impugna-pesquisa-datamax-por-ser-falsa/,MS,Governador,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
MS-09921/2022,https://rankingpesquisa.com.br/noticias/pesquisa-sobre-as-eleicoes-2022-em-mato-grosso-do-sul-em-pdf/,MS,"Governador, Deputado Estadual, Deputado Federal, Senador",1,g,ms,1,,,andre puccinelli,"22,5",rose modesto,"20,10",marquinhos trad,"17,4",eduardo riedel,"16,2",capitao contar,"2,7",,,,,,,,,,,,,,
MS-09921/2022,https://rankingpesquisa.com.br/noticias/pesquisa-sobre-as-eleicoes-2022-em-mato-grosso-do-sul-em-pdf/,MS,"Governador, Deputado Estadual, Deputado Federal, Senador",1,g,ms,0,,,andre puccinelli,"16,5",rose modesto,13,marquinhos trad,"10,2",eduardo riedel,"8,10",zeca do pt,5,capitao contar,"1,1",,,,,,,,,,,,
MS-09921/2022,https://rankingpesquisa.com.br/noticias/eleicoes-2022-nova-pesquisa-para-o-senado-veja-os-numeros/,MS,"Governador, Deputado Estadual, Deputado Federal, Senador",1,s,ms,1,,,tereza cristina,"38,4",odilon,10,waldeli dos santos,"6,2",,,,,,,,,,,,,,,,,,
MS-09921/2022,https://rankingpesquisa.com.br/noticias/eleicoes-2022-nova-pesquisa-para-o-senado-veja-os-numeros/,MS,"Governador, Deputado Estadual, Deputado Federal, Senador",1,s,ms,0,,,rose modesto,"12,3",tereza cristina,"10,5",henrique mandetta,"8,10",odilon,"3,5",waldeli,"1,8",,,,,,,,,,,,,,
MT-03989/2022,https://www.midianews.com.br/opiniao/corrida-eleitoral/419387,MT,"Senador, Deputado Distrital, Governador, Deputado Estadual, Deputado Federal",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT-08488/2022,https://www.acritica.net/editorias/economia/fgv-diz-que-confianca-da-industria-atinge-maior-pa-08488b0d76ffe1bc4cb/540476/,MT,"Senador, Deputado Estadual, Deputado Federal, Governador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
