tse_id,SG_UF,NM_UE,DS_CARGOS,util,url,position,ambito,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12
"""AC-04011/2022""",AC,ACRE,"Governador, Senador",1,https://ac24horas.com/2022/05/06/pesquisa-poe-gladson-com-38-jenilson-com-11-e-mara-e-petecao-com-10/,g,AC,1,,,Gladson,"38,1",Jenilson,"11,1",Petecão,"10,8",Mara Rocha,"10,1",Jorge Moura,"2,1",Nilson,"1,2",,,,,,,,,,,,
"""AC-04011/2022""",AC,ACRE,"Governador, Senador",1,https://ac24horas.com/2022/05/06/pesquisa-poe-gladson-com-38-jenilson-com-11-e-mara-e-petecao-com-10/,g,AC,0,,,Gladson,"19,2",Mara Rocha,"4,3",Jenilson,"3,2",Petecão,"2,4",Jorge Viana,"1,2",,,,,,,,,,,,,,
"""AC-04011/2022""",AC,ACRE,"Governador, Senador",1,https://ac24horas.com/2022/05/06/pesquisa-poe-gladson-com-38-jenilson-com-11-e-mara-e-petecao-com-10/,s,AC,1,,,Jorge Viana,"21,2",Alan Rick,16,Jéssica Sales,16,Márcia Bittar,"14,2",Vanda Milani,"6,3",Sanderson,"2,2",,,,,,,,,,,,
"""AC-04020/2022""",AC,ACRE,"Senador, Deputado Estadual, Governador, Deputado Federal",1,https://ac24horas.com/2022/06/03/pesquisa-senado-jorge-tem-25-alan-22-jessica-16-e-marcia-14/,s,AC,1,,,Jorge Viana,"25,5",Alan Rick,"22,2",Jéssica Sales,"16,9",Marcia Bittar,14,Mailza Gomes,"2,9",Vanda Milani,"2,6",Sanderson Moura,2,,,,,,,,,,
"""AC-04020/2022""",AC,ACRE,"Senador, Deputado Estadual, Governador, Deputado Federal",1,https://ac24horas.com/2022/06/03/pesquisa-senado-jorge-tem-25-alan-22-jessica-16-e-marcia-14/,s,AC,0,,,Jorge Viana,"9,9",Jéssica Sales,8,Alan Rick,"6,7",Márcia Bittar,"5,5",Petecão,"2,7",Mailza Gomes,"1,3",Mara Rocha,1,,,,,,,,,,
"""AC-04020/2022""",AC,ACRE,"Senador, Deputado Estadual, Governador, Deputado Federal",1,https://agazetadoacre.com/2022/06/noticias/politica/pesquisa-da-fieac-aponta-que-gladson-cameli-ganharia-em-todos-os-cenarios-se-as-eleicoes-fossem-hoje/,g,AC,1,,,Gladson,"43,7",Jorge Viana,"20,5",Mara Rocha,"11,2",Sérgio Petecão,"10,4",Jenilson Leite,"5,5",,,,,,,,,,,,,,
"""AC-04020/2022""",AC,ACRE,"Senador, Deputado Estadual, Governador, Deputado Federal",1,https://agazetadoacre.com/2022/06/noticias/politica/pesquisa-da-fieac-aponta-que-gladson-cameli-ganharia-em-todos-os-cenarios-se-as-eleicoes-fossem-hoje/,g,AC,0,,,Gladson,41,Jorge Viana,9,Mara Rocha,"3,8",Sérgio Petecão,"3,6",Jenilson Leite,"2,5",Marcus Alexandre,"1,1",,,,,,,,,,,,
"""AC-04884/2022""",AC,ACRE,"Governador, Senador",1,https://ac24horas.com/2022/06/07/senado-2022-jorge-viana-tem-25-alan-rick-17-marcia-bittar-15-e-jessica-sales-14/,s,AC,1,,,Jorge Viana,24,Alan Rick,17,Márcia Bittar,15,Jéssica Sales,14,Mailza Gomes,5,Vanda Milani,3,Sanderson Moura,1,,,,,,,,,,
"""AC-04884/2022""",AC,ACRE,"Governador, Senador",1,https://www.uol.com.br/eleicoes/2022/06/07/real-time-big-data-governo-acre-junho.htm,g,AC,1,,,Gladson,41,Mara Rocha,17,Sérgio Petecão,14,Jenilson Leite,11,,,,,,,,,,,,,,,,
"""AC-04884/2022""",AC,ACRE,"Governador, Senador",1,https://www.uol.com.br/eleicoes/2022/06/07/real-time-big-data-governo-acre-junho.htm,g,AC,0,,,Gladson,26,Mara Rocha,4,Sérgio Petecão,4,Jenilson Leite,4,Jorge Viana,3,Marcus Alexandre,2,Márcio Bittar,1,,,,,,,,,,
"""AC-06444/2022""",AC,ACRE,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AL-01243/2022""",AL,ALAGOAS,"Senador, Governador, Deputado Estadual, Deputado Federal",1,https://www.diariocidade.com/eleicoes/2022/pesquisas-eleitorais/al/pesquisa-para-governador-de-alagoas-nas-eleicoes-2022-datasensus-01jun/,g,AL,1,,,Rodrigo Cunha,24,Paulo Dantas,21,Rui Palmeira,19,Cícero Albuquerque,2,Régis Cavalcante,2,Mônica Carvalho,1,,,,,,,,,,,,
"""AL-01243/2022""",AL,ALAGOAS,"Senador, Governador, Deputado Estadual, Deputado Federal",1,https://www.diariocidade.com/eleicoes/2022/pesquisas-eleitorais/al/pesquisa-eleitoral-senador-alagoas-eleicoes-2022-datasensus-01jun/,s,AL,1,,,Renan Filho,39,Fernando Collor,18,Davi Davino Filho,8,Antonio Albuquerque,4,Mario Agra,1,,,,,,,,,,,,,,
"""AL-04485/2022""",AL,ALAGOAS,"Governador, Senador",1,https://www.paranapesquisas.com.br/wp-content/uploads/2022/06/Midia_AL_Estadual-1.pdf,g,AL,1,,,Rodrigo Cunha,"26,9",Paulo Dantas,"25,6",Rui Palmeira,"24,2",,,,,,,,,,,,,,,,,,
"""AL-04485/2022""",AL,ALAGOAS,"Governador, Senador",1,https://www.paranapesquisas.com.br/wp-content/uploads/2022/06/Midia_AL_Estadual-1.pdf,g,AL,0,,,Paulo Dantas,"8,7",Renan Filho,"4,6",Rodrigo Cunha,"3,8",Rui Palmeira,"2,2",Fernando Collor,"1,9",,,,,,,,,,,,,,
"""AL-04485/2022""",AL,ALAGOAS,"Governador, Senador",1,https://www.paranapesquisas.com.br/wp-content/uploads/2022/06/Midia_AL_Estadual-1.pdf,s,AL,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AL-04485/2022""",AL,ALAGOAS,"Governador, Senador",1,https://www.paranapesquisas.com.br/wp-content/uploads/2022/06/Midia_AL_Estadual-1.pdf,s,AL,0,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AL-08391/2022""",AL,ALAGOAS,"Governador, Senador",1,https://www.jornaldealagoas.com.br/politica/2022/05/26/8518-davi-filho-tem-255-das-intencoes-de-voto-para-o-senado-em-maceio-aponta-pesquisa,s,M,,,,Davi Davino Filho,"25,5",Renan Filho,"22,5",Fernando Collor,17,Mário Agra,2,,,,,,,,,,,,,,,,
