tse_id,SG_UF,NM_UE,DS_CARGOS,util,url,ambito,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12
"""AL-00847/2022""",AL,ALAGOAS,"Governador, Deputado Estadual, Deputado Federal, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AL-04092/2022""",AL,ALAGOAS,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AL-07934/2022""",AL,ALAGOAS,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AL-08723/2022""",AL,ALAGOAS,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AM-04178/2022""",AM,AMAZONAS,"Senador, Deputado Estadual, Deputado Federal, Governador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AM-08915/2022""",AM,AMAZONAS,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BA-06306/2022""",BA,BAHIA,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BA-07579/2022""",BA,BAHIA,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-00035/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-00774/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-00969/2022""",BR,BRASIL,Presidente,1,https://98fmnatal.com.br/ultimas/sistema-ponta-negra-consult-lula-vence-com-4776-de-intencoes-de-voto-no-rn/,RN,pr,1,,,Lula ,47.76,Jair Bolsonaro,30.6,Ciro Gomes,6,Simone Tebet,0.35,Luciano Bivar,0.12,,,,,,,,,,,,,,
"""BR-00969/2022""",BR,BRASIL,Presidente,1,https://98fmnatal.com.br/ultimas/sistema-ponta-negra-consult-lula-vence-com-4776-de-intencoes-de-voto-no-rn/,RN,pr,0,,,Lula ,40.94,Jair Bolsonaro,26.24,Ciro Gomes,2.94,Simone Tebet,0.12,,,,,,,,,,,,,,,,
"""BR-01763/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-01804/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-01808/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-01822/2022""",BR,BRASIL,Presidente,1,https://www.poder360.com.br/pesquisas/lula-tem-43-contra-30-de-bolsonaro-em-sp-diz-datafolha/,SP,pr,1,,,Lula ,43,Jair Bolsonaro,30,Ciro Gomes,8,Simone Tebet,3,André Janones,2,Vera Lúcia,1,Pablo Marçal ,1,Felipe D'Avila,1,,,,,,,,
"""BR-02537/2022""",BR,BRASIL,Presidente,1,https://www.gp1.com.br/eleicoes-2022/noticia/2022/6/29/lula-tem-6424-bolsonaro-1736-e-ciro-gomes-616-no-piaui-aponta-instituto-gp1-528649.html,PI,pr,1,,,Lula ,64.24,Jair Bolsonaro,17.36,Ciro Gomes,6.16,Simone Tebet,1.04,André Janones,0.88,Vera Lúcia,0.32,Pablo Marçal ,0.16,Eymael,0.24,,,,,,,,
"""BR-02537/2022""",BR,BRASIL,Presidente,1,https://www.gp1.com.br/eleicoes-2022/noticia/2022/6/29/lula-tem-6424-bolsonaro-1736-e-ciro-gomes-616-no-piaui-aponta-instituto-gp1-528649.html,PI,pr,0,,,Lula ,59.12,Jair Bolsonaro,16.24,Ciro Gomes,2.88,Simone Tebet,0.32,André Janones,0.24,,,,,,,,,,,,,,
"""BR-02716/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-02845/2022""",BR,BRASIL,Presidente,1,https://static.poder360.com.br/2022/06/pesquisa-eleitoral-presidente-exame-ideia-23jun2022.pdf,BR,pr,0,,,Lula ,35,Jair Bolsonaro,30,Ciro Gomes,4,Simone Tebet,1,André Janones,1,,,,,,,,,,,,,,
"""BR-02845/2022""",BR,BRASIL,Presidente,1,https://static.poder360.com.br/2022/06/pesquisa-eleitoral-presidente-exame-ideia-23jun2022.pdf,BR,pr,1,,,Lula ,45,Jair Bolsonaro,36,Ciro Gomes,7,Simone Tebet,3,André Janones,1,,,,,,,,,,,,,,
"""BR-02847/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-03087/2022""",BR,BRASIL,Presidente,1,http://www.sergipenoticias.com/politica/2022/07/25790/pesquisa-eleitoral-inedita-em-sergipe.html,SE,PR,1,,,Lula,"55,2",Bolsonaro,"23,6",Ciro,"3,9",Janones,"1,8",Vera Lúcia,"1,1",Tebet,"0,7",,,,,,,,,,,,
"""BR-03362/2022""",BR,BRASIL,Presidente,1,https://www.poder360.com.br/pesquisas/bolsonaro-lidera-intencoes-de-voto-em-sp-diz-parana-pesquisas/,SP,PR,1,,,Bolsonaro,"39,7",Lula,"36,4",Ciro,"7,7",Tebet,"1,7",Pablo Marçal,"0,8",Janones,"0,7",D'ávila,"0,4",,,,,,,,,,
"""BR-03991/2022""",BR,BRASIL,Presidente,1,https://www.poder360.com.br/pesquisas/datafolha-lula-tem-41-contra-34-de-bolsonaro-em-1o-turno-no-rj/,RJ,PR,1,,,Lula,41,Bolsonaro,34,Ciro,8,Tebet,2,Vera Lúcia,1,Janones,1,Sofia Manzano,1,D'ávila,1,,,,,,,,
"""BR-04916/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-05022/2022""",BR,BRASIL,Presidente,1,https://static.poder360.com.br/2022/06/pesquisa-btg-fsb-27jun2022.pdf,BR,PR,1,,,Lula,43,Bolsonaro,33,Ciro,8,Tebet,3,Janones,2,Pablo Marçal,1,,,,,,,,,,,,
"""BR-05022/2022""",BR,BRASIL,Presidente,1,https://static.poder360.com.br/2022/06/pesquisa-btg-fsb-27jun2022.pdf,BR,PR,0,,,Lula,39,Bolsonaro,31,Ciro,3,,,,,,,,,,,,,,,,,,
"""BR-05024/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-05621/2022,BR,BRASIL,Presidente,1,https://rankingpesquisa.com.br/noticias/pesquisa-ranking-em-mato-grosso-do-sul-completa-em-pdf-veja-os-numeros/,MS,pr,0,,,Bolsonaro,"29,5",Lula,"27,8",Tebet,2,Ciro,"1,4",,,,,,,,,,,,,,,,
BR-05621/2022,BR,BRASIL,Presidente,1,https://rankingpesquisa.com.br/noticias/pesquisa-ranking-em-mato-grosso-do-sul-completa-em-pdf-veja-os-numeros/,MS,pr,1,,,Bolsonaro,"37,1",Lula,"35,4",Tebet,"3,7",Ciro,3,,,,,,,,,,,,,,,,
"""BR-05806/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-06505/2022""",BR,BRASIL,Presidente,0,https://www.pollingdata.com.br/capa2022/previsao_2022_all.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-06550/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-06776/2022""",BR,BRASIL,Presidente,0,https://www.pollingdata.com.br/capa2022/previsao_2022_all.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-06810/2022""",BR,BRASIL,Presidente,0,https://www.pollingdata.com.br/capa2022/previsao_2022_all.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-06836/2022""",BR,BRASIL,Presidente,0,https://www.pollingdata.com.br/capa2022/previsao_2022_all.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-08027/2022""",BR,BRASIL,Presidente,1,https://www.poder360.com.br/eleicoes/bolsonaro-tem-393-no-rs-lula-345-diz-parana-pesquisas/,SP,PR,1,,,Bolsonaro,"39,3",Lula,"34,5",Ciro,"7,6",Tebet,"2,5",Pablo Marçal,"0,8",André Janones,"0,6",D'ávila,"0,5",Vera Lúcia,"0,5",Eymael,"0,4",Luciano Bivar,"0,2",Leonardo Péricles,"0,1",Sofia Manzano,"0,1"
"""BR-07841/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-08300/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-08372/2022""",BR,BRASIL,Presidente,1,https://diariodopoder.com.br/eleicoes-2022/em-pernambuco-lula-lidera-com-o-dobro-de-votos-de-bolsonaro,PE,PR,1,,,Lula,"52,1",Bolsonaro,"25,9",Ciro Gomes,6,Simone Tebet,1,André Janones,Pablo Marçal,"0,5",Sofia Manzano,"0,5",Vera Lúcia,"0,2",Luciano Bivar,"0,1",,,,,,,
"""BR-08402/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-08536/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-08684/2022""",BR,BRASIL,Presidente,1,https://www.poder360.com.br/pesquisas/datafolha-lula-tem-48-contra-28-de-bolsonaro-em-1o-turno-em-mg/,MG,PR,1,,,Lula,48,Jair Bolsonaro,28,Ciro Gomes,8,André Janones,3,Simone Tebet,2,Vera Lúcia,1,Luciano Bivar,1,,,,,,,,,,
"""BR-08701/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-09083/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-09088/2022""",BR,BRASIL,Presidente,1,https://www.uol.com.br/eleicoes/2022/06/23/datafolha-pesquisa-junho-2022-lula-bolsonaro-ciro.htm,BR,PR,1,,,Lula,47,Jair Bolsonaro ,28,Ciro Gomes,8,André Janones,2,Simone Tebet,1,Pablo Marçal,1,Vera Lúcia,1,,,,,,,,,,
"""BR-09408/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-09994/2022""",BR,BRASIL,Presidente,1,https://www.seudinheiro.com/2022/politica/pesquisa-modalmais-mostra-lula-e-bolsonaro-tecnicamente-empatados-petista-vence-no-2o-turno-das-eleicoes/,BR,PR,1,,,Lula,"38,9",Jair Bolsonaro,"37,6",Ciro Gomes,"7,3",André Janones,"2,2",Simone Tebet,2,Vera Lúcia,"0,5",Luiz Felipe d'Ávila,"0,2",José Eymael,"0,1",Leonardo Péricles,"0,1",,,,,,
"""CE-05334/2022""",CE,CEARÁ,Governador,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""GO-00586/2022""",GO,GOIÁS,"Governador, Deputado Estadual, Deputado Federal, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""GO-02114/2022""",GO,GOIÁS,"Governador, Senador",1,https://www.cnnbrasil.com.br/politica/realtime-big-data-em-goias-caiado-tem-34-perillo-19-e-mendanha-18/,GO,G,1,,,Ronaldo Caiado,34,Marconi Perillo,19,Gustavo Medanha,18,Major Vitor Hugo,9,Wolmir Amado,8,Cintia Dias,1,Helga Martins,1,,,,,,,,,,
"""GO-02114/2022""",GO,GOIÁS,"Governador, Senador",1,https://www.cnnbrasil.com.br/politica/realtime-big-data-em-goias-caiado-tem-34-perillo-19-e-mendanha-18/,GO,S,1,,,Marconi Perillo,28,Delegado Waldir,15,João Campos,10,Alexandre Baldy,8,Zacharias Calil,6,Wilder Morais,4,Lissauer Vieira,2,Luiz do Carmo,2,,,,,,,,
"""MA-05378/2022""",MA,MARANHÃO,"Governador, Deputado Estadual, Deputado Federal, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""MG-00855/2022""",MG,MINAS GERAIS,"Senador, Governador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""MG-07688/2022""",MG,MINAS GERAIS,Governador,1,https://www.poder360.com.br/pesquisas/zema-tem-48-contra-21-de-kalil-no-1o-turno-em-mg-diz-datafolha/,MG,G,1,,,Romeu Zema,48,Alexandre Kalil,21,Carlos Viana,4,Vanessa Portgual,3,Renata Regina,2,Miguel Corrêa,2,Marcus Pestana,1,Lorene Figueiredo,1,Saraiva Felipe,1,,,,,,
"""MS-02344/2022""",MS,MATO GROSSO DO SUL,"Governador, Deputado Estadual, Deputado Federal, Senador",1,https://rankingpesquisa.com.br/noticias/tereza-cristina-se-isola-na-lideranca-para-corrida-ao-senado/,MS,S,0,,,Tereza Cristina,"20,30",Odilon de Oliveira,"9,5",Mandetta,"7,2",Harfouche,"3,2",Tebet,"2,5",Rose Modesto,"2,4",Waldeli dos Santos,"1,1",,,,,,,,,,
