tse_id,SG_UF,NM_UE,DS_CARGOS,util,url,ambito,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12
"""AL-02634/2022""",AL,ALAGOAS,"Senador, Governador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AL-05579/2022""",AL,ALAGOAS,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AM-02872/2022""",AM,AMAZONAS,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AM-05007/2022""",AM,AMAZONAS,"Governador, Deputado Estadual, Deputado Federal, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BA-00532/2022""",BA,BAHIA,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-00841/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-01304/2022""",BR,BRASIL,Presidente,0,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-02498/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-02620/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-02704/2022""",BR,BRASIL,Presidente,1,https://rankingpesquisa.com.br/noticias/pesquisa-do-instituto-ranking-em-mato-grosso-do-sul-24-07-2022-completa-em-pdf/,MS,pr,0,,,Bolsonaro,"32,6",Lula,"28,2",Tebet,"2,4",Ciro,"1,5",,,,,,,,,,,,,,,,
"""BR-02704/2022""",BR,BRASIL,Presidente,1,https://rankingpesquisa.com.br/noticias/pesquisa-do-instituto-ranking-em-mato-grosso-do-sul-24-07-2022-completa-em-pdf/,MS,pr,1,,,Bolsonaro,"39,2",Lula,34,Tebet,"3,3",Ciro,"2,5",,,,,,,,,,,,,,,,
"""BR-02769/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-03465/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-03547/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-04886/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-05065/2022""",BR,BRASIL,Presidente,1,https://grandepicos.com.br/2022/07/22/amostragem-lula-dispara-em-pesquisa-com-7657-contra-1504-de-bolsonaro/,PI,pr,1,,1,Lula,"76,57",Bolsonaro,"15,04",Ciro,"5,4",,,,,,,,,,,,,,,,,,
"""BR-05065/2022""",BR,BRASIL,Presidente,1,https://grandepicos.com.br/2022/07/22/amostragem-lula-dispara-em-pesquisa-com-7657-contra-1504-de-bolsonaro/,PI,pr,0,,1,Lula,62,Bolsonaro,"12,5",,,,,,,,,,,,,,,,,,,,
"""BR-05211/2022""",BR,BRASIL,Presidente,1,https://www.gp1.com.br/eleicoes-2022/noticia/2022/7/22/rafael-fonteles-tem-5558-dos-votos-validos-com-apoio-de-lula-diz-datamax-530353.html,PI,pr,1,,,Lula,68,Bolsonaro,"14,65",Ciro,"5,6",Tebet,"1,15",Janones,"1,05",,,,,,,,,,,,,,
"""BR-05211/2022""",BR,BRASIL,Presidente,1,https://www.gp1.com.br/eleicoes-2022/noticia/2022/7/22/rafael-fonteles-tem-5558-dos-votos-validos-com-apoio-de-lula-diz-datamax-530353.html,PI,pr,0,,,Lula,"64,45",Bolsonaro,"14,1",Ciro,"3,5",,,,,,,,,,,,,,,,,,
"""BR-05688/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-05938/2022""",BR,BRASIL,Presidente,1,https://static.poder360.com.br/2022/07/pesquisa-btg-fsb-25-jul-2022.pdf,BR,pr,0,,,Lula,40,Bolsonaro,30,Ciro,3,,,,,,,,,,,,,,,,,,
"""BR-05938/2022""",BR,BRASIL,Presidente,1,https://static.poder360.com.br/2022/07/pesquisa-btg-fsb-25-jul-2022.pdf,BR,pr,1,,,Lula,44,Bolsonaro,31,Ciro,9,Tebet,2,Janones,2,Pablo Marçal,1,,,,,,,,,,,,
"""BR-06534/2022""",BR,BRASIL,Presidente,1,https://tribunadotocantins.com.br/wp-content/uploads/2022/07/PESQUISA-PRESIDENTE-E-SENADO_TOCANTINS.pdf,TO,pr,0,,,Bolsonaro,"34,5",Lula,"12,9",Ciro,"2,2",Tebet,"1,5",,,,,,,,,,,,,,,,
"""BR-06534/2022""",BR,BRASIL,Presidente,1,https://tribunadotocantins.com.br/wp-content/uploads/2022/07/PESQUISA-PRESIDENTE-E-SENADO_TOCANTINS.pdf,TO,pr,1,,,Bolsonaro,"52,8",Lula,"23,2",Ciro,5,Tebet,"3,3",,,,,,,,,,,,,,,,
