tse_id,SG_UF,NM_UE,DS_CARGOS,util,url,ambito,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12
"""AL-00078/2022""",AL,ALAGOAS,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AL-01016/2022""",AL,ALAGOAS,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AL-01672/2022""",AL,ALAGOAS,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AL-04723/2022""",AL,ALAGOAS,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AL-06527/2022""",AL,ALAGOAS,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AM-02687/2022""",AM,AMAZONAS,"Governador, Senador",1,https://revistacenarium.com.br/wp-content/uploads/2022/09/4_PESQUISA_ELEITORAL_AM-02687_2022-1.pdf,AM,g,0,,,Wilson Lima,"20,3",Amazonino Mendes,"16,8",Eduardo Braga,"11,9",Ricardo Nicolau,"2,5",Carol Braz,"1,2",,,,,,,,,,,,,,
"""AM-02687/2022""",AM,AMAZONAS,"Governador, Senador",1,https://revistacenarium.com.br/wp-content/uploads/2022/09/4_PESQUISA_ELEITORAL_AM-02687_2022-1.pdf,AM,g,1,,,Wilson Lima,"29,8",Amazonino Mendes,"24,8",Eduardo Braga,"20,9",Ricardo Nicolau,"7,2",Carol Braz,"3,1",Henrique Oliveira,"2,2",,,,,,,,,,,,
"""AM-02687/2022""",AM,AMAZONAS,"Governador, Senador",1,https://revistacenarium.com.br/wp-content/uploads/2022/09/4_PESQUISA_ELEITORAL_AM-02687_2022-1.pdf,AM,s,0,,,Omar Aziz,"15,7",Arthur Neto,"12,1",Coronel Menezes,"10,5",Luiz Castro,5,Marilia Freire,1,,,,,,,,,,,,,,
"""AM-02687/2022""",AM,AMAZONAS,"Governador, Senador",1,https://revistacenarium.com.br/wp-content/uploads/2022/09/4_PESQUISA_ELEITORAL_AM-02687_2022-1.pdf,AM,s,1,,,Omar Aziz,"28,4",Arthur Neto,23,Coronel Menezes,"17,2",Luiz Castro,"10,5",Marilia Freire,"1,4",,,,,,,,,,,,,,
"""AM-09541/2022""",AM,AMAZONAS,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AP-00875/2022""",AP,AMAPÁ,"Governador, Senador, Deputado Federal, Deputado Estadual",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BA-03595/2022""",BA,BAHIA,"Governador, Senador",1,https://twitter.com/victordojornal/status/1568060670507098114,BA,s,1,,,Otto Alencar,"28,3",Raíssa,"17,8",Cacá,"13,8",Tâmara,"1,7",,,,,,,,,,,,,,,,
"""BA-03595/2022""",BA,BAHIA,"Governador, Senador",1,https://www.varelanet.com.br/noticias/politica/instituto-verita-acm-neto-lidera-intencoes-de-voto-para-o-governo-da-bahia,BA,g,1,,,ACM Neto,"45,2",Jeronimo,"28,4",João Roma,"13,5",,,,,,,,,,,,,,,,,,
"""BR-00200/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-00474/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-01023/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-01060/2022""",BR,BRASIL,Presidente,1,https://www.facebook.com/institutoverita/posts/pfbid0ymhPryYU2174v7MDNK3JyNT7KwMVt1E3oty1HBnwnPN9y2vY8uZinHzi7iGSSS4Pl?__cft__[0]=AZXFm92ukhXmwgRSsxXmyGVwJJlDxhmTm1d-I_GtckVWkj1NGCKOoSKLDO9CV_tfbwXlk7HocN8Y6ULRkdv5cTGpE3X6g4xbeQQt1_JdJbTB-FzQbDtDPvnVm-Q9xs_qJue-41HfXnkLdbkzYnQp67As6uau00TvAWD_btWDO4e3D-7AWDv67f3t5Cv2NQEcBvfsNLkZvusx5OBm040mK4XX&__tn__=%2CO%2CP-R,BR,pr,1,,,Bolsonaro,"43,6",Lula,"41,9",Ciro,"5,5",Tebet,"3,6",,,,,,,,,,,,,,,,
"""BR-01391/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-02216/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-02223/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-02431/2022""",BR,BRASIL,Presidente,1,https://ojacare.com.br/2022/09/09/pesquisas-divergem-sobre-vantagem-de-bolsonaro-sobre-lula-em-ms-simone-varia-de-6-a-8/,MS,pr,1,,,Bolsonaro,"55,6",Lula,"19,8",tebet,6,Ciro,"4,8",,,,,,,,,,,,,,,,
"""BR-02618/2022""",BR,BRASIL,Presidente,1,https://noticias.r7.com/eleicoes-2022/jair-bolsonaro-lidera-corrida-presidencial-diz-pesquisa-futura-inteligencia-08092022,BR,pr,0,,,Bolsonaro,"41,2",Lula,"36,9",Ciro,"5,4",Tebet,"2,8",,,,,,,,,,,,,,,,
"""BR-02618/2022""",BR,BRASIL,Presidente,1,https://noticias.r7.com/eleicoes-2022/jair-bolsonaro-lidera-corrida-presidencial-diz-pesquisa-futura-inteligencia-08092022,BR,pr,1,,,Bolsonaro,"41,8",Lula,"35,7",Ciro,"7,7",Tebet,"5,4",,,,,,,,,,,,,,,,
"""BR-02752/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-02910/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
