tse_id,SG_UF,NM_UE,DS_CARGOS,util,url,ambito,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12
"""BR-04443/2022""",BR,BRASIL,Presidente,1,https://www.cartacapital.com.br/politica/datatempo-lula-tem-415-das-intencoes-de-voto-em-mg-contra-351-de-bolsonaro/,MG,pr,1,,,Lula,"41,5",Jair Bolsonaro,"35,1",Ciro Gomes,"6,7",Simone Tebet,4,Felipe d'Ávila,"0,5",Soraya Thronicke,"0,5",Vera Lúcia,"0,5",Pablo Marçal,"0,3",Constituinte Eymael,"0,1",Leonardo Péricles,"0,1",Sofia Manzano,,,
BR-04099/2022,BR,BRASIL,Presidente,1,https://g1.globo.com/politica/eleicoes/2022/pesquisa-eleitoral/noticia/2022/09/15/datafolha-lula-mantem-45percent-e-bolsonaro-oscila-de-34percent-para-33percent.ghtml,BR,pr,1,,,Lula,45,Bolsonaro,33,Ciro Gomes,8,Tebet,5,Soraya,2,,,,,,,,,,,,,,
BR-04099/2022,BR,BRASIL,Presidente,1,https://g1.globo.com/politica/eleicoes/2022/pesquisa-eleitoral/noticia/2022/09/15/datafolha-lula-mantem-45percent-e-bolsonaro-oscila-de-34percent-para-33percent.ghtml,BR,pr,0,,,Lula,41,Bolsonaro,31,Ciro Gomes,4,Tebet,3,,,,,,,,,,,,,,,,
"""MA-06939/2022""",MA,MARANHÃO,"Governador, Senador",1,https://www.brasil247.com/regionais/nordeste/carlos-brandao-lidera-disputa-pelo-governo-do-maranhao-com-quase-36-mostra-pesquisa-datailha,MA,g,1,,,Carlos Brandão,"35,9",Weverton,"19,9",Lahésio Bonfim,"16,5",Edivaldo,"7,2",Professor Joas Moraes,"0,8",Simplício,"0,7",Enilton Rodrigues,"0,2",Frankle Costa,"0,1",Hertz Dias,"0,1",,,,,,
"""MA-06939/2022""",MA,MARANHÃO,"Governador, Senador",1,https://www.brasil247.com/regionais/nordeste/carlos-brandao-lidera-disputa-pelo-governo-do-maranhao-com-quase-36-mostra-pesquisa-datailha,MA,s,1,,1,Flávio Dino,"64,9",Roberto Rocha,"27,6",Pastor Ivo Nogueira,"4,9",Saulo Arcangeli,"1,5",Antônia Cariongo,"1,1",,,,,,,,,,,,,,
"""MA-08612/2022""",MA,MARANHÃO,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""MG-02856/2022""",MG,MINAS GERAIS,"Governador, Senador, Deputado Federal, Deputado Estadual",1,https://www.cartacapital.com.br/politica/pesquisa-datatempo-aponta-vitoria-de-zema-no-primeiro-turno-em-mg/,MG,g,1,,,Zema,"52,5",Kalil,"21,9",Carlos Viana,"3,3",,,,,,,,,,,,,,,,,,
"""MG-02856/2022""",MG,MINAS GERAIS,"Governador, Senador, Deputado Federal, Deputado Estadual",1,https://www.otempo.com.br/politica/datatempo/datatempo-cleitinho-lidera-mas-disputa-pelo-senado-segue-indefinida-em-minas-1.2733105,MG,s,0,,,Cleitinho,"7,4",Alexandre Silveira,"3,2",Marcelo Aro,"2,5",Pastor Altamiro Alves,0,Sara Azevedo,0,Bruno Miranda,0,Irani Gomes,0,,,,,,,,,,
"""MG-02856/2022""",MG,MINAS GERAIS,"Governador, Senador, Deputado Federal, Deputado Estadual",1,https://www.otempo.com.br/politica/datatempo/datatempo-cleitinho-lidera-mas-disputa-pelo-senado-segue-indefinida-em-minas-1.2733105,MG,s,1,,,Cleitinho,"19,3",Alexandre Silveira,"8,6",Marcelo Aro,"7,1",Pastor Altamiro Alves,"3,9",Sara Azevedo,"3,2",Bruno Miranda,"2,2",Irani Gomes,1,,,,,,,,,,
"""MG-03417/2022""",MG,MINAS GERAIS,"Governador, Senador",1,https://g1.globo.com/mg/minas-gerais/eleicoes/2022/noticia/2022/09/15/datafolha-zema-tem-53percent-e-kalil-tem-25percent-na-disputa-para-o-governo-de-minas.ghtml,MG,g,1,,,Zema,53,Kalil,25,Carlos Viana,5,Vanessa Portugal,1,Cabo Tristão,1,Marcus Pestana,1,Renata Regina,1,,,,,,,,,,
"""MG-03417/2022""",MG,MINAS GERAIS,"Governador, Senador",1,https://g1.globo.com/mg/minas-gerais/eleicoes/2022/noticia/2022/09/15/datafolha-zema-tem-53percent-e-kalil-tem-25percent-na-disputa-para-o-governo-de-minas.ghtml,MG,g,0,,,Zema,31,Kalil,15,Carlos Viana,2,,,,,,,,,,,,,,,,,,
"""MG-03417/2022""",MG,MINAS GERAIS,"Governador, Senador",1,https://g1.globo.com/mg/minas-gerais/eleicoes/2022/noticia/2022/09/15/datafolha-cleitinho-tem-17percent-e-alexandre-silveira-13percent-das-intencoes-de-voto-para-o-senado-em-minas.ghtml,MG,s,1,,,Cleitinho,17,Alexandre Silveira,13,Marcelo Aro,9,Sara Azevedo,5,Altamiro Alves,5,Irani Gomes,2,Bruno Miranda,2,Naomi de Almeida,1,,,,,,,,
"""MG-03878/2022""",MG,MINAS GERAIS,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""MG-04566/2022""",MG,MINAS GERAIS,"Governador, Senador, Deputado Federal, Deputado Estadual",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""MG-09555/2022""",MG,MINAS GERAIS,"Governador, Senador, Deputado Federal, Deputado Estadual",0,"https://www.em.com.br/app/noticia/politica/2022/09/08/interna_politica,1392173/alfenas-confira-pesquisa-f5-para-presidente-governo-senado-camara-e-al.shtml",m,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""MS-02521/2022""",MS,MATO GROSSO DO SUL,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""MS-08792/2022""",MS,MATO GROSSO DO SUL,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""MT-01706/2022""",MT,MATO GROSSO,"Governador, Senador, Deputado Federal, Deputado Estadual",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""MT-04259/2022""",MT,MATO GROSSO,"Governador, Senador, Deputado Federal, Deputado Estadual",0,https://enfoquebusiness.com.br/questionamento-da-forma-de-aplicacao-leva-justica-a-suspender-divulgacao-de-pesquisa-eleitoral/,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
"""MT-07150/2022""",MT,MATO GROSSO,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""MT-09474/2022""",MT,MATO GROSSO,"Governador, Senador, Deputado Federal, Deputado Estadual",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""PA-00164/2022""",PA,PARÁ,"Governador, Senador, Deputado Federal, Deputado Estadual",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""PA-09409/2022""",PA,PARÁ,"Governador, Senador, Deputado Federal, Deputado Estadual",0,https://www.portalsantarem.com.br/noticias/conteudo/pesquisa-da-destak-mostra-henderson-pinto-na-lideracao-para-deputado-federal-em-santarem/120834,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""PB-05406/2022""",PB,PARAÍBA,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""PB-05941/2022""",PB,PARAÍBA,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""PE-03359/2022""",PE,PERNAMBUCO,"Governador, Senador",1,https://noticias.uol.com.br/eleicoes/2022/09/14/big-data-pe-marilia-lidera-com-36-das-intencoes-de-voto-para-governo.htm,PE,g,1,,,Marília Arraes,36,Raquel Lyra,15,Anderson Ferreira,15,Danilo Cabral,12,Miguel Coelho,8,Pastor Wellington,1,João Arnaldo,1,,,,,,,,,,
"""PE-03359/2022""",PE,PERNAMBUCO,"Governador, Senador",1,https://noticias.uol.com.br/eleicoes/2022/09/14/big-data-pe-marilia-lidera-com-36-das-intencoes-de-voto-para-governo.htm,PE,g,0,,,Marília Arraes,22,Raquel Lyra,10,Anderson Ferreira,9,Danilo Cabral,6,Miguel Coelho,4,,,,,,,,,,,,,,
"""PE-03359/2022""",PE,PERNAMBUCO,"Governador, Senador",1,https://www.cnnbrasil.com.br/politica/pesquisa-realtime-em-pernambuco-marilia-tem-36-ferreira-e-raquel-15-cabral-12/,PE,s,1,,,Teresa Leitão,25,Gilson Machado,14,André de Paula ,13,Guilherme Coelho,9,Carlos Andrade Lima,2,Eugênia Lima,1,,,,,,,,,,,,
"""PE-04543/2022""",PE,PERNAMBUCO,"Governador, Senador, Deputado Federal, Deputado Estadual",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""PE-08960/2022""",PE,PERNAMBUCO,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""PI-03431/2022""",PI,PIAUÍ,"Governador, Senador, Deputado Federal, Deputado Estadual",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""PI-04317/2022""",PI,PIAUÍ,"Governador, Senador, Deputado Federal, Deputado Estadual",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""PI-05561/2022""",PI,PIAUÍ,"Governador, Senador, Deputado Federal, Deputado Estadual",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""PI-08389/2022""",PI,PIAUÍ,"Governador, Senador, Deputado Federal, Deputado Estadual",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""PR-01180/2022""",PR,PARANÁ,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""PR-02436/2022""",PR,PARANÁ,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""PR-08853/2022""",PR,PARANÁ,"Governador, Senador",1,https://www.opresente.com.br/politica/ratinho-junior-e-sergio-moro-lideram-intencoes-de-voto-no-parana-aponta-nova-pesquisa-atlasintel-e-arko-advice/,PR,g,1,,,Ratinho Júnior,"51,9",Roberto Requião,"31,9",Ricardo Gomyde,2,Professora Angela,"1,2",,,,,,,,,,,,,,,,
