tse_id,SG_UF,NM_UE,DS_CARGOS,util,url,ambito,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12
"""BR-00027/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-00183/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-00352/2022""",BR,BRASIL,Presidente,1,https://g1.globo.com/pe/pernambuco/eleicoes/2022/noticia/2022/09/21/pesquisa-ipec-com-eleitores-de-pe-aponta-lula-tem-64percent-e-bolsonaro-22percent-no-estado.ghtml,PE,pr,1,,,Lula,64,Bolsonaro,22,Ciro,5,Tebet,2,,,,,,,,,,,,,,,,
"""BR-00407/2022""",BR,BRASIL,Presidente,1,https://www.poder360.com.br/poderdata/lula-44-x-37-bolsonaro-no-1o-turno-mostra-poderdata/,BR,pr,1,,,Lula,44,Bolsonaro,37,Ciro,7,Tebet,4,D'Ávila,1,Soraya,1,,,,,,,,,,,,
"""BR-00539/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-00580/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-00586/2022""",BR,BRASIL,Presidente,1,https://classic.exame.com/wp-content/uploads/2022/09/EXAME-IDEIA-RIO-DE-JANEIRO_22-de-Setembro-editorial.pdf,RJ,pr,0,,,Lula,30,Bolsonaro,28,Ciro,7,,,,,,,,,,,,,,,,,,
"""BR-00586/2022""",BR,BRASIL,Presidente,1,https://classic.exame.com/wp-content/uploads/2022/09/EXAME-IDEIA-RIO-DE-JANEIRO_22-de-Setembro-editorial.pdf,RJ,pr,1,,,Lula,41,Bolsonaro,39,Ciro,8,Tebet,4,D'Ávila,1,Sofia Manzano,1,Eymael,1,Léo Péricles,1,Soraya,1,,,,,,
"""BR-00615/2022""",BR,BRASIL,Presidente,0,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-00708/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-00756/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-00804/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-00938/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-01097/2022""",BR,BRASIL,Presidente,1,https://jc.ne10.uol.com.br/colunas/jamildo/2022/09/15083989-ipec-bolsonaro-cresce-mas-lula-se-mantem-com-10-pontos-de-vantagem-no-maior-colegio-eleitoral-do-brasil.html,SP,pr,1,,,Lula,43,Bolsonaro,33,Ciro,5,Tebet,5,Soraya,2,D'Ávila,1,,,,,,,,,,,,
"""BR-01112/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-01130/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-01439/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-01531/2022""",BR,BRASIL,Presidente,1,https://g1.globo.com/to/tocantins/eleicoes/2022/noticia/2022/09/20/pesquisa-ipec-para-presidencia-no-tocantins-lula-tem-43percent-e-bolsonaro-tem-39percent.ghtml,TO,pr,1,,,Lula,43,Bolsonaro,39,Ciro,5,Tebet,4,,,,,,,,,,,,,,,,
"""BR-01654/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-01841/2022""",BR,BRASIL,Presidente,1,https://www.portalt5.com.br/eleicoes2022/noticias/noticia/nid/lula-e-bolsonaro-estao-empatados-na-paraiba-diz-pesquisa-brasmarket/,PB,pr,1,,,Lula,"42,9",Bolsonaro,"39,6",Ciro,"8,9",Tebet,3,,,,,,,,,,,,,,,,
"""BR-01884/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-02045/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-02156/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-02176/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-02225/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-02650/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-02688/2022""",BR,BRASIL,Presidente,0,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-02694/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-02833/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-03015/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-03135/2022""",BR,BRASIL,Presidente,1,https://jogodopoder.com.br/ippi-wellington-vence-com-folga-para-o-senado-e-lula-para-presidente/,PI,pr,1,,,Lula,"68,3",Bolsonaro,"15,1",,,,,,,,,,,,,,,,,,,,
"""BR-03135/2022""",BR,BRASIL,Presidente,1,https://jogodopoder.com.br/ippi-wellington-vence-com-folga-para-o-senado-e-lula-para-presidente/,PI,pr,0,,,Lula,"65,6",Bolsonaro,"14,3",,,,,,,,,,,,,,,,,,,,
"""BR-03269/2022""",BR,BRASIL,Presidente,1,https://g1.globo.com/mg/minas-gerais/eleicoes/2022/noticia/2022/09/21/pesquisa-ipec-com-eleitores-de-minas-gerais-lula-tem-46percent-e-bolsonaro-31percent-no-estado.ghtml,MG,pr,1,,,Lula,46,Bolsonaro,31,Ciro,5,Tebet,4,D'Avila,1,Soraya,1,,,,,,,,,,,,
"""BR-03425/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-03501/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-03553/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-03620/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-03684/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-03685/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-03759/2022""",BR,BRASIL,Presidente,1,https://www.facebook.com/institutoverita/posts/pfbid02LyxNgZE9hJ3cMnkFC6qu66yBfRWMC2fugyBuje2BKEQGGzYru71h3vhoPCgghTvpl?__cft__[0]=AZUXYafpdzByXDiWjRwdrCqOSSMpwPFdMxzTxNBHPR-ultjxk9tbbRPxyDB-BVlYGUt4WmIp8y-jJv3J_l2ZZwDa_FIzFgQCIigmwszfigMRUn0RutKlEWW0qn8wzRoLJXnKFcXgiVFsn6WmKydYfgkfXZllN99xfsn7fUWwhQGK2_vdwI3-asJvFxHR6EqzzyvAOgh-cMebeYSHlro4ho3d&__tn__=%2CO%2CP-R,MS,pr,1,,,Bolsonaro,"50,1",Lula,"34,4",Tebet,"7,5",Ciro,"2,5",,,,,,,,,,,,,,,,
"""BR-04180/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-04183/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-04791/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-04875/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-04999/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-05012/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-05066/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-05082/2022""",BR,BRASIL,Presidente,1,https://g1.globo.com/rj/rio-de-janeiro/eleicoes/2022/noticia/2022/09/20/pesquisa-ipec-com-eleitores-do-rj-lula-tem-41percent-bolsonaro-tem-36percent.ghtml,RJ,pr,1,,,Lula,41,Bolsonaro,36,Ciro,5,Tebet,5,Soraya,2,,,,,,,,,,,,,,
"""BR-05082/2022""",BR,BRASIL,Presidente,1,https://g1.globo.com/rj/rio-de-janeiro/eleicoes/2022/noticia/2022/09/20/pesquisa-ipec-com-eleitores-do-rj-lula-tem-41percent-bolsonaro-tem-36percent.ghtml,RJ,pr,0,,,Lula,37,Bolsonaro,35,Ciro,4,Tebet,3,,,,,,,,,,,,,,,,
"""BR-05127/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-05327/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-05393/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-05494/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-05635/2022""",BR,BRASIL,Presidente,1,https://www.facebook.com/institutoverita/posts/pfbid02ssSPeMYEWeFDhgG7y2sJMmuXkB5NdiAJsRLuoCbz1W2m8Gpssx9LeJv4Ci9QDVNel?__cft__[0]=AZVPqE78IMDmGkPOhT7RlPxWBG04A4co15ojw5pRqwhXdvohhFdkaTaHcV6dih6pgeBLaon2TDPiWIbW0LPgT-6MG0Bb0RfedOHAHnHA3E1NDSO4wOTZscvvOGMdaNxu9ri1PH09GKhf3gr-smz60WOiAq5gPrQqCOFObJZSrf3VfWJiBBSsvcQqTVgsJ6aefZjSohp5OTY36YjMN6atDXX-&__tn__=%2CO%2CP-R,PB,pr,1,,,Lula,"51,7",Bolsonaro,"35,5",Ciro,5,Tebet,"1,6",,,,,,,,,,,,,,,,
"""BR-05736/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-05903/2022""",BR,BRASIL,Presidente,0,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-05945/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-06453/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-06462/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-06485/2022""",BR,BRASIL,Presidente,1,https://www.ipec-inteligencia.com.br/Repository/Files/2121/221539-2_ELEIÇÕES_2022_AM%20-%20release.pdf,AM,pr,1,,,Lula,43,Bolsonaro,36,Ciro,6,Tebet,5,Soraya,2,D'Ávila,1,Sofia Manzano,1,,,,,,,,,,
"""BR-06485/2022""",BR,BRASIL,Presidente,1,https://www.ipec-inteligencia.com.br/Repository/Files/2121/221539-2_ELEIÇÕES_2022_AM%20-%20release.pdf,AM,pr,0,,,Lula,40,Bolsonaro,37,Tebet,4,Ciro,3,Soraya,1,,,,,,,,,,,,,,
"""BR-06516/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-06728/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-06789/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-06867/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-06960/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-07048/2022""",BR,BRASIL,Presidente,1,https://odocumento.com.br/em-mt-bolsonaro-lidera-com-493-lula-avanca-e-chega-a-316-de-preferencia-popular/,MT,pr,1,,,Bolsonaro,"49,3",Lula,"31,6",Tebet,"2,5",Ciro,"2,2",,,,,,,,,,,,,,,,
"""BR-07048/2022""",BR,BRASIL,Presidente,1,https://odocumento.com.br/em-mt-bolsonaro-lidera-com-493-lula-avanca-e-chega-a-316-de-preferencia-popular/,MT,pr,0,,,Bolsonaro,"48,3",Lula,"30,3",Tebet,"2,3",Ciro,"1,4",,,,,,,,,,,,,,,,
"""BR-07126/2022""",BR,BRASIL,Presidente,1,https://www.facebook.com/institutoverita/posts/pfbid02qD8Bjz6gixR9o2FcRMNTJLTYc9uwjqNxW4UoqYCY9GMoK8mrDBnZhffEj1Cacv6Ql?__cft__[0]=AZVrqYQeScPruHKofNXMctjZbzTVVskmWU8r3U3YYZyjFUXq9-NLYY214EiKTlr13Xh516s-StlhbL-ZMc1Es9qhmbclQ5sohyxH60gouErfRsSF-box9bImSOhQSXT7bAfJzkQRQB9yyyxQgBEiPHwt_INX0Wxp2K-qS1cJ2E8UVWXApM34jbMEDxAbJDTKqQdTisKAOZYuVVOm-Q1O3khy&__tn__=%2CO%2CP-R,MG,pr,1,,,Lula,"39,4",Bolsonaro,"43,5",Ciro,"5,3",Tebet,"3,1",D'Ávila,"1,7",Soraya,1,,,,,,,,,,,,
