tse_id,SG_UF,NM_UE,DS_CARGOS,util,url,ambito,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12
"""AC-09020/2022""",AC,ACRE,"Governador, Senador",1,https://www.noticiasdahora.com.br/politica/gladson-cameli-lidera-pesquisa-ipec-globo-com-51-das-intencoes-de-votos-seguido-de-jorge-viana-com-27.html,AC,G,1,,,Gladson Cameli,51,Jorge Viana,27,Mara Rocha,6,Petecão,5,Marcio Bittar,2,Nilson Euclides,1,,,,,,,,,,,,
"""AC-09020/2022""",AC,ACRE,"Governador, Senador",1,https://www.noticiasdahora.com.br/politica/gladson-cameli-lidera-pesquisa-ipec-globo-com-51-das-intencoes-de-votos-seguido-de-jorge-viana-com-27.html,AC,S,1,,,Alan Rick,29,Ney Amorim,17,Marcia Bittar,15,Jenilson Leite,10,Vanda Milani,5,Nazaré Araújo,2,Dimas Sandas,1,,,,,,,,,,
"""AL-00838/2022""",AL,ALAGOAS,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AL-04743/2022""",AL,ALAGOAS,"Governador, Senador, Deputado Federal, Deputado Estadual",1,http://edivaldojunior.blogsdagazetaweb.com/2022/08/29/pesquisa-revela-piso-minimo-de-candidatos-ao-governo-paulo-e-collor-lideram/,AL,G,1,,,Paulo Dantas,"29,5",Fernando Collor,"18,7",Rodrigo Cunha,"17,8",Rui Palmeira,"10,1",Cícero Albuquerque,1,,,,,,,,,,,,,,
"""AL-04743/2022""",AL,ALAGOAS,"Governador, Senador, Deputado Federal, Deputado Estadual",1,http://edivaldojunior.blogsdagazetaweb.com/2022/08/29/pesquisa-revela-piso-minimo-de-candidatos-ao-governo-paulo-e-collor-lideram/,AL,G,0,,,Paulo Dantas,"19,7",Fernando Collor,10,Rodrigo Cunha,10,Rui Palmeira,"2,9",,,,,,,,,,,,,,,,
"""AL-04743/2022""",AL,ALAGOAS,"Governador, Senador, Deputado Federal, Deputado Estadual",1,http://edivaldojunior.blogsdagazetaweb.com/2022/08/29/pesquisa-revela-piso-minimo-de-candidatos-ao-governo-paulo-e-collor-lideram/,AL,s,1,,,Renan Filho,"51,8",Davi Davino Filho,"16,2",Bombeiro Suzana Souza,"5,9",Coronel Do Valle,"2,8",Mário Agra,1,,,,,,,,,,,,,,
"""AL-09303/2022""",AL,ALAGOAS,"Governador, Senador",1,https://tribunahoje.com/noticias/politica/2022/08/29/108238-fundepes-paulo-dantas-lidera-para-governador,AL,G,0,,,Paulo Dantas,"26,28",Fernando Collor,"16,37",Rodrigo Cunha,"7,15",Rui Palmeira,"3,08",,,,,,,,,,,,,,,,
"""AL-09303/2022""",AL,ALAGOAS,"Governador, Senador",1,https://tribunahoje.com/noticias/politica/2022/08/29/108238-fundepes-paulo-dantas-lidera-para-governador,AL,G,1,,,Paulo Dantas,"34,5",Fernando Collor,"22,98",Rodrigo Cunha,"13,53",Rui Palmeira,"7,56",,,,,,,,,,,,,,,,
"""AL-09303/2022""",AL,ALAGOAS,"Governador, Senador",1,https://tribunahoje.com/noticias/politica/2022/08/29/108238-fundepes-paulo-dantas-lidera-para-governador,AL,S,1,,,Renan Filho,"56,61",Davi Davino Filho,"19,37",Coronel do Valle,"4,35",,,,,,,,,,,,,,,,,,
"""AM-07370/2022""",AM,AMAZONAS,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AP-02382/2022""",AP,AMAPÁ,"Governador, Senador",1,http://pontodapauta.com.br/politica_view.php?id_noticia=126729,AP,s,1,,,Davi Alcolumbre,"27,7",Rayssa Furlan,"25,7",,,,,,,,,,,,,,,,,,,,
"""AP-02382/2022""",AP,AMAPÁ,"Governador, Senador",1,http://pontodapauta.com.br/politica_view.php?id_noticia=126729,AP,g,1,,,Jaime Nunes,"39,7",Clécio Luis,"30,8",Pastor Geisel,"3,4",Gilvan Borges,"1,4",Gian Franco,1,,,,,,,,,,,,,,
"""AP-03110/2022""",AP,AMAPÁ,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-00009/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-00063/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
