tse_id,SG_UF,NM_UE,DS_CARGOS,util,url,ambito,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12
"""AL-01236/2022""",AL,ALAGOAS,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AL-03104/2022""",AL,ALAGOAS,"Senador, Deputado Estadual, Governador, Deputado Federal",1,http://edivaldojunior.blogsdagazetaweb.com/2022/08/02/paulo-lidera-com-collor-em-segundo-rodrigo-cunha-volta-a-cair/,AL,G,1,,,Paulo Dantas,"30,7",Fernando Collor,"18,6",Rodrigo Cunha,"15,5",Rui Palmeira,12,Cícero Albuquerque,"1,2",,,,,,,,,,,,,,
"""AL-03104/2022""",AL,ALAGOAS,"Senador, Deputado Estadual, Governador, Deputado Federal",1,http://edivaldojunior.blogsdagazetaweb.com/2022/08/02/paulo-lidera-com-collor-em-segundo-rodrigo-cunha-volta-a-cair/,AL,G,0,,,Paulo Dantas,19,Fernando Collor,8,Rodrigo Cunha,5,Rui Palmeira,3,,,,,,,,,,,,,,,,
"""AL-03104/2022""",AL,ALAGOAS,"Senador, Deputado Estadual, Governador, Deputado Federal",1,http://edivaldojunior.blogsdagazetaweb.com/2022/08/02/paulo-lidera-com-collor-em-segundo-rodrigo-cunha-volta-a-cair/,AL,S,1,,,Renan Filho,"56,8",Davi Davino Filho,"18,5",Mário Agra,"2,6",,,,,,,,,,,,,,,,,,
"""AL-03845/2022""",AL,ALAGOAS,"Senador, Governador",0,https://al1.com.br/informacao/noticias/80496/fernando-collor-lidera-corrida-ao-governo-de-alagoas-em-maceio,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AL-03852/2022""",AL,ALAGOAS,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AM-02399/2022""",AM,AMAZONAS,"Senador, Deputado Federal, Governador",1,https://18horas.com.br/amazonas/em-nova-pesquisa-amazonino-mendes-mantem-vitoria-no-primeiro-e-segundo-turnos/',AM,G,1,,,Amazonino Mendes,"32,3",Wilson Lima,"25,8",Eduardo Braga,15,Ricardo Nicolau,"3,8",Carol Braz,"3,2",Henrique Oliveira,2,Marcelo Amil,"0,5",,,,,,,,,,
"""AM-02872/2022""",AM,AMAZONAS,"Governador, Senador",1,https://static.poder360.com.br/2022/07/AMAZONAS-AM-02872_2022.pdf,AM,G,0,,,Wilson LIma,15,Amazonino Mendes,15,Eduardo Braga,9,Ricardo Nicolau,1,,,,,,,,,,,,,,,,
"""AM-02872/2022""",AM,AMAZONAS,"Governador, Senador",1,https://static.poder360.com.br/2022/07/AMAZONAS-AM-02872_2022.pdf,AM,G,1,,,Wilson LIma,28,Amazonino Mendes,28,Eduardo Braga,17,Ricardo Nicolau,5,Henrique Oliveira,3,Carol Braz,2,Marcelo Amil,1,,,,,,,,,,
"""AM-02872/2022""",AM,AMAZONAS,"Governador, Senador",1,https://static.poder360.com.br/2022/07/AMAZONAS-AM-02872_2022.pdf,AM,S,1,,,Arthur Virgílio,24,Omar Aziz,19,Coronel Menezes,16,Luiz Castro,10,Chico Preto,6,,,,,,,,,,,,,,
"""AP-05063/2022""",AP,AMAPÁ,"Governador, Deputado Estadual, Deputado Federal, Senador",1,https://static.poder360.com.br/2022/08/DOXA-AMAPA-AP-050632022.pdf,AP,G,0,,,Jaime Nunes,"18,6",Clécio Luiz,"13,2",Pastor Geisel,"0,7",Gian Franco,"0,1",Jean Bambam,"0,1",,,,,,,,,,,,,,
"""AP-05063/2022""",AP,AMAPÁ,"Governador, Deputado Estadual, Deputado Federal, Senador",1,https://static.poder360.com.br/2022/08/DOXA-AMAPA-AP-050632022.pdf,AP,G,1,,,Jaime Nunes,"37,7",Clécio Luiz,"29,7",Pastor Geisel,"3,3",Gian Franco,2,Jean Bambam,"0,4",,,,,,,,,,,,,,
"""AP-05063/2022""",AP,AMAPÁ,"Governador, Deputado Estadual, Deputado Federal, Senador",1,https://static.poder360.com.br/2022/08/DOXA-AMAPA-AP-050632022.pdf,AP,S,0,,,Davi Alcolumbre,"11,7",Capiberibe,"4,9",Raissa Furlan,"4,8",Pastor Guaracy Júnior,"1,4",Suely Pinni,"0,7",Randolfe Rodrigues,"0,3",Coronel Palmira,"0,3",Gilberto Laurindo,"0,3",,,,,,,,
"""AP-05063/2022""",AP,AMAPÁ,"Governador, Deputado Estadual, Deputado Federal, Senador",1,https://static.poder360.com.br/2022/08/DOXA-AMAPA-AP-050632022.pdf,AP,S,1,,,Davi Alcolumbre,"30,4",Raissa Furlan,"15,1",Capiberibe,"13,2",Pastor Guaracy Júnior,"6,1",Coronel Palmira,"3,5",Suely Pinni,"1,8",Gilberto Laurindo,"0,8",Pastor Waldenor,"0,7",,,,,,,,
"""BA-00532/2022""",BA,BAHIA,"Governador, Senador",1,https://www.correio24horas.com.br/noticia/nid/acm-neto-lidera-com-6094-e-venceria-eleicoes-no-primeiro-turno-diz-pesquisa/,BA,G,0,,,ACM Neto,"39,45",Jerônimo Rodrigues,"7,86",João Roma,"6,16",,,,,,,,,,,,,,,,,,
"""BA-00532/2022""",BA,BAHIA,"Governador, Senador",1,https://www.correio24horas.com.br/noticia/nid/acm-neto-lidera-com-6094-e-venceria-eleicoes-no-primeiro-turno-diz-pesquisa/,BA,G,1,,,ACM Neto,"60,94",Jerônimo Rodrigues,"13,04",João Roma,"7,86",,,,,,,,,,,,,,,,,,
"""BA-04586/2022""",BA,BAHIA,"Senador, Governador",1,https://www.cartacapital.com.br/politica/na-bahia-lula-lidera-por-ampla-maioria-639-ante-253-de-bolsonaro/,BA,G,1,,,ACM Neto,"38,8",Jerônimo Rodrigues,"37,8",João Roma,"13,2",Kleber Rosa,"1,4",Giovani Damico,"0,1",,,,,,,,,,,,,,
"""BA-04586/2022""",BA,BAHIA,"Senador, Governador",1,https://www.cartacapital.com.br/politica/na-bahia-lula-lidera-por-ampla-maioria-639-ante-253-de-bolsonaro/,BA,S,1,,,Otto Alencar,"39,2",Raísa Soares,"16,2",Cacá Leão,"12,9",Tâmara Azevedo,5,,,,,,,,,,,,,,,,
"""BA-07696/2022""",BA,BAHIA,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BA-09206/2022""",BA,BAHIA,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-00005/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-00227/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-00672/2022""",BR,BRASIL,Presidente,1,https://www.campograndenews.com.br/politica/rejeicao-a-lula-e-bolsonaro-e-quase-a-mesma-em-ms,MS,PR,1,,,Bolsonaro,"39,5",Lula,"35,8",Tebet,"7,3",Ciro,"4,8",Janones,"2,2",Marçal,"0,4",d'Ávila,"0,2",,,,,,,,,,
"""BR-00841/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-01192/2022""",BR,BRASIL,Presidente,1,https://www.poder360.com.br/pesquisas/datafolha-indica-vitoria-de-lula-no-1o-turno/,BR,PR,1,,,Lula,47,Bolsonaro,29,Ciro,8,Tebet,2,Janones,1,Marçal,1,Vera Lúcia,1,,,,,,,,,,
"""BR-01446/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-01852/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-02060/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-02127/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-02141/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-02173/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-02546/2022""",BR,BRASIL,Presidente,1,https://www.poder360.com.br/eleicoes/lula-tem-44-e-bolsonaro-32-no-1o-turno-diz-genial-quaest/,BR,PR,1,,,Lula,44,Bolsonaro,32,Ciro,5,Janones,2,Tebet,2,Marçal,1,,,,,,,,,,,,
"""BR-03035/2022""",BR,BRASIL,Presidente,1,https://www.poder360.com.br/pesquisas/bolsonaro-401-x-362-lula-em-sao-paulo-diz-parana-pesquisas/,SP,PR,1,,,Bolsonaro,"40,1",Lula,"36,2",Ciro,"7,1",Tebet,"1,7",Marçal,"0,9",Vera Lúcia,"0,5",Janones,"0,4",d`Ávila,"0,3",Eymael,"0,2",Leonardo Péricles,"0,1",Sofia Manzano,"0,1",Bivar,"0,1"
"""BR-03469/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-03845/2022""",BR,BRASIL,Presidente,1,https://www.opovo.com.br/eleicoes-2022/2022/08/05/pesquisa-ipespe-ceara-lula-55-bolsonaro-20-ciro-11.html,CE,PR,1,,,Lula,55,Bolsonaro,20,Ciro,11,Janones,4,Tebet,1,Vera Lúcia,1,,,,,,,,,,,,
"""BR-03845/2022""",BR,BRASIL,Presidente,1,https://www.opovo.com.br/eleicoes-2022/2022/08/05/pesquisa-ipespe-ceara-lula-55-bolsonaro-20-ciro-11.html,CE,PR,0,,,Lula,50,Bolsonaro,18,Ciro,11,Janones,4,Tebet,1,Vera Lúcia,1,,,,,,,,,,,,
"""BR-03982/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-04288/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-04455/2022""",BR,BRASIL,Presidente,1,https://minutomt.com.br/espia-ai/nova-pesquisa-mostra-bolsonaro-mais-de-11-pontos-na-frente-em-mt/,MT,PR,1,,,Bolsonaro,"44,5",Lula,"33,2",Ciro,4,Tebet,"1,5",Janones,1,D'Ávila,1,,,,,,,,,,,,
"""BR-04455/2022""",BR,BRASIL,Presidente,1,https://minutomt.com.br/espia-ai/nova-pesquisa-mostra-bolsonaro-mais-de-11-pontos-na-frente-em-mt/,MT,PR,0,,,Bolsonaro,"40,3",Lula,30,Ciro,2,Tebet,"0,5",Marçal,"0,5",D'Ávila,"0,5",Janones,"0,3",,,,,,,,,,
"""BR-04469/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-05251/2022""",BR,BRASIL,Presidente,1,https://www.poder360.com.br/pesquisas/lula-tem-411-e-bolsonaro-356-diz-parana-pesquisas/,BR,PR,1,,,Lula,"41,1",Bolsonaro,"35,6",Ciro,"7,9",Tebet,"1,8",Janones,"1,7",Vera Lúcia,"0,5",Marçal,"0,4",d'Ávila,"0,2",Péricles,"0,2",Manzano,"0,1",Eymael,"0,1",Bivar,"0,1"
"""BR-05381/2022""",BR,BRASIL,Presidente,1,https://93noticias.com.br/noticia/73723/instituto-franca-pesquisa-eleitoral-para-presidente-e-senador-em-sergipe,SE,PR,1,,,Lula,"53,03",Bolsonaro,"26,69",Ciro,"6,01",Janones,"1,49",Tebet,"0,95",Vera Lúcia,"0,51",Marçal,"0,41",d'Ávila,"0,23",Eymael,"0,17",,,,,,
"""BR-05480/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-05584/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-05691/2022""",BR,BRASIL,Presidente,1,https://maranhaohoje.com/blog-conversa-franca/pesquisa-do-instituto-brasmarket-diz-que-bolsonaro-lidera-com-seis-pontos-a-frente-de-lula/,BR,PR,1,,,Bolsonaro,"39,9",Lula,"33,1",Ciro,"6,3",Tebet,"1,7",Marçal,"0,7",Eymael,"0,5",Bivar,"0,3",D'ávila,"0,2",Péricles,"0,2",Janones,"0,2",Vera Lúcia,"0,2",,
"""BR-05714/2022""",BR,BRASIL,Presidente,1,https://www.correiobraziliense.com.br/politica/2022/07/5025709-lula-tem-13-pontos-a-mais-do-que-bolsonaro-em-minas-diz-nova-pesquisa.html,MG,PR,1,,,Lula,"44,8",Bolsonaro,"31,5",Ciro,"2,9",Janones,"2,4",Tebet,"0,8",Marçal,"0,6",Vera Lúcia,"0,6",,,,,,,,,,
"""BR-05714/2022""",BR,BRASIL,Presidente,1,https://www.correiobraziliense.com.br/politica/2022/07/5025709-lula-tem-13-pontos-a-mais-do-que-bolsonaro-em-minas-diz-nova-pesquisa.html,MG,PR,0,,,Lula,"22,9",Bolsonaro,"17,6",Ciro,"1,2",Tebet,"0,6",Marçal,"0,4",Janones,"0,3",,,,,,,,,,,,
"""BR-05908/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-06113/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-06750/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-06891/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-07228/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-07596/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-07834/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-08398/2022""",BR,BRASIL,Presidente,1,https://www.poder360.com.br/poderdata/poderdata-no-1o-turno-lula-tem-43-contra-35-de-bolsonaro/,BR,PR,1,,,Lula,43,Bolsonaro,35,Ciro,7,Tebet,4,Janones,2,Eymael,1,d'Ávila,1,,,,,,,,,,
"""BR-08555/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-08787/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-09327/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-09451/2022""",BR,BRASIL,Presidente,1,https://www.cartacapital.com.br/politica/lula-lidera-com-38-entre-os-eleitores-que-moram-em-favelas-mostra-pesquisa/,R,PR,1,,,Lula,38,Bolsonaro,31,Ciro,"7,05",,,,,,,,,,,,,,,,,,
"""BR-09451/2022""",BR,BRASIL,Presidente,1,https://www.cartacapital.com.br/politica/lula-lidera-com-38-entre-os-eleitores-que-moram-em-favelas-mostra-pesquisa/,R,PR,0,,,Lula,"36,35",Bolsonaro,"29,05",Ciro,"4,1",,,,,,,,,,,,,,,,,,
"""BR-09609/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-09828/2022""",BR,BRASIL,Presidente,1,https://www.gazetadopovo.com.br/eleicoes/2022/pesquisa-eleitoral/parana-pesquisas-para-presidente-em-goias/,GO,PR,1,,,Bolsonaro,"45,1",Lula,"30,5",Ciro,"5,5",Tebet,"2,1",Marçal,"1,5",Janones,"0,8",Vera Lúcia,"0,6",Roberto Jefferson,"0,4",,,,,,,,
"""BR-09828/2022""",BR,BRASIL,Presidente,1,https://www.gazetadopovo.com.br/eleicoes/2022/pesquisa-eleitoral/parana-pesquisas-para-presidente-em-goias/,GO,PR,0,,,Bolsonaro,"29,3",Lula,"19,4",Ciro,"1,4",Marçal,"0,6",Tebet,"0,6",Eymael,"0,1",Vera Lúcia,"0,1",,,,,,,,,,
