tse_id,SG_UF,NM_UE,DS_CARGOS,util,url,ambito,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12
"""AL-00156/2022""",AL,ALAGOAS,"Governador, Senador",1,https://www.correiodosmunicipios-al.com.br/2022/09/segue-lider-renan-filho-tem-57-de-intencoes-de-voto-para-o-senado-assessoria-o-candidato-renan-filho-mdb-continua-na-frente-e-com-ampla-diferenca-para-os-concorrentes-na-dispu/,AL,s,,,,renan filho,57,davi davino filho,20,coronel do valle,2,mario agra,1,,,,,,,,,,,,,,,,
"""AL-00156/2022""",AL,ALAGOAS,"Governador, Senador",1,https://www.correiodosmunicipios-al.com.br/2022/09/segue-lider-renan-filho-tem-57-de-intencoes-de-voto-para-o-senado-assessoria-o-candidato-renan-filho-mdb-continua-na-frente-e-com-ampla-diferenca-para-os-concorrentes-na-dispu/,AL,g,1,,,paulo dantas,35,fernando collor,19,rodrigo cunha,8,rui palmeira,8,,,,,,,,,,,,,,,,
"""AL-01016/2022""",AL,ALAGOAS,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AL-01672/2022""",AL,ALAGOAS,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AL-04723/2022""",AL,ALAGOAS,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AL-06527/2022""",AL,ALAGOAS,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AM-01137/2022""",AM,AMAZONAS,"Governador, Senador",1,https://amazonas1.com.br/coronel-menezes-lidera-pesquisa-nas-intencoes-de-voto-aponta-instituto-verita/,AM,s,1,,,Coronel Menezes,"22,1",Omar Aziz,"20,1",Arthur Neto,"15,7",Luiz Castro,"4,9",Marília Freire,"2,4",Peter Miranda,"2,1",Bessa,"0,3",,,,,,,,,,
"""AM-02687/2022""",AM,AMAZONAS,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AM-09541/2022""",AM,AMAZONAS,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AP-00875/2022""",AP,AMAPÁ,"Governador, Senador, Deputado Federal, Deputado Estadual",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
