tse_id,SG_UF,NM_UE,DS_CARGOS,util,url,ambito,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12
"""AL-00069/2022""",AL,ALAGOAS,"Governador, Senador",1,https://www.ahoranews.com.br/falpe-pesquisas-em-maceio-collor-lidera-para-governo-de-al-davino-para-o-senado/,AL,G,1,,,Fernando Collor,"21,75",Rui Palmeira,"20,75",Rodrigo Cunha,"16,5",Paulo Dantas,"7,5",Mônica Carvalho,2,,,,,,,,,,,,,,
"""AL-00069/2022""",AL,ALAGOAS,"Governador, Senador",1,https://www.ahoranews.com.br/falpe-pesquisas-em-maceio-collor-lidera-para-governo-de-al-davino-para-o-senado/,AL,S,1,,,Davi Davino,29,Renan Filho,"23,5",Ronaldo Lessa,"8,75",Mário Agra,"3,5",,,,,,,,,,,,,,,,
"""AM-05007/2022""",AM,AMAZONAS,"Governador, Deputado Estadual, Deputado Federal, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BA-04724/2022""",BA,BAHIA,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-00325/2022""",BR,BRASIL,Presidente,1,https://www.brasil247.com/regionais/sudeste/no-rio-lula-tem-41-contra-34-de-bolsonaro-diz-ipec,RJ,PR,1,,,Lula,41,Bolsonaro,34,Ciro Gomes,6,Simone Tebet,2,André Janones,1,Pablo Marçal,1,Vera Lúcia,1,,,,,,,,,,
"""BR-00783/2022""",BR,BRASIL,Presidente,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-01304/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-02426/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-03547/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-03793/2022""",BR,BRASIL,Presidente,1,https://www.poder360.com.br/pesquisas/bolsonaro-lidera-no-df-com-398-diz-metropoles-ideia/,DF,PR,1,,,Jair Bolsonaro,"39,8",Lula,"30,1",Ciro Gomes,"10,3",Simone Tebet,"1,8",André Janones,1,Pablo Marçal,"0,8",Sofia Manzano,"0,7",Vera Lúcia,"0,3",José Maria Eymael,"0,3",Luiz Felipe d'Ávila,"0,3",Leonardo Péricles,"0,2",,
"""BR-04516/2022""",BR,BRASIL,Presidente,1,https://www.batanews.com.br/noticia/33477/bolsonaro-lidera-entre-as-mulheres-e-interior-lula-empata-na-capital-e-entre-os-homens,MS,PR,1,,,Jair Bolsonaro,38,Lula,"33,08",Simone Tebet,"4,28",,,,,,,,,,,,,,,,,,
"""BR-05065/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-05211/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-06534/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-06711/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-07122/2022""",BR,BRASIL,Presidente,1,poder360.com.br/poderdata/lula-tem-51-contra-38-de-bolsonaro-no-2o-turno-diz-poderdata/,BR,PR,1,,,Lula,43,Jair Bolsonaro,37,Ciro Gomes,6,Simone Tebet,3,André Janones,2,Pablo Marçal,,,,,,,,,,,,,
"""BR-08880/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
