tse_id,SG_UF,NM_UE,DS_CARGOS,util,url,ambito,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12
"""BA-02257/2022""",BA,BAHIA,Governador,0,https://atarde.com.br/politica/eleicoes/grupo-a-tarde-contrata-instituto-de-pesquisa-atlasintel-1200214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BA-04346/2022""",BA,BAHIA,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-01592/2022""",BR,BRASIL,Presidente,1,https://terrabrasilnoticias.com/2022/07/pesquisa-bolsonaro-ja-tem-larga-vantagem-sobre-lula-em-minas-gerais/,MG,pr,1,,,Bolsonaro,"46,5",Lula,"38,3",Tebet,"3,4",Ciro,"3,1",D'ávila,"0,8",,,,,,,,,,,,,,
"""BR-01917/2022""",BR,BRASIL,Presidente,0,https://www.4oito.com.br/blog/adelor-lessa/post/pesquisa-ipc-a-lideranca-de-moises-e-o-crescimento-de-amin-9880,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-01994/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-02412/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-02428/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-02965/2022""",BR,BRASIL,Presidente,1,https://jc.ne10.uol.com.br/colunas/jamildo/2022/07/15042607-pesquisa-conectar-para-governador-saiba-quem-e-o-candidato-mais-rejeitado.html,PE,pr,1,,,Lula,62,Bolsonaro,22,Ciro,4,Janones,2,Vera Lúcia,1,,,,,,,,,,,,,,
"""BR-02965/2022""",BR,BRASIL,Presidente,1,https://jc.ne10.uol.com.br/colunas/jamildo/2022/07/15042607-pesquisa-conectar-para-governador-saiba-quem-e-o-candidato-mais-rejeitado.html,PE,pr,0,,,Lula,57,Bolsonaro,16,Ciro,1,,,,,,,,,,,,,,,,,,
"""BR-03476/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-04516/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-04560/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-06810/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-06936/2022""",BR,BRASIL,Presidente,1,https://98fmnatal.com.br/ultimas/presidencia-no-rn-lula-e-bolsonaro-caem-em-nova-pesquisa-bramane-bg/,RN,pr,1,,,Lula,"49,5",Bolsonaro,26,Ciro,"4,8",Tebet,1,Janones,"0,6","Eymael 0,2",,,,,,,,,,,,,
"""BR-08536/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BR-09786/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""MG-06685/2022""",MG,MINAS GERAIS,"Senador, Governador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""MG-08871/2022""",MG,MINAS GERAIS,"Governador, Senador",1,https://tribunademinas.com.br/colunas/painel/11-07-2022/zema-ainda-lidera-corrida-ao-governo-com-folga.html,MG,g,1,,,Zema,"51,8",Kalil ,"24,1",Carlos Viana,"3,8",Miguel Corrêa,"3,3",,,,,,,,,,,,,,,,
"""MG-08871/2022""",MG,MINAS GERAIS,"Governador, Senador",1,https://tribunademinas.com.br/colunas/painel/11-07-2022/zema-ainda-lidera-corrida-ao-governo-com-folga.html,MG,s,1,,,Cleitinho Azevedo,"19,2",Aécio Neves,"8,3",Coronel Cláudia,"8,2",Duda Salabert,"7,2",Alexandre Silveira,"6,3",Simões,"2,7",Marcelo Álvaro Antônio,"2,4",Marcelo Aro,"0,6",,,,,,,,
"""MS-07751/2022""",MS,MATO GROSSO DO SUL,"Senador, Governador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""MT-01427/2022""",MT,MATO GROSSO,"Deputado Federal, Deputado Estadual",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""MT-04074/2022""",MT,MATO GROSSO,"Deputado Federal, Deputado Estadual",0,https://www.abroncapopular.com.br/politica/reck-junior-tem-25-e-lidera-preferencia-do-eleitor-de-tangara-mostra-pesquisa-immapeq/22176,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""MT-06555/2022""",MT,MATO GROSSO,Deputado Estadual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""PB-08632/2022""",PB,PARAÍBA,"Senador, Governador, Deputado Estadual",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""PE-04560/2022""",PE,PERNAMBUCO,"Governador, Senador",1,https://www.brasil247.com/regionais/nordeste/pesquisa-conectar-em-pernambuco-marilia-arraes-lidera-disputa-pelo-governo-com-33-dwlf5sib,PE,g,1,,,Marília Arraes,33,Raquel Lyra,13,Miguel Coelho,11,Anderson Ferreira,7,Danilo Cabral,5,João Arnaldo,2,Jadilson Bombeiro,1,Esteves Jacinto,1,,,,,,,,
"""PI-01689/2022""",PI,PIAUÍ,"Governador, Deputado Estadual, Deputado Federal, Senador",1,https://lupa1.com.br/noticias/eleicoes-2022/datamax-rafael-tem-47-95-dos-votos-validos-em-nova-pesquisa-com-apoio-de-lula-vai-a-57-55-14868.html,PI,g,1,,,Rafael Fonteles,"47,95",Silvio Mendes,"30,3",Major Diego,"2,45",Gessy Fonseca,"1,75",,,,,,,,,,,,,,,,
"""PI-07259/2022""",PI,PIAUÍ,"Governador, Deputado Estadual, Deputado Federal, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""RJ-05160/2022""",RJ,RIO DE JANEIRO,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""RJ-08780/2022""",RJ,RIO DE JANEIRO,Governador,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""RN-04995/2022""",RN,RIO GRANDE DO NORTE,"Senador, Deputado Distrital, Deputado Federal, Deputado Estadual, Governador",1,https://robsonpiresxerife.com/pesquisa-bramane-estimulada-fatima-368-fabio-169-e-styvenson-154/,RN,g,1,,,Fátima Bezerra,"36,8",Fábio Dantas,"16,9",Styvenson Valentim ,"15,4",,,,,,,,,,,,,,,,,,
"""RN-04995/2022""",RN,RIO GRANDE DO NORTE,"Senador, Deputado Distrital, Deputado Federal, Deputado Estadual, Governador",1,https://robsonpiresxerife.com/pesquisa-bramane-estimulada-fatima-368-fabio-169-e-styvenson-154/,RN,s,1,,,Carlos Eduardo Alves ,26,Rogério Marinho,"21,9",Rafael Motta,"12,6",Ney Lopes,"2,1",Freitas Jr,"0,9",Shirley Medeiros,"0,5",Dário Barbosa,"0,3",,,,,,,,,,
"""RN-08156/2022""",RN,RIO GRANDE DO NORTE,"Governador, Senador",1,https://98fmnatal.com.br/destaque/fatima-cai-para-3615-mas-ainda-lidera-e-styvenson-toma-2o-lugar-de-fabio-dantas-mostra-nova-pesquisa-exatus-agorarn/,RN,g,1,,,Fátima Bezerra,"36,15",Styvenson Valentim ,"13,9",Fábio Dantas,"6,65",Clorisa Linhares ,"2,3",Danniel Morais ,2,Rosália Fernandes,"1,7",,,,,,,,,,,,
