tse_id,SG_UF,NM_UE,DS_CARGOS,util,url,ambito,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12
"""AM-02278/2022""",AM,AMAZONAS,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""AM-05007/2022""",AM,AMAZONAS,"Governador, Deputado Estadual, Deputado Federal, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BA-02664/2022""",BA,BAHIA,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB-08632/2022,PB,Paraíba,Governador,1,https://www.portaltvsol.com/noticias/politica/p2_articleid/22260,pb,s,0,,,efraim filho,3,ricardo coutinho,3,cassio cunha,1,daniela ribeiro,1,bruno roberto,1,veneziano,1,pastor sergio,1,,,,,,,,,,
"""BA-04724/2022""",BA,BAHIA,"Governador, Senador",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BA-05185/2022""",BA,BAHIA,"Governador, Senador",1,https://www.uol.com.br/eleicoes/2022/07/15/pesquisa-genial-quaest-governo-bahia-julho-2022.htm,ba,g,0,,,ACM Neto,16,jerônimo rodrigues,6,joao roma,3,rui costa,2,,,,,,,,,,,,,,,,
"""BA-05185/2022""",BA,BAHIA,"Governador, Senador",1,https://www.uol.com.br/eleicoes/2022/07/15/pesquisa-genial-quaest-governo-bahia-julho-2022.htm,ba,g,1,,,ACM Neto,61,jerônimo rodrigues,11,joao roma,6,kleber rosa,1,,,,,,,,,,,,,,,,
PB-08632/2022,PB,Paraíba,Governador,1,https://www.portaltvsol.com/noticias/politica/p2_articleid/22260,pb,s,1,,,ricardo coutinho,27,efraim filho,23,bruno roberto,6,pastor sérgio,4,rangel junior,2,,,,,,,,,,,,,,
"""BR-00783/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-06011/2022,SC,Santa Catarina,"Governador, Senador",1,https://edsonvarela.com.br/geral/senado-colombo-lidera-em-criciuma/,M,s,1,,,raimundo colombo,"36,8",jorge boeira,"21,7",dario berger,"12,2",kennedy nunes,"5,5",jorge seif,"4,7",afranio boppre,"2,2",celso madaner,2,dalirio beber,"1,7",,,,,,,,
"""BR-01100/2022""",BR,BRASIL,Presidente,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
