tse_id,SG_UF,NM_UE,DS_CARGOS,util,url,ambito,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12
"""PE-00637/2022""",PE,PERNAMBUCO,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""PE-01429/2022""",PE,PERNAMBUCO,"Governador, Senador",1,https://blog.djalmalopes.com/2022/08/pesquisa-do-instituto-opiniao-para.html,PE,g,1,,,Marília Arraes,"34,7",Raquel Lyra,"11,8",Miguel Coelho,"10,3",Anderson Ferreira,"8,3",Danilo Cabral,"4,3",,,,,,,,,,,,,,
"""PE-01429/2022""",PE,PERNAMBUCO,"Governador, Senador",1,https://blogdomagno.com.br/andre-lidera-para-o-senado-teresa-vem-em-segundo-e-a-surpresa-e-guilherme-a-frente-de-gilson/,PE,s,1,,,André de Paula,"10,4",Teresa Leitão,"9,6",Guilherme Coelho,"8,3",Gilson Machado,"6,2",Carlos Andrade,"1,1",,,,,,,,,,,,,,
"""PE-02870/2022""",PE,PERNAMBUCO,"Governador, Senador",1,https://www.cnnbrasil.com.br/politica/realtime-big-data-em-pernambuco-marilia-tem-28-e-raquel-e-ferreira-14-e-cabral-12/,PE,g,1,,,Marilia Arraes,28,Raquel Lyra,14,Anderson Ferreira,14,Danilo Cabral,12,Miguel Coelho,9,João Arnaldo,1,Wellington Carneiro,1,Jones Manoel,1,,,,,,,,
"""PE-02870/2022""",PE,PERNAMBUCO,"Governador, Senador",1,https://www.cnnbrasil.com.br/politica/realtime-big-data-em-pernambuco-marilia-tem-28-e-raquel-e-ferreira-14-e-cabral-12/,PE,s,1,,,Teresa Leitão,18,Gilson Machado,15,André de Paula,10,Guilherme Coelho,3,Carlos Andrade Lima,1,Eugênia Lima,1,,,,,,,,,,,,
"""PE-03575/2022""",PE,PERNAMBUCO,"Governador, Senador",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""PE-05038/2022""",PE,PERNAMBUCO,"Senador, Governador",1,https://www.paranapesquisas.com.br/pesquisas/parana-pesquisas-divulga-pesquisa-realizada-no-estado-de-pernambuco-registro-tse-n-o-pe-pe-05038-2022-situacao-eleitoral-para-o-executivo-estadual-e-legislativo-federal-e-avaliacao/,PE,g,0,,,Marilia Arraes,"9,4",Anderson Ferreira,5,Raquel Lyra,"4,9",Miguel Coelho,"4,6",Danilo Cabral,"2,3",,,,,,,,,,,,,,
"""PE-05038/2022""",PE,PERNAMBUCO,"Senador, Governador",1,https://www.paranapesquisas.com.br/pesquisas/parana-pesquisas-divulga-pesquisa-realizada-no-estado-de-pernambuco-registro-tse-n-o-pe-pe-05038-2022-situacao-eleitoral-para-o-executivo-estadual-e-legislativo-federal-e-avaliacao/,PE,g,1,,,Marilia Arraes,"31,5",Raquel Lyra,"14,3",Anderson Ferreira,"13,6",Miguel Coelho,"12,2",Danilo Cabral,"7,5",,,,,,,,,,,,,,
"""PE-05038/2022""",PE,PERNAMBUCO,"Senador, Governador",1,https://www.paranapesquisas.com.br/pesquisas/parana-pesquisas-divulga-pesquisa-realizada-no-estado-de-pernambuco-registro-tse-n-o-pe-pe-05038-2022-situacao-eleitoral-para-o-executivo-estadual-e-legislativo-federal-e-avaliacao/,PE,s,0,,,Gilson Machado,"2,5",Tereza Leitão,"2,5",André de Paula,"1,4",,,,,,,,,,,,,,,,,,
"""PE-05038/2022""",PE,PERNAMBUCO,"Senador, Governador",1,https://www.paranapesquisas.com.br/pesquisas/parana-pesquisas-divulga-pesquisa-realizada-no-estado-de-pernambuco-registro-tse-n-o-pe-pe-05038-2022-situacao-eleitoral-para-o-executivo-estadual-e-legislativo-federal-e-avaliacao/,PE,s,1,,,Tereza Leitão,14,André de Paula,"12,5",Gilson Machado,"12,1",Guilherme Coelho,"6,2",Viviane Andrade,"1,3",,,,,,,,,,,,,,
