tse_id,SG_UF,NM_UE,DS_CARGOS,util,url,ambito,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12
RN-09248/2022,RN,RIO GRANDE DO NORTE,"Senador, Deputado Estadual, Deputado Federal, Governador",1,https://costabrancanews.com/agorasei-96fm-fatima-lidera-na-pesquisa-estimulada-e-espontanea-styvenson-chega-a-198/,RN,g,1,,,Fátima Bezerra,"37,5",Styvenson,"19,8",Fábio Dantas,10,Clorisa Linhares,"1,1",Rosalia Fernandes,"1,1",,,,,,,,,,,,,,
RN-09248/2022,RN,RIO GRANDE DO NORTE,"Senador, Deputado Estadual, Deputado Federal, Governador",1,https://costabrancanews.com/agorasei-96fm-fatima-lidera-na-pesquisa-estimulada-e-espontanea-styvenson-chega-a-198/,RN,g,0,,,Fátima Bezerra,"25,9",Styvenson,"7,9",Fábio Dantas,"4,6",,,,,,,,,,,,,,,,,,
MG-04382/2022,MG,MINAS GERAIS,"Governador, Senador",1,"https://www.em.com.br/app/noticia/politica/2022/08/19/interna_politica,1387738/pesquisa-f5-zema-tem-46-4-kalil-29-1.shtml",MG,g,0,,,Zema,"21,3",Kalil,"9,4",Carlos Viana,"2,1",,,,,,,,,,,,,,,,,,
MG-04382/2022,MG,MINAS GERAIS,"Governador, Senador",1,"https://www.em.com.br/app/noticia/politica/2022/08/19/interna_politica,1387738/pesquisa-f5-zema-tem-46-4-kalil-29-1.shtml",MG,g,1,,,Zema,"46,4",Kalil,"29,1",Carlos Viana,"5,7",Vanessa Portugal,"1,4",Marcus Pestana,"1,3",,,,,,,,,,,,,,
TO-04291/2022,TO,TOCANTINS,"Governador, Senador",1,https://portalstylo.com.br/noticia-1508589128-com-13-a-mais-que-o-segundo-colocado-wanderlei-mantem-lideranca-e-segue-como-favorito-para-eleicoes-,TO,g,1,,,Wanderlei Barbosa,35,Ronaldo Dimas,22,Paulo Mourão,10,Osires Damaso,9,Irajá Abreu,7,Luciano Teixeira,5,Karol Chaves,4,,,,,,,,,,
TO-09568/2022,TO,TOCANTINS,"Governador, Senador",1,https://www.primeirapagina.to/noticias/segunda-rodada-da-pesquisa-vope-mostra-wanderlei-barbosa-com-29-dimas-tem-21-e-damaso-14/,TO,g,1,,,Wanderlei Barbosa,29,ronaldo Dimas,21,Osires Damaso,14,Paulo Mourão,11,Dr. Luciano teixeira,5,,,,,,,,,,,,,,
AM-04178/2022,AM,AMAZONAS,"Governador, Senador",1,https://revistacenarium.com.br/wp-content/uploads/2022/07/1a-PESQUISA-GOVERNADOR.pdf,AM,g,1,,,Amazonino Mendes,"27,65",Wilson Lima,"25,26",Eduardo Braga,"11,63",Ricardo Nicolau,"7,17",Henrique Oliveira,"4,4",Marcelo Amil,"2,8",Carol Braz,"1,9",,,,,,,,,,
PR-01338/2022,PR,PARANÁ,"Governador, Senador",1,https://www.plural.jor.br/colunas/caixa-zero/pesquisa-ipespe-mostra-ratinho-com-51-e-requiao-com-25/,PR,g,1,,,Ratinho Jr.,51,Requião,25,César Silvestri filho,2,,,,,,,,,,,,,,,,,,
PE-00374/2022,PE,PERNAMBUCO,"Governador, Senador",1,https://noticias.uol.com.br/politica/ultimas-noticias/2022/01/28/pesquisa-humberto-costa-governo-pe.htm,PE,g,1,,,Humberto Costa,31,Geraldo Júlio,16,Raquel Lyra,14,Clarissa Tércio,5,Miguel Coelho,4,,,,,,,,,,,,,,
MS-04652/2022,MS,MATO GROSSO DO SUL,"Governador, Senador",1,https://correiodoestado.com.br/politica/eleicao-para-o-governo-de-ms-esta-indefinida-diz-pesquisa/402152,MS,g,0,,,André Puccinelli,"6,15",Marquinhos Trad,"7,14",Rose Modesto,"3,13",Capitão Contar,"3,46",Eduardo Riedel,"3,27",,,,,,,,,,,,,,
MS-04652/2022,MS,MATO GROSSO DO SUL,"Governador, Senador",1,https://correiodoestado.com.br/politica/eleicao-para-o-governo-de-ms-esta-indefinida-diz-pesquisa/402152,MS,g,1,,,André Puccinelli,"27,32",Marquinhos Trad,"23,03",Rose Modesto,"14,48",Capitão Contar,"9,86",Eduardo Riedel,"9,15",Giselle Marques,"2,57",Luhhara Arguelho,"1,1",,,,,,,,,,
