tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
BA-00097/2012,http://www.agorasudoeste.com.br/noticias/769-2012/08/27/pesquisa-de-intencao-de-votos-sera-divulgada-sabado,BA,BRUMADO,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00121/2012,https://folhadoparaguassu.blogspot.com/2012/09/,BA,XIQUE-XIQUE,1.0,P,0.0,,,DR. RICARDO,51,RENAN BRAGA,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00121/2012,https://folhadoparaguassu.blogspot.com/2012/09/,BA,XIQUE-XIQUE,1.0,P,1.0,,,DR. RICARDO,53,RENAN BRAGA,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00126/2012,https://correiomacaubense.wordpress.com/2012/09/11/pesquisa-compet-marco-tulio-possui-44-das-intencoes-de-voto-em-boquira/,BA,BOQUIRA,1.0,P,1.0,,,MARCO TULIO,44,LUCIANO,26,EDMILSON,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00189/2012,https://irece-bahia.blogspot.com/2012/09/pesquisa-em-joao-dourado-aponta.html,BA,JOÃO DOURADO,1.0,P,1.0,,,RUI DOURADO,48,JOAO CARDOSO,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00231/2012,https://blogsertaonoticias.blogspot.com/2012/09/,BA,MONTE SANTO,1.0,P,1.0,,,JORGE ANDRADE,"51,5",ZE VALDO,"38,3",EVARISTO,"1,2",DR. JOSE RUDIVAL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00257/2012,https://www.calilanoticias.com/2012/10/pesquisa-brapeg-aponta-lideranca-do-pdt-em-riachao-do-jacuipe,BA,RIACHÃO DO JACUÍPE,1.0,P,,,,TANIA MATOS,"54,05",DRA. GLEIDE,"41,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00267/2012,https://www.coursehero.com/file/p1qanl7/BA002672012-AGWANDA-William-Ochieng-179-BA030232013-BALA-Beatrice-180/,BA,SÃO GONÇALO DOS CAMPOS,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00365/2012,"https://www.bnews.com.br/noticias/politica/eleicoes/44715,dalva-merces-lidera-corrida-eleitoral-em-santo-antonio-de-jesus.html",BA,SANTO ANTÔNIO DE JESUS,1.0,P,,,,DALVA,"45,17",HUMBERTO LEITE,"40,50",ALVARO BESSA,"7,50",FRANDERRAK,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00417/2012,http://www.agorasudoeste.com.br/noticias/1106-2012/10/05/nova-pesquisa-coloca-aguiberto-na-frente-com-5528,BA,BRUMADO,1.0,P,1.0,,,AGUIBERTO LIMA DIAS,"55,28",MARIZETE PEREIRA,"30,05",GILSON DIAS,"2,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00507/2012,https://ubaitaba.com/azevedo-dem-lidera-com-3935-em-nova-pesquisa/,BA,ITABUNA,1.0,P,,,,CAPITAO AZEVEDO,"39,35",VANE,"25,48",JUÇARA,"19,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00035/2012,https://magnosiqueira.blogspot.com/2012/07/dados-da-estratificacao-da-pesquisa.html,MA,IMPERATRIZ,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-00430/2012,https://www.rodrigoportari.com.br/?p=967,MG,FRUTAL,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00005/2014,https://soldocarajas.blogspot.com/2014/09/pesquisa-doxa-e-acionada-na-justica.html,PA,PARÁ,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DENUNCIADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00009/2014,https://soldocarajas.blogspot.com/2014/09/pesquisa-doxa-e-acionada-na-justica.html,PA,PARÁ,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DENUNCIADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00010/2012,https://blogsaganews.blogspot.com/2012/06/maraba-corrida-eleitoral-2012.html,PA,MARABÁ,1.0,P,1.0,,,SEBASTIAO MIRANDA,"45,7",JOAO SALAME,"29,1",MAURINO MAGALHAES,"13,5",ITALO IPOJUCAN,"2,5",LUIS CARLOS PIES,"2,3",JORGE BICHARA,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00010/2012,https://blogsaganews.blogspot.com/2012/06/maraba-corrida-eleitoral-2012.html,PA,MARABÁ,1.0,P,0.0,,,SEBASTIAO MIRANDA,"41,1",JOAO SALAME,"20,5",MAURINO MAGALHAES,"9,1",ITALO IPOJUCAN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00013/2012,https://blogdoluizpereira.blogspot.com/2012/06/abandono-xinguara-estradas-vicinais.html,PA,CANAÃ DOS CARAJÁS,1.0,P,,,,VALDEMAR DA PAVINORTE,"27,8",JEOVA ANDRADE,"24,1",PENTEADO,"4,2",RIBITA,"4,2",DR. ITAMAR,"2,8",MAIA DO LOTEAMENTO,"2,8",CHEFINHO,"2,8",DRA. MARILDA,"2,3",ANUAR ALVES,2,HELIO,"1,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00015/2012,https://pjpontes.blogspot.com/2012/06/segunda-pesquisa-de-intencao-de-votos.html,PA,BELÉM,1.0,P,1.0,,,EDMILSON,36,PRIANTE,"18,7",ZENALDO,"8,8",JORDY,"7,7",ALFREDO,"4,6",JEFERSON,"4,3",ANIVALDO,"3,4",CASSIO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00021/2014,https://gazetamiriense.wordpress.com/2014/09/08/tre-suspende-pesquisa-eleitoral-suspeita/,PA,PARÁ,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00024/2012,http://www.santaluzia-online.com/2012/07/pesquisa-de-intencao-de-votos-para.html,PA,ANANINDEUA,1.0,P,1.0,,,PIONEIRO,"45,5",CHICAO,"30,1",ELIEL FAUSTINO,"9,3",LUIS FREITAS,"5,1",MARIA COSTA,1,JOAO BERNARDES,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00024/2012,http://www.santaluzia-online.com/2012/07/pesquisa-de-intencao-de-votos-para.html,PA,ANANINDEUA,1.0,P,0.0,,,PIONEIRO,32,CHICAO,"16,1",ELIEL FAUSTINO,"4,1",LUIS FREITAS,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00027/2014,https://blogdoluizpereira.blogspot.com/2014/09/normal-0-21-false-false-false-pt-br-x_51.html,PA,PARÁ,1.0,DF,,,,EDER MAURO,"9,8",WLADIMIR COSTA,"5,4",BETO SALAME,"4,4",EDMILSON RODRIGUES,"3,7",GERSON PERES,"3,4",CHAPADINHA,"1,6",SDNEY,"1,6",JOAQUIM CAMPOS,"1,5",LUCIO VALE,"1,5",HELIO LEITE,"1,3",ARNALDO JORDY,"1,2",CHITA,"1,2",NILSON PINTO,"1,1",PASTOR JOSUE BENGTSON,1.0,ZE GEREALDO,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00027/2014,https://doxacomunicacao.blogspot.com/2014/09/a-corrida-eleitoral-no-para-para_15.html,PA,PARÁ,1.0,DE,,,,CORONEL NEIL,"4,1",LUTH REBELO,"2,9",TIAO MIRANDA,"2,6",CHAMON,"2,2",ANTONIO TONHEIRO,"2,2",DR. NILSON OLIVEIRA,"1,6",SINOE,"1,5",NERY,"1,3",MARTINHO CARMONA,"1,2",SEFER,"1,2",ITALO MACOLA,"1,1",LEONARDO CABRAL,1,MARINOR BRITO,1,ROBERTO ROCHA,1.0,EVERALDO BATISTA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00029/2012,https://pjpontes.blogspot.com/2012/07/pesquisa-da-doxa-comunicacao-mostra.html,PA,BELÉM,1.0,P,1.0,,,EDMILSON RODRIGUES,"47,6",JOSE PRIANTE,"18,6",ARNALDO JORDY,"7,1",ZENALDO COUTINHO,"6,8",ALFREDO COSTA,"4,3",JEFFERSON LIMA,"4,3",ANIVALDO VALE,"3,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00029/2012,https://zeca-mnews.blogspot.com/2012/07/nova-pesquisa-para-prefeito-de-belem.html,PA,BELÉM,1.0,P,0.0,,,EDMILSON,"25,2",JOSE PRIANTE,"7,7",ARNALDO JORDY,"3,3",ZENALDO COUTINHO,3,JEFERSON LIMA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00031/2012,https://flaviovidal.blogspot.com/2012/07/jorge-barros-lidera-corrida-eleitoral.html,PA,SÃO GERALDO DO ARAGUAIA,1.0,P,0.0,,,JORGE BARROS,"35,04",MANELAO,"23,50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00031/2012,https://flaviovidal.blogspot.com/2012/07/jorge-barros-lidera-corrida-eleitoral.html,PA,SÃO GERALDO DO ARAGUAIA,1.0,P,1.0,,,JORGE BARROS,"44,87",MANELAO,"31,62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
