feito_por,tse_id,url,,estado,sg_ue,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
FABRICIO,BR-00686/2014,http://www.alvinhopatriota.com.br/dilma-lidera-corrida-presidencial-em-serra-talhada/,10828442000184,BR,BR,1,PR,1.0,,,Dilma Rouseff,0.67,Aecio Neves,0.04,Marina Silva ,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,BR-00941/2014,https://nilljunior.com.br/o-multipla-tambem-separou-os-dados-por-mesorregiao-para-mostrar-como-estao-os-candidatos-na-corrida-estadual-no-alto-medio-e-baixo-pajeu/,10828442000184,BR,BR,1,PR,1.0,,,Dilma Rouseff,0.696,Marina Silva,0.23,Aecio Neves,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,BR-00941/2014,https://www.radiopajeu.com.br/portal/no-pajeu-dilma-tem-mais-votos-que-marina-atesta-multipla/,10828442000184,BR,BR,1,PR,1.0,,,Dilma Rouseff,0.696,Marina Silva,0.23,Aecio Neves,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,BR-01013/2014,https://nilljunior.com.br/page/1236/,10828442000184,BR,BR,1,PR,1.0,,,Dilma Rouseff,0.562,Marina Silva,0.324,Aecio Neves,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,BR-01204/2018,http://blogdeassis.com.br/politica/no-rn-haddad-tem-329-bolsonaro-222-e-ciro-107-mostra-nova-pesquisa/110176,40808743000107,BR,BR,1,PR,1.0,,,Fernando Haddad,0.329,Bolsonaro,0.222,Ciro Gomes,0.222,Geraldo Alckmin,0.0386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,BR-01204/2018,http://blogdobarreto.com.br/haddad-tem-10-de-vantagem-sobre-bolsonaro-no-rn-segundo-instituto-perfil/,40808743000107,BR,BR,1,PR,1.0,,,Fernando Haddad,0.329,Bolsonaro,0.222,Ciro Gomes,0.222,Geraldo Alckmin,0.0386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,BR-01204/2018,http://www.bloglucianoseixas.com/2018/10/no-rn-haddad-tem-329-bolsonaro-222-e.html,40808743000107,BR,BR,1,PR,1.0,,,Fernando Haddad,0.329,Bolsonaro,0.222,Ciro Gomes,0.222,Geraldo Alckmin,0.0386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,BR-01204/2018,https://agorarn.com.br/politica/no-rn-haddad-tem-329-bolsonaro-222-e-ciro-107-mostra-nova-pesquisa/,40808743000107,BR,BR,1,PR,1.0,,,Fernando Haddad,0.329,Bolsonaro,0.222,Ciro Gomes,0.222,Geraldo Alckmin,0.0386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,BR-01204/2018,https://blogurakensilva.blogspot.com/2018/10/no-rn-haddad-tem-329-bolsonaro-222-e.html,40808743000107,BR,BR,1,PR,1.0,,,Fernando Haddad,0.329,Bolsonaro,0.222,Ciro Gomes,0.222,Geraldo Alckmin,0.0386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FABRICIO,BR-01204/2018,https://folhadoalto.blogspot.com/2018/10/no-rn-haddad-tem-329-bolsonaro-222-e.html,40808743000107,BR,BR,1,PR,1.0,,,Fernando Haddad,0.329,Bolsonaro,0.222,Ciro Gomes,0.222,Geraldo Alckmin,0.0386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
