tse_id,url,,estado,sg_ue,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
AM-00062/2012,https://www.pj.gob.pe/wps/wcm/connect/11d5c6004aa7db1fa349b72b2d0eba28/D_Audiencias_26_30_260312.pdf?MOD=AJPERES&CACHEID=11d5c6004aa7db1fa349b72b2d0eba28,7596217000155,AM,2550,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-00113/2014,http://www.blogdosilvio.com.br/2014/05/em-sao-jose-de-ribamar-flavio-dino.html,5833992000151,BR,BR,1,G,,,,FLAVIO DINO,56.3,EDINHO LOBAO,8.3,MARCOS SILVA,4.7,ANTONIO PEDROSA,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-00113/2014,http://www.blogdosilvio.com.br/2014/05/em-sao-jose-de-ribamar-flavio-dino.html,5833992000151,BR,BR,1,G,0.0,,,LUIS FERNANDO,26.7,FLAVIO DINO,17.0,ELIZIANE GAMA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-00113/2014,http://www.blogdosilvio.com.br/2014/05/em-sao-jose-de-ribamar-flavio-dino.html,5833992000151,BR,BR,1,S,,,,ROBERTO ROCHA,31.0,GASTAO VIEIRA,18.3,ARNALDO MELO,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-00183/2014,http://www.irmaoinaldo.com.br/2014_06_25_archive.html,5833992000151,BR,BR,1,G,,,,FLAVIO DINO,58.2,EDINHO LOBAO,20.7,JOSE LUIS LAGO,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-00183/2014,https://blogdeluizrocha.blogspot.com/2014/,5833992000151,BR,BR,1,S,,,,ROBERTO ROCHA,35.8,GASTAO VIEIRA,19.2,HAROLDO SABOIA,10.0,CLAUDICEIA DURANS,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-00467/2014,http://www.netopimentel.com.br/2014/09/no-maior-colegio-elitoral-do-pais.html,5833992000151,BR,BR,1,PR,,,,MARINA SILVA,31.9,DILMA ROUSSEFF,48.7,AECIO NEVES,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-08478/2018,https://www.ma10.com.br/2018/10/04/pesquisa-revela-intencao-de-votos-para-presidente-governador-e-senador/,5833992000151,BR,BR,1,PR,1.0,,,FERNANDO HADDAD,48.3,JAIR BOLSONARO,24.4,CIRO GOMES,7.2,GERALDO ALCKMIN,2.6,MARINA SILVA,2.3,ALVARO DIAS ,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-08478/2018,https://www.ma10.com.br/2018/10/04/pesquisa-revela-intencao-de-votos-para-presidente-governador-e-senador/,5833992000151,BR,BR,1,S,,,,WEVERTON ROCHA,36.2,ELIZIANE GAMA,34.6,EDISON LOBAO,22.8,SARNEY FILHO,20.9,JOSE REINALDO TAVARES,7.2,ALEXANDRE ALMEIDA,6.6,PRETA LU,1.7,SAMUEL CAMPELO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-08478/2018,https://www.ma10.com.br/2018/10/04/pesquisa-revela-intencao-de-votos-para-presidente-governador-e-senador/,5833992000151,BR,BR,1,G,,,1.0,FLAVIO DINO,62.0,ROSEANA SARNEY,30.5,MAURA JORGE,5.6,ROBERTO ROCHA,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00001/2014,http://www.ufma.br/portalUFMA/arquivo/5amMhWWNQIivpnO.pdf,5833992000151,MA,MA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00001/2014,https://valdivanalves.blogspot.com/2014/02/isaias-fortes-conitnua-sendo-uma-lenda.html,5833992000151,MA,MA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
