obs,tse_id,url,,estado,sg_ue,util,position,estimulada,vv,suspensa,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
,DF-00002/2014,https://fashionforward.mako.co.il/news/76886/attachment/488887187df00002_2014_billb/,3303870000128,DF,DF,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DF-00031/2014,https://blogdacris.com.br/noticias/politica/pesquisas-eleitorais-oficiosas-circulam-em-redes-sociais/,3303870000128,DF,DF,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DF-00073/2014,http://exataop.com.br/pesquisas/resultados/PESQUISA_OUTUBRO_GERAL_ELEITORAL.pdf,3303870000128,DF,DF,1.0,G,0.0,,,ROLLEMBERG,26.1,JOFRAN FREJAT,21.1,AGNELO,18.6,PITIMAN,2.8,TONINHO,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DF-00073/2014,http://exataop.com.br/pesquisas/resultados/PESQUISA_OUTUBRO_GERAL_ELEITORAL.pdf,3303870000128,DF,DF,1.0,G,1.0,,,ROLLEMBERG,30.6,JOFRAN FREJAT,24.4,AGNELO,21.4,PITIMAN,3.8,TONINHO,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DF-00073/2014,http://exataop.com.br/pesquisas/resultados/PESQUISA_OUTUBRO_GERAL_ELEITORAL.pdf,3303870000128,DF,DF,1.0,S,1.0,,,REGUFFE,33.7,GIM,19.5,MAGELA,19.3,SANDRA QUEZADO,1.9,TONINHO,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DF-00073/2014,http://exataop.com.br/pesquisas/resultados/PESQUISA_OUTUBRO_GERAL_ELEITORAL.pdf,3303870000128,DF,DF,1.0,DF,0.0,,,FRAGA,9.0,ÉRIKA KOKAY,3.6,RÔNEY NEMER,3.2,ROGÉRIO ROSSO,3.0,ALÍRIO,2.8,IZALCI,2.7,VITOR PAULO,2.7,ELIANA PEDROSA,2.6,RONALDO FONSECA,2.5,AUGUSTO CARVALHO,2.2,MARIA ABADIA,2.0,MARIA ABADIA,2.0,POLICARPO,2.0,LAERTE BESSA,1.9,JOAQUIM RORIZ NETO,1.7,PATRÍCIO,1.5,RAFAEL BARBOSA,1.4,JURACI TESOURA DE OURO,1.1,SANDRO AVELAR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DF-00073/2014,http://exataop.com.br/pesquisas/resultados/PESQUISA_OUTUBRO_GERAL_ELEITORAL.pdf,3303870000128,DF,DF,1.0,DE,0.0,,,LILIANE,2.4,CHICO VIGILANTE,1.8,DR. MICHEL,1.7,RICARDO VALE,1.5,RAFAEL PRUDENTE,1.4,WASNY,1.2,PAULO RORIZ,1.2,ROBÉRIO NEGREIRO,1.1,JUAREZÃO,1.0,BISPO RENATO,1.0,CHICO LEITE,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DF-00073/2014,https://docplayer.com.br/6863595-Pesquisa-eleitoral-setembro-2014.html,3303870000128,DF,DF,1.0,G,1.0,,,ROLLEMBERG,25.6,AGNELO,22.7,JOFRAN FREJAT,17.3,PITIMAN,5.5,TONINHO,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DF-00073/2014,https://docplayer.com.br/6863595-Pesquisa-eleitoral-setembro-2014.html,3303870000128,DF,DF,1.0,S,1.0,,,REGUFFE,34.9,MAGELA,22.9,GIM,17.3,SANDRA QUEZADO,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DF-00073/2014,https://docplayer.com.br/6863595-Pesquisa-eleitoral-setembro-2014.html,3303870000128,DF,DF,1.0,DF,0.0,,,FRAGA,3.2,IZALCI,2.0,ALÍRIO NETO,1.9,ELIANA PEDROSA,1.6,ROGÉRIO ROSSO,1.5,ÉRIKA KOKAY,1.4,VITOR PAULO,1.3,RÔNEY NEMER,1.1,RONALDO FONSECA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DF-00073/2014,https://docplayer.com.br/6863595-Pesquisa-eleitoral-setembro-2014.html,3303870000128,DF,DF,1.0,DE,0.0,,,LILIANE RORIZ,1.6,DR. MICHEL,1.2,CHICO VIGILANTE,1.1,WASNY,1.0,CHICO LEITE,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DF-00084/2014,http://www.exataop.com.br/pesquisas/resultados/PESQUISA%20SEGUNDOTURNOG02_DF_OUTUBRO_DIA%2018_site.pdf,3303870000128,DF,DF,1.0,PR,1.0,,,AÉCIO NEVES,53.0,DILMA ROUSSEFF,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
