feito_por,obs,tse_id,url,,estado,sg_ue,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
CLARA,,BR-00555/2014,https://issuu.com/lpluizpaulo/docs/jornal_12,6972255000100.0,BR,BR,1.0,DF,0.0,,,HEULER CRUVINEL,23.3,PAULO DO VALE,7.5,DANIEL VILELA,1.9,NAYARA BARCELOS,1.6,IRIS ARAUJO,1.2,LUCAS VIRGILIO,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,BR-00555/2014,https://issuu.com/lpluizpaulo/docs/jornal_12,6972255000100.0,BR,BR,1.0,DE,0.0,,,LISSAUER VIEIRA,13.7,KARLOS CABRAL,10.8,MARIA JOSE,6.2,ZE HENRIQUE,4.1,CHICO KGL,2.7,PASTOR VAGNER,2.5,LEONARDO,1.8,ZULEIKA,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,Mesmo que BR-00555/2014,GO-00108/2014,https://issuu.com/lpluizpaulo/docs/jornal_12,6972255000100.0,GO,GO,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,GO-00558/2012,https://issuu.com/afolhadovale/docs/edicao242,6972255000100.0,GO,93505,1.0,P,0.0,,,WALDILEI LEMOS,39.6,CIRLEI ARAUJO,30.3,JUNIO PH,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,GO-00558/2012,https://issuu.com/afolhadovale/docs/edicao242,6972255000100.0,GO,93505,1.0,P,1.0,,,WALDILEI LEMOS,40.8,CIRLEI ARAUJO,30.6,JUNIO PH,19.4,ANIVALDO SENA,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,GO-00559/2012,https://issuu.com/afolhadovale/docs/edicao242,6972255000100.0,GO,93440,1.0,P,0.0,,,EDIMAR BANANEIRO,30.6,FABIM DO POMBO,23.8,RICARDO,19.1,VALMIR,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,GO-00559/2012,https://issuu.com/afolhadovale/docs/edicao242,6972255000100.0,GO,93440,1.0,P,1.0,,,EDIMAR BANANEIRO,33.8,FABIM DO POMBO,25.4,RICARDO,19.1,VALMIR,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,GO-00561/2012,https://issuu.com/afolhadovale/docs/edicao242,6972255000100.0,GO,92630,1.0,P,0.0,,,ORIPAO,47.8,DR. GERALDO MARTINS,42.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,GO-00561/2012,https://issuu.com/afolhadovale/docs/edicao242,6972255000100.0,GO,92630,1.0,P,1.0,,,ORIPAO,48.5,DR. GERALDO MARTINS,42.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,GO-00765/2012,https://www.dinomarmiranda.com/2013/06/,6972255000100.0,GO,95915,1.0,P,1.0,,,TRAJANO PINHEIRO,51.4,ETELIA,39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,GO-02317/2016,http://www.jornalestadodegoias.com.br/2016/09/27/instituto-inerpes-realiza-pesquisa-para-vereador-em-anapolis-veja-a-lista-completa/,6972255000100.0,GO,92215,1.0,V,0.0,,,ANTONIO GOMIDE,8.81,ZE GUEDES,3.78,JEAN CARLOS,2.52,AMERICO,1.44,LEANDRO RIBEIRO,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,GO-06053/2016,https://cleubercarlos.blogspot.com/2016/09/,6972255000100.0,GO,92029,1.0,P,,,,PROFESSOR KELTON,38,DIENES,23.67,HERMES,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,GO-07473/2016,http://www.jornaldiariodonorte.com.br/noticias/jacob-a-caminho-de-uma-nova-vitoria-30091605,6972255000100.0,GO,92649,1.0,P,1.0,,,JACOB FERREIRA,56.58,FERNANDO ROSA SOARES,29.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,GO-07473/2016,http://www.jornaldiariodonorte.com.br/noticias/jacob-a-caminho-de-uma-nova-vitoria-30091605,6972255000100.0,GO,92649,1.0,P,0.0,,,JACOB FERREIRA,55.86,FERNANDO ROSA SOARES,28.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,GO-08113/2016,http://www.jornaldiariodonorte.com.br/noticias/jalles-com-40-40-esta-na-lideranca-30091548,6972255000100.0,GO,93718,1.0,P,1.0,,,JALLES FONTOURA,40.4,RENATO DE CASTRO,31.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,GO-09483/2016,http://www.jornalestadodegoias.com.br/2016/09/12/joao-gomes-tem-2145-e-pedro-canedo-166-na-pesquisa-inerpes/,6972255000100.0,GO,92215,1.0,P,1.0,,,JOAO GOMES,21.45,PEDRO CANEDO,16.6,JOSE DE LIMA,8.3,CARLOS ANTONIO,7.7,ROBERTO NAVES,5.4,VALERIANO ABREU,2.55,ERNANI DE PAULA,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,GO-09483/2016,http://www.jornalestadodegoias.com.br/2016/09/12/joao-gomes-tem-2145-e-pedro-canedo-166-na-pesquisa-inerpes/,6972255000100.0,GO,92215,1.0,P,0.0,,,JOAO GOMES,19.81,PEDRO CANEDO,9.95,JOSE DE LIMA,6.06,CARLOS ANTONIO,5.58,ROBERTO NAVES,4.62,VALERIANO ABREU,2.3,ERNANI DE PAULA,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,BA-00032/2012,http://mandacarudaserra.com.br/arquivo/2012/julho.html,8624076000108.0,BA,36919,1.0,P,0.0,,,RICARDINHO,40,DR. PAULO,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,BA-00032/2012,http://mandacarudaserra.com.br/arquivo/2012/julho.html,8624076000108.0,BA,36919,1.0,P,1.0,,,RICARDINHO,44,DR. PAULO,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,BA-00034/2012,https://correiomacaubense.wordpress.com/2012/07/24/erico-cardoso-joao-paulo-lidera-pesquisa-de-intencao-de-voto/,8624076000108.0,BA,33090,1.0,P,1.0,,,DR. JOAO PAULO,50,ROBERIO NUNES,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,BA-00045/2012,https://correiomacaubense.wordpress.com/2012/08/02/nova-pesquisa-de-opiniao-mostra-zezinho-a-frente-de-robinho/,8624076000108.0,BA,36978,1.0,P,0.0,,,ZEZINHO,52,ROBSON NUNES,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,BA-00045/2012,https://correiomacaubense.wordpress.com/2012/08/02/nova-pesquisa-de-opiniao-mostra-zezinho-a-frente-de-robinho/,8624076000108.0,BA,36978,1.0,P,1.0,,,ZEZINHO,53,ROBSON NUNES,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,BA-00112/2012,https://correiomacaubense.wordpress.com/2012/09/09/erico-cardoso-nova-pesquisa-do-eco-mostra-lideranca-de-joao-paulo/,8624076000108.0,BA,33090,1.0,P,1.0,,,DR. JOAO PAULO,56,ROBERIO NUNES,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,Pesquisa impugnada.,BA-00132/2012,https://correiomacaubense.wordpress.com/2012/09/11/zezinho-lidera-pesquisa-do-eco-com-61-das-intencoes-de-voto-em-macaubas/,8624076000108.0,BA,36978,1.0,P,1.0,,,ZEZINHO,61,ROBSON NUNES,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,BA-00170/2012,https://correiomacaubense.wordpress.com/2012/09/21/rio-do-pires-valtinho-lidera-pesquisa-de-intencao-de-voto/,8624076000108.0,BA,38393,1.0,P,1.0,,,VALTINHO,54,DR. NEY,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,BA-00185/2012,https://correiomacaubense.wordpress.com/2012/09/25/ex-prefeito-dede-e-o-preferido-nas-intencoes-de-voto-em-tanque-novo-segundo-pesquisa/comment-page-1/,8624076000108.0,BA,39918,1.0,P,1.0,,,DEDE,58,DANIEL,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,BA-00258/2012,http://www.agorasudoeste.com.br/noticias/1056-2012/09/30/dr-paulo-lidera-pesquisa-do-eco-em-livramento,8624076000108.0,BA,36919,1.0,P,1.0,,,DR. PAULO,50,RICARDINHO,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,Não consigo abrir link.,BA-00436/2012,https://www.coursehero.com/file/p1qanl7/BA002672012-AGWANDA-William-Ochieng-179-BA030232013-BALA-Beatrice-180/,8624076000108.0,BA,33812,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,BA-01869/2016,https://oecojornal.com.br/sentenca-da-justica-eleitoral-confirma-autenticidade-de-pesquisa-do-jornal-o-eco/,8624076000108.0,BA,38350,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,BA-02022/2016,https://oecojornal.com.br/pesquisa-realizada-em-ibipitanga-e-divulgada-pelo-jornal-o-eco-aponta-lideranca-folgada-do-pre-candidato-edy-pan/,8624076000108.0,BA,35513,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,BA-02655/2016,https://oecojornal.com.br/eleicoes-2016-pesquisa-edypan-amplia-vantagem-sobre-toe-de-xavier-em-ibipitanga/,8624076000108.0,BA,35513,1.0,P,1.0,,,EDYPAN,62,TOE DE XAVIER,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,BA-02738/2016,https://oecojornal.com.br/eleicoes-2016-dom-basilio-pesquisa-confirma-lideranca-de-candidato-da-oposicao/,8624076000108.0,BA,35017,1.0,P,1.0,,,ROBERVAL,48,DR. ALFREDO,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,BA-04199/2016,https://oecojornal.com.br/nova-pesquisa-de-intencao-de-votos-em-rio-do-pires-vanio-amplia-vantagem-e-lidera-com-57/,8624076000108.0,BA,38393,1.0,P,,,,VANIO DE GILDASIO,57,VALTINHO,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,BA-04667/2016,https://oecojornal.com.br/pesquisa-de-intencao-de-votos-aponta-lideranca-de-dr-erico-em-erico-cardoso/,8624076000108.0,BA,33090,1.0,P,0.0,,,DR. ERICO,57,ROBERIO NUNES,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,BA-04667/2016,https://oecojornal.com.br/pesquisa-de-intencao-de-votos-aponta-lideranca-de-dr-erico-em-erico-cardoso/,8624076000108.0,BA,33090,1.0,P,1.0,,,DR. ERICO,58,ROBERIO NUNES,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,BA-05207/2016,http://www.mandacarudaserra.com.br/arquivo/2016/setembro.html,8624076000108.0,BA,36919,1.0,P,1.0,,,RICARDINHO RIBEIRO,52,EMERSON LEAL,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLARA,,BA-05611/2016,https://www.boquiraemacao.com.br/p/quem-somos.html,8624076000108.0,BA,33812,1.0,P,,,,LUCIANO,58,MARCO TULIO,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
