obs,outro id,tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
,RN-01594/2018,BR-00101/2018,https://folhadoalto.blogspot.com/2018_10_06_archive.html,BR,BRASIL,1.0,G,1.0,,,FATIMA BEZERRA,29,CARLOS EDUARDO ALVES,21,ROBINSON FARIA,12,BRENO QUEIROGA,4,PROF. CARLOS ALBERTO,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BR-00101/2018,https://tenentelaurentinoagora.blogspot.com/2018/10/pela-primeira-vez-bolsonaro-lidera-no.html,BR,BRASIL,1.0,PR,1.0,,,JAIR BOLSONARO,29,FERNANDO HADDAD,25,CIRO GOMES,13,GERALDO ALCKMIN,2,CABO DACIOLO,1,HENRIQUE MEIRELLES,1,MARINA SILVA,1,ALVARO DIAS,1,JOAO AMOEDO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BR-00101/2018,https://tenentelaurentinoagora.blogspot.com/2018/10/pesquisa-seta-presidente-espontanea-com.html,BR,BRASIL,1.0,PR,0.0,,,JAIR BOLSONARO,25,FERNANDO HADDAD,20,CIRO GOMES,11,GERALDO ALCKMIN,2,CANDIDATO DE LULA,1,HENRIQUE MEIRELLES,1,CABO DACIOLO,1,MARINA SILVA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BR-00406/2018,http://guamarenews.com/pesquisas-confira-os-numeros-das-cinco-ultimas-pesquisas-eleitorais-no-rn-para-governo-e-presidencia/,BR,BRASIL,1.0,PR,,,1.0,FERNANDO HADDAD,55,JAIR BOLSONARO,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RN-07412/2018,BR-00406/2018,https://thiagoandersom.blogspot.com/2018/10/pesquisa-setablogdobg-governo-votos_45.html,BR,BRASIL,1.0,G,1.0,,,FATIMA BEZERRA,43,CARLOS EDUARDO ALVES,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RN-01821/2018,BR-00659/2018,http://www.ivanildosouza.com/2018_09_24_archive.html,BR,BRASIL,1.0,G,1.0,,,FATIMA BEZERRA,30,CARLOS EDUARDO ALVES,16,ROBINSON FARIA,10,PROF. CARLOS ALBERTO,1,BRENO QUEIROGA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RN-01821/2018,BR-00659/2018,https://folhadoalto.blogspot.com/2018_09_24_archive.html,BR,BRASIL,1.0,S,,,,CAPITAO STYVENSON,22,ZENAIDE MAIA,17,GERALDO MELO,15,GARIBALDI ALVES,14,ANTONIO JACOME,7,MAGNOLIA FIGUEIREDO,2,ALEXANDRE MOTTA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RN-05667/2018,BR-00927/2018,http://www.blogdosilverioalves.com/2018/08/pesquisa-seta-carlos-eduardo-cai.html,BR,BRASIL,1.0,G,1.0,,,FATIMA BEZERRA,26,CARLOS EDUARDO ALVES,13,ROBINSON FARIA,10,PROF CARLOS ALBERTO,2,HERO BEZERRA,1,BRENO QUEIROGA,1,DARIO BARBOSA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BR-00927/2018,https://sigafabiojunior.blogspot.com/2018/08/antonio-martins-rn-sintoniza-radio_29.html,BR,BRASIL,1.0,PR,1.0,,,LULA,47,JAIR BOLSONARO,17,CIRO GOMES,4,MARINA SILVA,3,GERALDO ALCKMIN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RN-05667/2018,BR-00927/2018,https://www.blogdoedmilsonsousa.com/2018/08/pesquisa-blog-do-bgseta-em-um-mes.html,BR,BRASIL,1.0,S,1.0,,,CAPITAO STYVENSON,21,ZENAIDE MAIA,14,GARIBALDI ALVES,13,GERALDO MELO,9,ANTONIO JACOME,5,MAGNOLIA FIGUEIREDO,2,BISPO LEVI COSTA,1,ALEXANDRE MOTTA,1,PROF. ANA CELIA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RN-07553/2018,BR-02681/2018,http://blogdachris.com/post/pesquisa-seta-mostra-crescimento-de-robinson-faria/1704/,BR,BRASIL,1.0,G,0.0,,,FATIMA BEZERRA,18,CARLOS EDUARDO ALVES,10,ROBINSON FARIA,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RN-07553/2018,BR-02681/2018,http://www.bloglucianoseixas.com/2018/09/rejeicao-robinson-tem-27-fatima-8-e.html,BR,BRASIL,1.0,G,1.0,,,FATIMA BEZERRA,32,CARLOS EDUARDO ALVES,16,ROBINSON FARIA,12,BRENO QUEIROGA,1,HERO BEZERRA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BR-02681/2018,http://www.ofachodegrossos.com/2018/09/fatima-lidera-com-o-dobro-dos-pontos-de.html,BR,BRASIL,1.0,PR,,,,JAIR BOLSONARO,21,FERNANDO HADDAD,20,CIRO GOMES,14,GERALDO ALCKMIN,3,MARINA SILVA,2,ALVARO DIAS,1,HENRIQUE MEIRELLES,1,JOAO AMOEDO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RN-07553/2018,BR-02681/2018,https://folhadoalto.blogspot.com/2018_09_14_archive.html,BR,BRASIL,1.0,S,1.0,,,CAPITAO STYVENSON,21,ZENAIDE MAIA,15,GARIBALDI ALVES,14,GERALDO MELO,10,ANTONIO JACOME,5,ALEXANDRE MOTTA,2,MAGNOLIA FIGUEIREDO,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RN-03095/2018,BR-03943/2018,http://www.blogdosilverioalves.com/2018/10/pesquisa-seta-divulgada-hoje-4-podera.html,BR,BRASIL,1.0,G,1.0,,,FATIMA BEZERRA,32,CARLOS EDUARDO ALVES,16,ROBINSON FARIA,11,BRENO QUEIROGA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
