tse_id,url,,estado,sg_ue,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
BR-00107/2014,https://www.blogdojorgearagao.com.br/2014/05/0/page/17/,63581458000100,BR,BR,1.0,PR,,,,DILMA ROUSSEFF,66,AECIO NEVES,10,EDUARDO CAMPOS,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-00381/2014,https://noticiasdealdeias.blogspot.com/2014/08/,63581458000100,BR,BR,1.0,PR,,,,DILMA ROUSSEFF,34,MARINA SILVA,29,AECIO NEVES,19,LUCIANA GENRO,1,PASTOR EVERALDO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-00482/2014,https://noticiasdealdeias.blogspot.com/2014/09/,63581458000100,BR,BR,1.0,PR,1.0,,,DILMA ROUSSEFF,57,MARINA SILVA,28,AECIO NEVES,8,PASTOR EVERALDO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-00544/2014,https://clodoaldocorrea.com.br/2014/09/nova-pesquisa-exata-flavio-lidera-com-57-e-flavio-dino-possui-27/,63581458000100,BR,BR,1.0,PR,1.0,,,DILMA ROUSSEFF,54,MARINA SILVA,34,AECIO NEVES,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-00631/2014,https://portalguara.com/resultado-da-6-pesquisa-exata-fiema-tvguara-para-presidente/,63581458000100,BR,BR,1.0,PR,1.0,,,DILMA ROUSSEFF,57,MARINA SILVA,27,AECIO NEVES,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-00687/2014,https://portalguara.com/resultado-da-7-pesquisa-exata-fiema-tvguara-para-presidente/,63581458000100,BR,BR,1.0,PR,1.0,,,DILMA ROUSSEFF,58,MARINA SILVA,27,AECIO NEVES,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-00986/2014,https://jornalpequeno.blog.br/johncutrim/ultima-exatatvguarafiema-aponta-flavio-com-65-dos-votos-validos/,63581458000100,BR,BR,1.0,PR,,,,DILMA ROUSSEFF,60,MARINA SILVA,23,AECIO NEVES,10,PASTOR EVERALDO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-00003/2012,https://www.jusbrasil.com.br/busca?q=SUPRESS%C3%83O+DA+GRATIFICA%C3%87%C3%83O+DE+FUN%C3%87%C3%83O+RECEBIDA+POR+MAIS+DE+DEZ+ANOS,14853122000135,GO,96415,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-00032/2012,https://www.jusbrasil.com.br/busca?q=Dificuldade+de+acesso,14853122000135,GO,94730,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-00038/2012,https://www.jusbrasil.com.br/topicos/166653115/horas-in-itineretrabalho-em-zona-ruraldificuldade-de-acesso-e-inexistencia-de-transporte,14853122000135,GO,95559,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-00316/2012,https://www.jusbrasil.com.br/topicos/849473/media-das-horas-extras,14853122000135,GO,92932,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-00391/2012,https://www.satelitenoticias.com.br/2012/09/eleicoes-2012-everaldo-amplia-vantagem.html,14853122000135,GO,93327,1.0,P,1.0,,,EVERALDO DETRAN,"44,81",PROF. SONIA CHAVES,"34,9",DR. CARLOS,"1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-00391/2012,https://www.satelitenoticias.com.br/2012/09/eleicoes-2012-everaldo-amplia-vantagem.html,14853122000135,GO,93327,1.0,P,0.0,,,EVERALDO DETRAN,"27,35",PROF. SONIA CHAVES,"15,09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-00885/2016,http://www.jornaldiariodonorte.com.br/noticias/valdeto-a-frente-com-43-31-30091438,14853122000135,GO,94897,1.0,P,1.0,,,VALDETO FERREIRA,"43,31",GRACILENE BATISTA,"27,56",JOSE AURELIO,"14,44",XISTO DAMAS,"1,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00008/2012,https://bequimaoemfoco.blogspot.com/2012/03/antonio-diniz-lidera-pesquisa-em.html,63581458000100,MA,7374,1.0,P,1.0,,,ANTONIO DINIZ,38,ZE MARTINS,31,CESAR CANTANHEDE,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00008/2012,https://bequimaoemfoco.blogspot.com/2012/03/antonio-diniz-lidera-pesquisa-em.html,63581458000100,MA,7374,1.0,P,0.0,,,ANTONIO DINIZ,33,ZE MARTINS,22,CESAR CANTANHEDE,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00010/2014,https://luiscardoso.com.br/politica/2014/05/dilma-rousseff-lidera-corrida-eleitoral-no-maranhao-diz-pesquisa/,63581458000100,MA,MA,1.0,PR,1.0,,,DILMA ROUSSEFF,66,EDUARDO CAMPOS,10,AECIO NEVES,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00010/2014,https://www.blogdojorgearagao.com.br/2014/page/160/,63581458000100,BR,BR,1.0,G,,,,FLAVIO DINO,56,LOBAO FILHO,23,ANTONIO PEDROSA,1,SAULO ARCANGELLI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00010/2014,https://www.blogdojorgearagao.com.br/2014/page/160/,63581458000100,MA,MA,1.0,G,,,,FLAVIO DINO,56,LOBAO FILHO,23,ANTONIO PEDROSA,1,SAULO ARCANGELLI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00010/2014,https://www.blogdojorgearagao.com.br/2014/page/160/,63581458000100,BR,BR,1.0,S,,,,JOAO CASTELO,39,ROBERTO ROCHA,27,HAROLDO SABOIA,10,ARNALDO MELO,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00010/2014,https://www.blogdojorgearagao.com.br/2014/page/160/,63581458000100,BR,BR,1.0,S,,,,JOAO CASTELO,36,ROBERTO ROCHA,24,GASTAO VIEIRA,14,HAROLDO SABOIA,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00010/2014,https://www.blogdojorgearagao.com.br/2014/page/160/,63581458000100,MA,MA,1.0,S,,,,JOAO CASTELO,36,ROBERTO ROCHA,24,GASTAO VIEIRA,14,HAROLDO SABOIA,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00010/2014,https://www.blogdojorgearagao.com.br/2014/page/160/,63581458000100,MA,MA,1.0,S,,,,JOAO CASTELO,39,ROBERTO ROCHA,27,HAROLDO SABOIA,10,ARNALDO MELO,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00022/2014,https://blogdoelanderson.blogspot.com/2014/,63581458000100,MA,MA,1.0,PR,,,,DILMA ROUSSEFF,57,AECIO NEVES,16,EDUARDO CAMPOS,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00022/2014,http://www.irmaoinaldo.com.br/2014_07_18_archive.html,63581458000100,BR,BR,1.0,G,,,,FLAVIO DINO,54,LOBAO FILHO,25,ZE LUIS LAGO,2,ANTONIO PEDROSA,1,JOSIVALDO CORREA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-00022/2014,https://bequimaoagora.wordpress.com/2014/07/,63581458000100,MA,MA,1.0,G,,,,FLAVIO DINO,54,LOBAO FILHO,25,ZE LUIS LAGO,2,ARCANGELI,1,JOBERVAL,1,PEDROSA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
