tse_id,url,,estado,sg_ue,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
PI-07947/2016,https://www.gp1.com.br/noticias/luiz-meneses-49-e-jove-oliveira-3320-aponta-datamax-402071.html,11186543000161,PI,11673,1,P,1.0,,,luiz menezes,0.49,jove oliveira,0.332,paulo limeira,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-09380/2016,https://www.gp1.com.br/noticias/gustavo-medeiros-45-dr-paulo-henrique-36-aponta-datamax-402061.html,11186543000161,PI,12211,1,P,1.0,,,gustavo medeiros,0.45,dr.paulo henrique,0.36,bruno jacare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00011/2012,http://livrozilla.com/doc/1531045/procuradoria-geral-de-ju sti%C3%A7a---minist%C3%A9rio-p%C3%BAblico,7871966000143,PR,79073,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00014/2012,https://www.researchgate.net/publication/282840463_Maternal_corticosterone_exposure_in_the_mouse_causes_sex_specific_alterations_in_placental_OGT_and_O-linked_glycosylation,481961000165,PR,75639,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00014/2012,https://issuu.com/reniprefeito/docs/jornal_tribuna_foz_40__01-08-20122,481961000165,PR,75639,1,P,1.0,,,reni pereira,0.557,chico brasileiro,0.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00014/2012,https://issuu.com/reniprefeito/docs/jornal_tribuna_foz_40__01-08-20122,481961000165,PR,75639,1,P,0.0,,,reni pereira,0.22,chico brasileiro,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00014/2012,https://kakasp.wordpress.com/2012/07/21/numeros-x-metodologia-no-que-devemos-acreditar/,481961000165,PR,75639,1,P,1.0,,,reni pereira,0.535,chico brasileiro,0.132,dr. Aiex,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00014/2012,https://olhoabertopr.blogspot.com/2012/09/foz-do-iguacuempate-tecnico-reni-tem-44.html,481961000165,PR,75639,1,P,1.0,,,reni pereira,0.555,chico brasileiro,0.225,dr. Aiex,0.015,elvis gimenes,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00022/2014,https://docplayer.com.br/12876162-Quatro-barras-ja-beneficia-17-bairros-com-obras-de-pavimentacao.html,481961000165,PR,PR,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00022/2014,https://issuu.com/orangotoe/docs/833-6c014025-e1c5-488b-abee-ed70a6d0d7ee/3,481961000165,PR,PR,1,G,1.0,,,beto richa,0.443,roberto requiao,0.254,gleisi hoffmann,0.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
