tse_id,url,,estado,sg_ue,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
MS-00092/2016,https://brasilms.com/marquinhos-mantem-lideranca-e-rose-encosta-em-bernal-aponta-datamax/,3683644000110,MS,90514,1.0,P,1.0,,,MARQUINHOS TRAD,"28,11",ROSE MODESTO ,"13,18",ALCIDES BERNAL,"14,3",CORONEL DAVID,"3,23",PEDROSSIAN FILHO,"1,99",MARCELO BLUMA,"1,24",MARCOS ALEX,"1,24",ATHAYDE NERY,"0,87",ROSANA SANTOS ,"0,75",AROLDO FIGUEIRO ,"0,62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-00106/2012,https://www.midiamax.com.br/geral/2012/pesquisa-espontanea-tambem-indica-lideranca-de-murilo-em-dourados,3683644000110,MS,90735,1.0,P,0.0,,,MURILO ZAUITH,"36,3",KELIANA FERNANDES,"20,2",DOUTOR DELANE BORGES,"1,3",ZE ROBERTO,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-00118/2012,https://noticias.uol.com.br/fernandorodrigues/pesquisas/2012/1turno/prefeito/campo-grande.jhtm,3683644000110,MS,90514,1.0,P,1.0,,,ALCIDES BERNAL,"32,1",EDSON GIROTO,"33,8",REINALDO AZAMBUJA,6,VANDER LOUBERT,"9,4",MARCELO BLUMA ,"1,5",SUEL FERRANTI ,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-00141/2012,https://perolanews.com.br/corumba/paulo-duarte-lidera-com-ampla-vantagem-em-corumba,3683644000110,MS,90638,1.0,P,1.0,,,PAULO DUARTE ,"53,3",SOLANGE ,"23,8",ELANO ,"3,6",PROF. MONJE,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-00177/2012,https://noticias.uol.com.br/fernandorodrigues/pesquisas/2012/1turno/prefeito/campo-grande.jhtm,3683644000110,MS,90514,1.0,P,1.0,,,ALCIDES BERNAL ,"33,8",EDSON GIROTO,"27,9",REINALDO AZAMBUJA,"10,4",VANDER LOUBERT,"10,6",MARCELO BLUMA ,"0,6",SUEL FERRANTI ,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-00194/2012,https://www.midiamax.com.br/geral/2012/pesquisa-espontanea-tambem-aponta-reeleicao-da-prefeita,3683644000110,MS,91650,1.0,P,0.0,,,MARCIA MOURA ,45,ANGELO GUERREIRO ,"34,5",TIDICO,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-00213/2012,https://www.midiamax.com.br/geral/2012/candidato-do-pmn-e-o-mais-rejeitado-em-selviria,3683644000110,MS,98116,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-00214/2012,https://www.midiamax.com.br/politica/2012/bernal-mantem-lideranca-na-disputa-pela-prefeitura-de-campo-grande-aponta-datamax,3683644000110,MS,90514,1.0,P,1.0,,,BERNAL,"33,1",GIROTO,"30,3",REINALDO AZMBUJA ,10,VANDER LOUBET,"7,8",MARCELO BLUMA,"0,9",SIDNEY MELO,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-00214/2012,https://www.midiamax.com.br/politica/2012/pesquisa-espontanea-tambem-aponta-vitoria-de-bernal,3683644000110,MS,90514,1.0,P,0.0,,,BERNAL,"31,1",GIROTO,"27,9",REINALDO AZAMBUJA ,"8,7",VANDER LOUBET,7,MARCELO BLUMA,"0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-00239/2012,https://www.midiamax.com.br/geral/2012/doutor-marcelo-lidera-disputa-pela-prefeitura-de-jardim,3683644000110,MS,90999,1.0,P,1.0,,,DR. MARCELO,"46,4",CARLINHOS GRUBERT,"41,9",ODILON DO PRADO,"4,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-00239/2012,https://www.midiamax.com.br/geral/2012/doutor-marcelo-lidera-disputa-pela-prefeitura-de-jardim,3683644000110,MS,90999,1.0,P,0.0,,,DR. MARCELO,40,CARLINHOS GRUBERT,"36,4",ODILON DO PRADO,"3,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-00285/2012,https://noticias.uol.com.br/fernandorodrigues/pesquisas/2012/1turno/prefeito/campo-grande.jhtm,3683644000110,MS,90514,1.0,P,1.0,,,ALCINES BERNAL,31,EDSON GIROTO,"25,4",REINALDO AZAMBUJA,5,VANDER LOUBET,"8,3",MARCELO BLUMA,"1,3",SUEL FERRANTINI,"0,2",SIDNEY MELO,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-00294/2012,http://g1.globo.com/mato-grosso-do-sul/eleicoes/2012/noticia/2012/10/em-corumba-ms-paulo-duarte-tem-53-e-solange-26-diz-ibope.html,3683644000110,MS,91413,1.0,P,1.0,,,PAULO DUARTE ,53,SOLANGE ,26,ELANO,9,PROF. MONJE,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-00376/2012,https://noticias.uol.com.br/fernandorodrigues/pesquisas/2012/2turno/prefeito/campo-grande.jhtm,3683644000110,MS,90514,1.0,P,1.0,,,ALCIDES BERNAL,"60,7",EDSON GIROTO,"27,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS-00879/2018,http://www.cassilandianoticias.com.br/ultimas-noticias/governador-de-ms-confira-mais-um-insttuto-de-pesquisa,3683644000110,MS,MS,1.0,G,1.0,,,REINALDO AZAMBUJA,"41,1",JUIZ ODILON,"38,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
