tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
PE-06243/2016,http://www.blogdomagno.com.br/ver_post.php?id=165505&pagina=2,PE,CABO DE SANTO AGOSTINHO,1,P,0.0,,,LULA CABRAL,46,BETINHO GOMES,24,GLEYDSON GOES,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-06243/2016,http://www.blogdomagno.com.br/ver_post.php?id=165505&pagina=2,PE,CABO DE SANTO AGOSTINHO,1,P,1.0,,,LULA CABRAL,51,BETINHO GOMES,29,GLEYDSON GOES,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-06364/2016,https://angelim-com.blogspot.com/2016/09/pesquisa-datafolha-para-prefeito-de.html,PE,RECIFE,1,P,,,,GERALDO JULIO ,36,JOAO PAULO ,34,DANIEL COELHO,11,PRICILA KRAUSE,2,EDILSON SILVA ,2,CARLOS AUGUSTO COSTA ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-06881/2016,https://blogdomarioflavio.com.br/pesquisa-ipespe-tony-39-lessa-20-raquel-20-jorge-7/,PE,CARUARU,1,P,,,,TONY GEL,39,DELEGADO LESSA,20,RAQUEL LYRA,20,JORGE GOMES,7,RIVALDO SOARES,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-07336/2018,http://www.toritamainforma.com/2018/08/pesquisa-ipespe-mostra-paulo-camara.html,PE,PERNAMBUCO,1,G,0.0,,,PAULO CMARA,13,ARMANDO MONTEIRO,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-07336/2018,http://www.toritamainforma.com/2018/08/pesquisa-ipespe-mostra-paulo-camara.html,PE,PERNAMBUCO,1,G,1.0,,,PAULO CMARA,30,ARMANDO MONTEIRO,24,MAURICIO RANDS,4,DANIELLE PORTELA,3,JULIO LOSSIO,3,SIMONE FONTANA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-07336/2018,https://noticiasnetlimoeiro.blogspot.com/2018/08/jarbas-e-mendonca-lideram-corrida-pelo.html,PE,PERNAMBUCO,1,S,,,,JARBAS VASCONCELOS,23,MENDONCA FILHO,17,HUMBERTO COSTA,15,SILVIO COSTA,6,BRUNO ARAUJO ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-08730/2016,http://www.marluscosta.com.br/em-jaboatao-anderson-ferreira-e-neco-devem-disputar-o-segundo-turno/,PE,JABOATÃO DOS GUARARAPES,1,P,1.0,,,ANDERSON FERREIRA,24,MANOEL NECO,21,CLEITON COLLINS,12,HERALDO SELVA,8,EDMAR DE OLIVEIRA,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-08730/2016,http://www.marluscosta.com.br/em-jaboatao-anderson-ferreira-e-neco-devem-disputar-o-segundo-turno/,PE,JABOATÃO DOS GUARARAPES,1,P,0.0,,,ANDERSON FERREIRA,17,MANOEL NECO,12,CLEITON COLLINS,7,HERALDO SELVA,7,EDMAR DE OLIVEIRA,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00001/2014,https://www.mjp.go.cr/Documento/DescargaDIR/7419,PI,PIAUÍ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00002/2014,https://issuu.com/erredoiscomunicacao/docs/fevereiro_de_2014,PI,PIAUÍ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00005/2014,https://nilsonsa.blogspot.com/2014/01/,PI,PIAUÍ,1,S,1.0,,,WILSON MARTINS ,"29,14",JOAO VICENTE CLAUDINO,"22,14",MAINHA,"11,86",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00005/2014,https://tioborges.blogspot.com/2014/01/,PI,PIAUÍ,1,G,0.0,,,WELLINGTON DIAS,21,SILVIO MENDES ,"9,14",MARCELO CASTRO,"3,14",ELMANO FERRER,"1,57",FIRMINO FILHO,"1,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PI-00005/2014,https://vozdeilhagrande.blogspot.com/2014/01/pesquisa-so-na-capital-wellington-dias.html,PI,PIAUÍ,1,G,1.0,,,WELLINGTON DIAS,"48,43",MARCELO CASTRO ,13,DANIEL SOLON,"3,57",LUIS COELHO,"1,29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
