tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
PA-00048/2014,https://doxacomunicacao.blogspot.com/2014/10/,PA,PARÁ,1,G,1.0,,,SIMAO JATENE ,49,HELDER BARBALHO,42.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00048/2014,https://doxacomunicacao.blogspot.com/2014/10/,PA,PARÁ,1,G,0.0,,, SIMAO JATENE ,47.3,HELDER BARBALHO,41.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-05244/2016,https://www.cadaminuto.com.br/noticia/293305/2016/10/01/jo-clemente-tem-41-e-lidera-em-sao-miguel-dos-campos,AL,SÃO MIGUEL DOS CAMPOS,1,P,,,,JO CLEMENTE ,41,PEDOCA JATOBA,28,SALUSTIANO,2,CAFÉ,2,JAIRO RAMOS,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP-05300/2016,https://santanadoamapa.blogspot.com/2016/09/,AP,SANTANA,1,P,,,,ROBSON ROCHA,26,MARCIVANIA ,18,OFIRNEY SADALA,18,PROFESSORA ZILMA,15,ISABEL NOGUEIRA,9,ELIAS REAL,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00774/2016,http://www.brumadourgente.com.br/noticias/14723-2016/09/25/eleicoes-2016-eduardo-vasconcelos-lidera-disputa-em-brumado,BA,BRUMADO,1,P,1.0,,,EDUARDO VASCONCELOS ,"66,51",DR. ALESSANDRO,"11,48",MANELAO,"8,43",GENIVALDO AZEVEDO,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00774/2016,http://www.brumadourgente.com.br/noticias/14723-2016/09/25/eleicoes-2016-eduardo-vasconcelos-lidera-disputa-em-brumado,BA,BRUMADO,1,P,0.0,,,EDUARDO VASCONCELOS ,"65,11",DR. ALESSANDRO,"11,48",MANELAO,"7,73",GENIVALDO AZEVEDO,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-01700/2016,https://avozdobaixosul.blogspot.com/2016/09/cairu-fernando-amplia-vantagem-sobre.html,BA,CAIRU,1,P,1.0,,,FERNANDO BRITO ,"53,26",CINTIA ROSEMBERG,"41,89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-02341/2016,"https://www.bnews.com.br/noticias/eleicoes/eleicoes-2016/154522,cairu-apesar-de-cenario-indefinido-fernando-esta-a-frente-de-cintia-rosemberg.html",BA,CAIRU,1,P,1.0,,,FERNANDO BRITO ,"49,75",CINTIA ROSEMBERG,"41,87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-02341/2016,"https://www.bnews.com.br/noticias/eleicoes/eleicoes-2016/154522,cairu-apesar-de-cenario-indefinido-fernando-esta-a-frente-de-cintia-rosemberg.html",BA,CAIRU,1,P,0.0,,,FERNANDO BRITO ,"45,32",CINTIA ROSEMBERG,"41,38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-02555/2016,https://www.portaldenoticias.net/paulinho-lidera-pesquisa-eleitoral-em-cansancao-veja-resultado/,BA,CANSANÇÃO,1,P,,,,PAULINHO,"50,79",ARI DE ALMEIRINDO ,"29,84",JUNIOR DA DARC,"6,19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-02623/2016,https://joilsoncosta.blogspot.com/2016/09/pesquisa-aponta-quase-30-pontos-de.html,BA,CANSANÇÃO,1,P,1.0,,,PAULINHO,"58,95",ARI DE ALMEIRINDO ,"29,56",JUNIOR DA DARC,"3,98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-05693/2016,https://valcabral.blogspot.com/2016/10/fernando-e-augusto-sao-favoritos-em.html,BA,ITABUNA,1,P,1.0,,,FERNANDO GOMES ,"26,48",AUGUSTO CASTRO,"20,39",CAPITAO AZEVEDO,"12,66",MANGABEIRA,"11,51",DAVIDSON MAGALHAES ,"5,26",GERALDO SIMOES,"4,77",ZE ROBERTO ,"1,15",SANTANA,"0,99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-01309/2016,https://midiabahia.com.br/compet-barreto-lidera-segunda-pesquisa-eleitoral-em-jiquirica/,BA,JIQUIRIÇÁ,1,P,1.0,,,BARRETO,"52,66",CASCALHO,"32,61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-06418/2016,https://mairinews.blogspot.com/2016/10/pesquisa-eleitoral-confirma-raimundo.html,BA,MAIRI,1,P,,,,RAIMUNDO DENTISTA ,"51,64",JOBOPE,"43,93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-09574/2016,http://www.montesanto.net/?area=noticias&id=1881,BA,MONTE SANTO,1,P,1.0,,,JORGE ANDRADE ,"38,51",EVERALDO JOEL,"34,55",SILVANIA MATOS,"17,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-03657/2016,https://midiabahia.com.br/digao-lidera-pesquisa-de-intensao-de-voto-em-mutuipe/,BA,MUTUÍPE,1,P,1.0,,,DIGAO ,"47,09",CARLINHOS,"38,23",RAUL,"0,51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-03417/2016,https://joilsoncosta.blogspot.com/2016/09/quijingue-liberada-divulgacao-pesquisa.html,BA,QUINJINGUE,1,P,,,,NININHO GOIS,"60,86",CANCAO,"37,53",PROFESSOR JAFERSON,"1,61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-01328/2016,https://www.bahianoticias.com.br/municipios/noticia/6946-riachao-do-jacuipe-pesquisa-aponta-lideranca-de-carlinhos-matos-com-3697.html,BA,RIACHÃO DO JACUÍPE,1,P,1.0,,,CARLINHOS MATOS ,"36,97",LAURINHO,"27,25",ZE FILHO,"25,36",MARCOS DE ZICO ,"0,47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-01007/2016,http://www.bahianapolitica.com.br/noticias/50814/santaluz-quiteria-de-junior-tem-53-joelcio-35-e-robson-sena-38-diz-pesquisa.html,BA,SANTALUZ,1,P,,,,QUITERIA DE JUNIOR ,"53,33",JOELCIO MARTINS ,"35,11",ROBSON SENA,"3,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-04710/2016,http://www.blogdakellyitz.com.br/2016/09/ildon-marques-e-rosangela-polarizam.html,MA,IMPERATRIZ,1,P,1.0,,,ILDON MARQUES,"28,4",ROSANGELA CURADO,"24,2",ASSIS RAMOS,"18,10",RIBINHA CUNHA,"11,5",EDMILSON SANCHES,"1,5",SANDRO RICARDO ,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-04710/2016,http://www.blogdakellyitz.com.br/2016/09/ildon-marques-e-rosangela-polarizam.html,MA,IMPERATRIZ,1,P,0.0,,,ILDON MARQUES,"24,6",ROSANGELA CURADO,"20,20",ASSIS RAMOS,"14,70",RIBINHA CUNHA,"8,5",EDMILSON SANCHES,"0,5",SANDRO RICARDO ,"0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-06366/2016,https://gilbertoleda.com.br/2016/09/18/nico-sera-reeleito-em-sao-domingos-do-azeitao/,MA,SÃO DOMINGOS DO AZEITÃO,1,P,1.0,,,NICO,"63,33",LEDA CARDOSO,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-04140/2016,https://www.blogdojorgearagao.com.br/tag/italo-cardoso/,MA,SÃO RAIMUNDO DAS MANGABEIRAS,1,P,1.0,,,ITALO CARDOSO,"51,3",RODRIGO COELHO,"39,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
