feito_por,obs,tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
MARICELIA,,RJ-00063/2014,https://oglobo.globo.com/brasil/datafolha-indica-que-adversario-de-pezao-no-segundo-turno-esta-indefinido-ibope-preve-garotinho-14144886,RJ,RIO DE JANEIRO,1,G,1.0,,1.0,luis fernando pezao,0.36,anthony garotinho,0.25,marcelo crivella,0.22,lindbergh farias,0.1,tarcisio molla,0.06,dayse oliveira,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-00063/2014,https://oglobo.globo.com/brasil/datafolha-indica-que-adversario-de-pezao-no-segundo-turno-esta-indefinido-ibope-preve-garotinho-14144886,RJ,RIO DE JANEIRO,1,G,1.0,,1.0,luis fernando pezao,0.37,anthony garotinho,0.27,marcelo crivella,0.2,lindbergh farias,0.09,tarcisio molla,0.05,dayse oliveira,0.01,ney nunes,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-00063/2014,https://oglobo.globo.com/brasil/datafolha-rj-pezao-tem-36-garotinho-25-crivella-22-14143221,RJ,RIO DE JANEIRO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-00063/2014,https://www.brasil247.com/regionais/sudeste/datafolha-rj-sinaliza-2-turno-entre-pezao-e-garotinho,RJ,RIO DE JANEIRO,1,G,1.0,,,luis fernando pezao,0.3,anthono garotinho,0.21,marcelo crivella,0.17,lindbergh,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-00072/2012,https://abiliobernardino.blogspot.com/2012/09/,RJ,CABO FRIO,1,P,1.0,,,alair correa,0.593,janio mendes,0.158,claudio leitao,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-00072/2012,https://abiliobernardino.blogspot.com/2012/09/,RJ,CABO FRIO,1,P,0.0,,,alair correa,0.478,janio mendes,0.144,claudio leitao,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-00083/2012,https://180graus.com/pesquisa-eleitoral/datafolha-rio-de-janeiro-paes-tem-54-e-freixo-18-559512,RJ,RIO DE JANEIRO,1,P,1.0,,,eduardo paes,0.54,marcelo freixo,0.18,rodrigo maia,0.04,otavio leite,0.03,aspasia,0.02,cyro garcia,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-00083/2012,https://blogaodoslagos.blogspot.com/2012/09/jornal-o-globo-rj-embaixador-americano.html,RJ,RIO DE JANEIRO,1,P,1.0,,,eduardo paes,0.63,marcelo freixo,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-00083/2012,https://politica.estadao.com.br/blogs/radar-eleitoral/o-globo-datafolha-aponta-vitoria-de-paes-no-1o-turno-com-54/,RJ,RIO DE JANEIRO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-00084/2012,http://www.cartaovermelhotv.com.br/2012/09/,RJ,ARARUAMA,1,P,1.0,,,miguel jeovani,0.442,andre monica,0.223,joao ribeiro,0.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-00084/2012,https://ipbuzios.blogspot.com/2012/10/analisando-as-pesquisas-o-gpp-errou.html,RJ,ARARUAMA,1,P,1.0,,,andre monica,0.4965,miguel jeovani,0.4339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-00100/2012,https://diariodorio.com/pesquisa-para-vereador-do-rio-de-janeiro/,RJ,RIO DE JANEIRO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-00121/2012,https://ipbuzios.blogspot.com/2012/09/,RJ,CABO FRIO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-00123/2012,http://www.radaroficial.com.br/d/4251331,RJ,SÃO JOÃO DE MERITI,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-00126/2012,https://blogclaudioandrade.blogspot.com/2012/09/pesquisa-datafolha-aponta-eduardo-paes.html,RJ,RIO DE JANEIRO,1,P,1.0,,1.0,eduardo paes,0.65,marcelo freixo,0.22,rodrigo maia,0.05,otavo leite,0.04,aspasia,0.02,cyro garcia,0.02,fernando siqueira,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-00126/2012,https://issuu.com/metro_brazil/docs/20120928_br_metro-rio,RJ,RIO DE JANEIRO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-00126/2012,https://teresopolis24horas.blogspot.com/2012_09_23_archive.html,RJ,RIO DE JANEIRO,1,P,1.0,,,eduardo paes,0.55,marcelo freixo,0.19,rodrigo maia,0.04,otavio leite,0.03,aspasia camargo,0.02,cyro garcia ,0.01,fernando siqueira,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-00126/2012,https://valor.globo.com/noticia/2012/09/27/paes-mantem-ampla-vantagem-sobre-freixo-no-rio.ghtml,RJ,RIO DE JANEIRO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-00154/2012,https://issuu.com/jornalofoco/docs/ofoco154-versao_digital,RJ,ITAGUAÍ,1,P,1.0,,1.0,alexandre vale ,0.498,luciano mota,0.298,amaris brito,0.124,marcia chereghine,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-00194/2012,https://ipbuzios.blogspot.com/2012/10/pesquisa-eleitoral-registrada-de-iguaba.html,RJ,IGUABA GRANDE,1,P,1.0,,,grasiella magalhaes,0.43,hugo canellas,0.39,daico,0.07,pedro felippe,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-00194/2012,https://ipbuzios.blogspot.com/2012/10/pesquisa-eleitoral-registrada-de-iguaba.html,RJ,IGUABA GRANDE,1,P,1.0,,1.0,grasiella magalhaes,0.48,hugo canellas,0.43,daico,0.08,pedro felippe,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-00206/2012,https://ipbuzios.blogspot.com/2012/10/analisando-as-pesquisas-promidia.html,RJ,CABO FRIO,1,P,1.0,,,alair correa,0.57,janio mendes,"32,*%",claudio leitao,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-00208/2012,http://g1.globo.com/rio-de-janeiro/eleicoes/2012/noticia/2012/10/no-rio-paes-tem-57-e-freixo-20-aponta-pesquisa-datafolha.html,RJ,RIO DE JANEIRO,1,P,1.0,,,eduardo paes,0.57,marcelo freixo,0.2,otavio leite,0.03,rodrigo maia,0.02,aspasia,0.02,cyro garcia ,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-00208/2012,http://g1.globo.com/rio-de-janeiro/eleicoes/2012/noticia/2012/10/no-rio-paes-tem-57-e-freixo-20-aponta-pesquisa-datafolha.html,RJ,RIO DE JANEIRO,cand28nd,P,1.0,,1.0,eduardo paes,0.66,marcelo freixo,0.24,otavio leite,0.03,rodrigo maia,0.03,aspasia,0.02,cyro garcia ,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-00208/2012,https://oglobo.globo.com/brasil/paes-chega-57-contra-20-de-freixo-revela-datafolha-6280146,RJ,RIO DE JANEIRO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-00209/2012,https://www.embrapa.br/en/codigo-florestal/viveiros-de-especies-florestais,RJ,NITERÓI,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-00230/2012,"http://atarde.uol.com.br/politica/noticias/1458459-paes-tem-66-dos-votos-validos-no-rj,-diz-datafolha",RJ,RIO DE JANEIRO,1,P,1.0,,1.0,eduardo paes,0.66,marcelo freixo,0.25,otavio leite,0.03,rodrigo maia,0.03,aspasia,0.02,cyro garcia ,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-00230/2012,https://oglobo.globo.com/brasil/datafolha-diz-que-paes-tem-66-dos-votos-validos-6309508,RJ,RIO DE JANEIRO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-00235/2012,https://marcosgandra.blogspot.com/2012/10/em-cardoso-gege-na-lideranca.html,RJ,CARDOSO MOREIRA,1,P,1.0,,,gege cantarino,0.534,gilson siqueira,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-00244/2012,https://blogdolotexv.blogspot.com/2012/10/pesquisa-aponta-vitoria-de-dauttmam-em.html,RJ,BELFORD ROXO,1,P,1.0,,,dennis dauttmam,0.583,waguinho,0.265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-00834/2016,http://arte.folha.uol.com.br/graficos/oU2Un/,RJ,RIO DE JANEIRO,1,P,1.0,,,marcelo crivella,0.28,marcelo freixo,0.11,flavio bolsonaro,0.09,jandira feghali,0.07,pedro paulo,0.05,indio da costa,0.04,carlos osorio,0.03,alessandro molon,0.02,cyro garcia,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
