outro_id,tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
,AM-08793/2018,https://amazonasatual.com.br/seis-institutos-registram-pesquisas-no-amazonas-com-divulgacao-entre-os-dias-4-e-7/,AM,AMAZONAS,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BA-03354/2016,https://www.blogdoanderson.com/2016/10/21/eleicoes-2016-duas-novas-pesquisas-apuram-numeros-deste-segundo-turno-em-vitoria-da-conquista/,BA,VITÓRIA DA CONQUISTA,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BA-05594/2016,https://informegeralitabuna.blogspot.com/2016/09/nova-pesquisa-ibope-para-prefeito-de.html,BA,SALVADOR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-00040/2014,BR-00176/2014,https://www.brasil247.com/geral/marconi-lidera-corrida-para-o-governo-de-goias,BR,GOIÁS,1.0,G,1.0,,,Marconi,41.3,Iris,33.2,Vanderlan Cardoso,11.3,Antonio Gomide ,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-00040/2014,BR-00176/2014,https://www.brasil247.com/geral/marconi-lidera-corrida-para-o-governo-de-goias,BR,GOIÁS,1.0,G,0.0,,,Marconi,17.5,Iris,7.8,Vanderlan Cardoso,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-00040/2014,BR-00176/2014,https://www.brasil247.com/geral/marconi-lidera-corrida-para-o-governo-de-goias,BR,GOIÁS,1.0,S,,,,Caiado,34.3,Mariana Sant'anna,26.5,Vilmar Rocha ,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-00053/2014,BR-00274/2014,https://cleubercarlos.blogspot.com/2014/08/pesquisa-para-o-senado-caiado-cai.html,BR,GOIÁS,1.0,S,1.0,,,Caiado,29.9,Mariana Sant'anna,16.5,Vilmar Rocha ,14.3,Jesuino ,1.4,Neto ,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-00274/2014,https://cleubercarlos.blogspot.com/2014/08/pesquisa-registra-virada-de-aecio-sobre.html,BR,BRASIL,1.0,PR,1.0,,,Aecio ,31,Dilma ,29.5,Eduardo Campos,6,Everaldo ,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-00288/2014,https://chiquinhodornas.blogspot.com/2014/08/verita-aecio-supera-dilma-no-distrito.html,BR,BRASIL,1.0,PR,1.0,,,Aecio ,29.9,Dilma ,23.9,Eduardo Campos,8.4,Everaldo ,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN 02146/2018,BR-00385/2018,http://blogdachris.com/post/fatima-bezerra-lidera-segundo-turno-mas-carlos-eduardo-mostra-crescimento/1753/,BR,RIO GRANDE DO NORTE,1.0,G,0.0,,1.0,Fátima Bezerra,53.6,Carlos Eduardo,46.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
