tse_id,url,estado,cidade,util,position,estimulada,vv,suspensa,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
AC-00026/2014,https://oaltoacre.com/bocalom-mantem-lideranca-para-o-governo-e-glasdson-para-o-senado-no-acre/,AC,ACRE,1.0,S,,,,GLADISON CAMELLI,31.8,PERPETUA ALMEIDA,26.3,ROBERTO DUARTE JUNIOR,19.5,PROFESSOR FORTUNATO,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-00026/2014,https://oaltoacre.com/bocalom-mantem-lideranca-para-o-governo-e-glasdson-para-o-senado-no-acre/,AC,ACRE,1.0,G,1.0,,,TIAO BOCALOM,34.1,TIAO VIANA,27.3,MARCIO BITAR,21.5,ANTONIO ROCHA,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-00050/2014,https://pt.scribd.com/document/314633735/INFORME-FINAL-DE-AUDITORIA-INTERNA-2015-copia-docx,AC,ACRE,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-00838/2018,https://www.joaorego.net.br/2018/09/gladson-cameli-mantem-vantagem-em-todas.html,AC,ACRE,1.0,S,,,,PETECAO,43.0,JORGE VIANA,40.0,MARCIO BITTAR,33.0,NEY AMORIM,27.0,MINORU KINPARA,14.0,PAULO PEDRAZZA,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-00838/2018,https://www.joaorego.net.br/2018/09/gladson-cameli-mantem-vantagem-em-todas.html,AC,ACRE,1.0,G,0.0,,,GLADSON CAMELLI,31.0,MARCUS ALEXANDRE,25.0,CORONEL ULYSSES,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-00838/2018,https://www.joaorego.net.br/2018/09/gladson-cameli-mantem-vantagem-em-todas.html,AC,ACRE,1.0,G,1.0,,,GLADSON CAMELLI,43.0,MARCUS ALEXANDRE,35.0,CORONEL ULYSSES,9.0,JANANAINA FURTADO,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-04003/2018,https://acjornal.com/gladson-cameli-seria-mais-votado-hoje-e-derrotaria-marcus-alexandre-com-50-dos-votos-no-2o-turno-diz-pesquisa/,AC,ACRE,1.0,S,1.0,,,JORGE VIANA,39.0,SERGIO PETECAO,34.0,MARCIO BITTAR,30.0,NEY AMORIM,27.0,MINORU KINPARA,16.0,PAULO PEDRAZZA,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-04003/2018,https://acjornal.com/gladson-cameli-seria-mais-votado-hoje-e-derrotaria-marcus-alexandre-com-50-dos-votos-no-2o-turno-diz-pesquisa/,AC,ACRE,1.0,G,1.0,,,GLADSON CAMELLI,40.0,MARCUS ALEXANDRE,36.0,ULISSES ARAUJO,10.0,JANANAINA FURTADO,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-07646/2018,https://noticias.r7.com/eleicoes-2018/gladson-cameli-sera-eleito-no-acre-aponta-realtime-big-data-02102018,AC,ACRE,1.0,G,,,,GLADSON CAMELLI,49.0,MARCUS ALEXANDRE,34.0,CORONEL ULYSSES,9.0,JANANAINA FURTADO,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-08514/2018,http://www.folharondoniense.com.br/cidades/acre-gladson-cameli-pp-lidera-pesquisa-para-governo-vejam-dados-de-deputado-federal-e-estadual/,AC,ACRE,1.0,DF,0.0,,,JESSICA SALES,11.8,BOCALON,11.2,JESUS,10.1,LEO BRITO,8.4,ANGELIM,6.9,RUDILEI ESTRELA,6.1,PERPETUA ALMEIDA,5.2,MARA ROCHA,4.0,DR. VANDA,2.5,CESSAR MESSIAS,2.5,SIBA MACHADO,2.0,ANTONIA LUCIA,1.7,ALLAN RICK,1.7,HENRIQUE AFONSO,1.7,FLAVIANO MELLO,1.4,MANOEL MARQUES,1.4,PEDRO DO DAYANE,1.4,N. LIMA,1.4,CARLOS GOMES,1.2,CRISTOVAO MOURA,1.2,FRANCISCO RIBEIRO,1.2,MARIVALDO MELLO,1.2,NIRLANDO,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-08514/2018,http://www.folharondoniense.com.br/cidades/acre-gladson-cameli-pp-lidera-pesquisa-para-governo-vejam-dados-de-deputado-federal-e-estadual/,AC,ACRE,1.0,DE,0.0,,,CLAUDIO EZEQUIEL,6.9,JENILSON LEITE,6.2,PADEIRO,5.0,PELE,5.0,HENRI NOGUEIRA,4.3,RAIMUNDINHO DA SAUDE,3.6,JOSA DA FARMACIA,3.3,WAGNER SALES,3.1,RAFAEL ALMEIDA,2.9,ANTONIO PEDRO,2.9,JAIRO CARVALHO,2.4,HEITOR JUNIOR,2.1,OLAVINHO,1.9,WENDY LIMA,1.9,DANIEL ZEN,1.7,BABA,1.7,ARLENILSON CUNHA,1.7,APARECIDA,1.4,MILLE,1.4,MANOEL MORAES,1.4,ROBERTO DUARTE JUNIOR,1.4,ANDRE DROGA VALLE,1.4,ANTONIA SALES,1.4,JOSE BESTENI,1.2,DR. JULIANA,1.2,BEREBA,1.2,MARIA DE JESUS,1.2,JANE PETECA,1.2,PROF. ALEDIAS SOARES,1.2,MIRIAM CARVALHO,1.2,ELIANE SINHAZIQUE,1.0,ROQUE PUBLICIDADE,1.0,NEZIO,1.0,ROSE COSTA,1.0,ACCYOLI,1.0,TAMPINHA BITTAR,1.0,FRAM ARAUJO,1.0,,,,,,,,,,,,
AC-08514/2018,http://www.folharondoniense.com.br/cidades/acre-gladson-cameli-pp-lidera-pesquisa-para-governo-vejam-dados-de-deputado-federal-e-estadual/,AC,ACRE,1.0,G,1.0,,,GLADSON CAMELLI,44.5,MARCUS ALEXANDRE,32.7,ULISSES ARAUJO,17.5,JANANAINA FURTADO,3.0,DAVID HALL,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-09955/2018,https://www.portaldojurua.com.br/prefeitura-de-tarauaca-ac-abre-concurso/,AC,ACRE,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-00663/2014,http://www.jaenoticia.com.br/noticia/11081/IPESPE-divulga-pesquisa-de-intencao-de-votos-para-Governo-Senado-e-Presidencia,AL,ALAGOAS,1.0,BR,,,,DILMA ROUSSEFF,48.0,MARINA SILVA,38.0,AECIO NEVES,6.0,PASTOR EVERALDO,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-00014/2014,http://www.jaenoticia.com.br/noticia/11081/IPESPE-divulga-pesquisa-de-intencao-de-votos-para-Governo-Senado-e-Presidencia,AL,ALAGOAS,1.0,S,,,,FERNANDO COLLOR,39.0,HELOISA HELENA,24.0,OMAR COELHO,3.0,ELIAS BARROS,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-00014/2014,http://www.jaenoticia.com.br/noticia/11081/IPESPE-divulga-pesquisa-de-intencao-de-votos-para-Governo-Senado-e-Presidencia,AL,ALAGOAS,1.0,G,,,,RENAN FILHO,36.0,BENEDITO DE LIRA,27.0,JULIO CEZAR,2.0,MARIO AGRA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-02178/2016,https://conteudo.imguol.com.br/blogs/52/files/2016/09/Maceio_prefeito_1turno2.pdf,AL,MACEIÓ,1.0,P,1.0,,,RUI PALMEIRA,32.9,CICERO ALMEIDA,31.8,JOAO HENRIQUE CALDAS,11.8,PAULAO,3.0,GUSTAVO PESSOA,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-05252/2016,http://gazetaweb.globo.com/portal/especial.php?c=17167,AL,ARAPIRACA,1.0,P,,,,RICARDO NEZINHO,36.2,TARCIZO FREIRE,25.6,ROGERIO TEOFILO,18.7,LINDOMAR FERREIRA,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL-07110/2016,http://www.arapiracanews.com/politica/432/2016/09/23/nezinho-continua-liderando--as-pesquisas-em-arapiraca,AL,ARAPIRACA,1.0,P,,,,RICARDO NEZINHO,36.0,TARCIZO FREIRE,25.9,ROGERIO TEOFILO,20.1,LINDOMAR FERREIRA,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-00001/2012,http://www.tradett.com/product_dir/2314/Bag-Luggage-Agents.html,AM,HUMAITÁ,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-00036/2012,https://www.pj.gob.pe/wps/wcm/connect/11d5c6004aa7db1fa349b72b2d0eba28/D_Audiencias_26_30_260312.pdf?MOD=AJPERES&CACHEID=11d5c6004aa7db1fa349b72b2d0eba28,AM,CANUTAMA,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-00577/2018,http://www.xodonews.com.br/confira-as-pesquisas-realtime-big-data-para-o-governo-dos-estados/,AM,AMAZONAS,1.0,G,1.0,1.0,,WILSON LIMA,67.0,AMAZONINO MENDES,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-02921/2018,https://radaramazonico.com.br/justica-eleitoral-barra-divulgacao-de-pesquisa-eleitoral-no-amazonas/,AM,AMAZONAS,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-03157/2018,https://amazonasatual.com.br/cinco-institutos-registram-pesquisas-para-divulgacao-entre-esta-quinta-e-domingo/,AM,AMAZONAS,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-07048/2016,https://institutophoenix.blogspot.com/2016/03/instituto-phoenix-executa-pesquisa-de.html,AM,HUMAITÁ,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-07898/2018,https://www.facebook.com/correiocontinental/,AM,AMAZONAS,1.0,G,,,,AMAZONINO MENDES,32.5,WILSON LIMA,21.3,OMAR AZIZ,12.9,REBECCA GARCIA,12.9,DAVID ALMEIDA,10.1,PRACIANO,3.1,AUDO ALBUQUERQUE,2.4,JUNIOR BRASIL,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-07906/2018,https://amazonasatual.com.br/pesquisa-real-time-big-data-mostra-novo-retrato-da-eleicao-no-amazonas/,AM,AMAZONAS,1.0,G,,,,AMAZONINO MENDES,31.0,DAVID ALMEIDA,20.0,WILSON LIMA,17.0,OMAR AZIZ,13.0,LUCIA ANTONY,1.0,BERG DA UGT,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-08536/2018,https://amazonasatual.com.br/amazonino-tem-30-e-david-almeida-e-wilson-lima-empatam-com-23-mostra-pesquisa/,AM,AMAZONAS,1.0,G,,,,AMAZONINO MENDES,30.0,DAVID ALMEIDA,23.0,WILSON LIMA,23.0,OMAR AZIZ,9.0,LUCIA ANTONY,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-08614/2018,https://bncamazonas.com.br/eleicoes2018/tre-suspende-action-discos/,AM,AMAZONAS,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
