obs,tse_id,url,estado,cidade,util,position,estimulada,vv,suspensa,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
,PI-00171/2014,https://portaldobikanca.blogspot.com/2014/09/data-az-wellington-confirma-lideranca-e.html,PI,PIAUÍ,1.0,G,0.0,,,WELLINGTON DIAS,40.57,ZE FILHO,23.79,MAO SANTA,3.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00171/2014,https://portaldobikanca.blogspot.com/2014/09/data-az-wellington-confirma-lideranca-e.html,PI,PIAUÍ,1.0,G,1.0,,,WELLINGTON DIAS,49.24,ZE FILHO,30.07,MAO SANTA,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00171/2014,https://portalintegracao.com.br/elmano-tem-ligeira-vantagem-sobre-wilson/,PI,PIAUÍ,1.0,S,1.0,,,ELMANO FERRER,40.41,WILSON MARTINS,38.03,GUSTAVO HENRIQUE,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00171/2014,https://portalv1.com.br/elmano-ferrer-passa-wilson-martins-na-disputa-para-o-senado/,PI,PIAUÍ,1.0,S,0.0,,,ELMANO FERRER,29.91,WILSON MARTINS,24.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00174/2014,https://180graus.com/pesquisa-eleitoral/brvoxsao-pedro-do-pi-traz-iracema-portella-e-joao-madison-liderando,PI,PIAUÍ,1.0,DE,0.0,,,JOAO MADISON,11.87,LUCIANO NUNES,10.62,WILSON BRANDAO,3.75,SEVERO EULALIO,2.81,FLAVIO NOGUEIRA JR,2.19,GEORGIANO NETO,2.19,JULIO ARCOVERDE,1.56,JANNAINA MARQUES,1.25,IRACEMA PORTELLA,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00174/2014,https://180graus.com/pesquisa-eleitoral/brvoxsao-pedro-do-pi-traz-iracema-portella-e-joao-madison-liderando,PI,PIAUÍ,1.0,DF,0.0,,,IRACEMA PORTELLA,16.58,HERACLITO FORTES,5.94,MARCELO CASTRO,4.69,REJANE DIAS,4.69,JULIO CESAR,3.75,FLAVIO NOGUEIRA,3.75,ASSIS CARVALHO,3.12,FABIO ABREU,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00175/2014,https://180graus.com/pesquisa-eleitoral/brvox-em-itaueira-traz-paes-landim-e-joel-rodrigues-estao-na-lideranca,PI,PIAUÍ,1.0,DE,0.0,,,JOEL RODRIGUES,38.12,FERNANDO MONTEIRO,9.38,LUCIANO NUNES,6.56,GUSTAVO NEIVA,2.19,ENEAS,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00175/2014,https://180graus.com/pesquisa-eleitoral/brvox-em-itaueira-traz-paes-landim-e-joel-rodrigues-estao-na-lideranca,PI,PIAUÍ,1.0,DF,0.0,,,PAES LANDIM,17.19,HUGO NAPOLEAO,13.75,HERACLITO FORTES,7.81,REJANE DIAS,2.81,SHEILA GOMES,2.81,JULIO CESAR,2.5,ASSIS CARVALHO,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00176/2014,https://180graus.com/pesquisa-eleitoral/brvox-em-inhuma-traz-osmar-junior-e-severo-eulalio-liderando-pesquisa,PI,PIAUÍ,1.0,DE,0.0,,,SEVERO EULALIO,9.69,FERNANDO MONTEIRO,9.38,HELIO ISAIAS,3.12,B. SA,2.5,GEORGIANO NETO,2.19,RUBEM MARTINS,1.88,ROBERT RIOS,1.56,LIZIE COELHO,1.56,DR. PABLO SANTOS,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00176/2014,https://180graus.com/pesquisa-eleitoral/brvox-em-inhuma-traz-osmar-junior-e-severo-eulalio-liderando-pesquisa,PI,PIAUÍ,1.0,DF,0.0,,,OSMAR JUNIOR,19.69,REJANE DIAS,3.75,HUGO NAPOLEAO,3.75,ATILA LIRA,3.12,MARLLOS SAMPAIO,2.81,MARCELO CASTRO,1.25,IRACEMA PORTELLA,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00177/2014,https://180graus.com/pesquisa-eleitoral/brvoxsao-raimundo-nonatoedson-ferreira-e-marcelo-castro-liderando,PI,PIAUÍ,1.0,DE,0.0,,,EDSON FERREIRA,24.69,HELIO ISAIAS,10.31,ELIZETE,6.88,DR. PABLO SANTOS,5.94,FABIO SANTOS,2.81,IRACEMA,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PI-00177/2014,https://180graus.com/pesquisa-eleitoral/brvoxsao-raimundo-nonatoedson-ferreira-e-marcelo-castro-liderando,PI,PIAUÍ,1.0,DF,0.0,,,MARCELO CASTRO,24.38,PAES LANDIM,20.0,SILAS FREIRE,5.0,HERACLITO FORTES,3.12,REJANE DIAS,2.19,HUGO NAPOLEAO,1.88,ATILA LIRA,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
