obs,tse_id,url,estado,cidade,util,position,estimulada,vv,suspensa,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
,BR-05291/2018,https://www.infomoney.com.br/politica/bolsonaro-lidera-corrida-eleitoral-com-25-e-4-candidatos-disputam-2o-lugar-diz-pesquisa/,BR,BRASIL,1.0,PR,,,,JAIR BOLSONARO,25,CIRO GOMES,11.0,MARINA SILVA,11.0,GERALDO ALCKMIN,9.0,FERNANDO HADDAD,7.0,ALVARO DIAS,4.0,JOAO AMOEDO,3.0,HENRIQUE MEIRELLES,2.0,GUILHERME BOULOS,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-05349/2018,https://www.brasil247.com/poder/bolsonaro-tem-58-dos-votos-validos-contra-42-de-haddad-mostra-xp-ipespe,BR,BRASIL,1.0,PR,,,,JAIR BOLSONARO,51,FERNANDO HADDAD,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-05453/2018,https://blogdexucuru.blogspot.com/2018/09/em-nova-pesquisa-ipespe-paulo-camara.html,BR,BRASIL,1.0,G,,,,PAULO,35,ARMANDO MONTEIRO NETO,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-05453/2018,https://blogjcampos.blogspot.com/2018/09/senado-jarbas-35-humberto-29-e-mendonca.html,BR,BRASIL,1.0,S,1.0,,,JARBAS VASCONCELOS,35,HUMBERTO COSTA,29.0,MENDONÇA FILHO,25.0,SILVIO COSTA,10.0,BRUNO ARAUJO,8.0,PASTOR JAIRINHO,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-05453/2018,https://blogpontodevista.com/pesquisa-ipespe-paulo-e-lider-isolado/,BR,BRASIL,1.0,G,1.0,,,PAULO CAMARA,35,ARMANDO MONTEIRO,25.0,JULIO LOSSO,2.0,MAURICIO RANDS,2.0,ANA PATRICIA ALVES,1.0,SIMONE FONTANA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-05624/2018,https://hypenews.net/2018/10/confira-as-pesquisas-realtime-big-data-para-o-governo-dos-estados/,BR,BRASIL,1.0,G,,1.0,,WILSON LIMA,67,AMAZONINO MENDES,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-05699/2018,https://media.infomoney.com.br/portal/XPPoll_%202018_05_1.pdf?_ga=2.82070224.798992830.1531946442-965861204.1530733191,BR,BRASIL,1.0,PR,1.0,,,JAIR BOLSONARO,24,MARINA SILVA,14.0,CIRO GOMES,10.0,GERALDO ALCKMIN,9.0,ALVARO DIAS,4.0,FERNANDO HADDAD,3.0,HENRIQUE MEIRELLES,2.0,MANUELA D'AVILA,1.0,GUILHERME BOULOS,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-05699/2018,https://media.infomoney.com.br/portal/XPPoll_%202018_05_1.pdf?_ga=2.82070224.798992830.1531946442-965861204.1530733191,BR,BRASIL,1.0,PR,1.0,,,LULA,29,JAIR BOLSONARO,24.0,MARINA SILVA,9.0,GERALDO ALCKMIN,9.0,CIRO GOMES,6.0,ALVARO DIAS,4.0,MICHEL TEMER,1.0,MANUELA D'AVILA,1.0,JOAO AMOEDO,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-05699/2018,https://media.infomoney.com.br/portal/XPPoll_%202018_05_1.pdf?_ga=2.82070224.798992830.1531946442-965861204.1530733191,BR,BRASIL,1.0,PR,0.0,,,JAIR BOLSONARO,13,LULA,11.0,GERALDO ALCKMIN,3.0,CIRO GOMES,2.0,MARINA SILVA,2.0,ALVARO DIAS,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BR-05751/2018,http://www.dnnoticias.com.br/2018/09/em-mato-grosso-bolsonaro-lidera-com.html,BR,BRASIL,1.0,PR,,,,JAIR BOLSONARO,38,FERNANDO HADDAD,11.0,GERALDO ALCKMIN,7.0,MARINA SILVA,5.0,CIRO GOMES,4.0,ALVARO DIAS,4.0,JOAO AMOEDO,4.0,HENRIQUE MEIRELLES,2.0,CABO DACIOLO,1.0,GUILHERME BOULOS,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
