obs,tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
,PR-01281/2016,http://g1.globo.com/pr/parana/eleicoes/2016/noticia/2016/10/boca-de-urna-ibope-curitiba-greca-54-leprevost-46.html,PR,CURITIBA,1,P,,,1.0,RAFAEL GRECA,54.0,NEY LEPREVOST,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PR-05072/2018,https://mixvale.mystagingwebsite.com/2018/10/07/ibope-boca-de-urna-para-senado-no-pr-oriovisto-28-arns-22-e-requiao-16/,PR,PARANÁ,1,S,,,,ORIOVISTO GUIMARAES,28.0,FLAVIO ARNS,22.0,ROBERTO REQUIAO,16.0,ALEX CANZIANI,13.0,BETO RICHA,6.0,MIRIAN GONÇALVES,6.0,RODRIGO REIS,3.0,ZE BONI,2.0,NELTON,1.0,COMPADRE LUIZ ADAO,1.0,JACQUE PARMIGIANI,1.0,ROSELAINE BARROSO FERREIRA,1.0,RODRIGO TOMAZINI,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PR-05072/2018,"https://www.terra.com.br/noticias/brasil/politica/ibopeboca-de-urna-no-pr-ratinho-junior-54-cida-18-joao-arruda-12,70eeaba8e86a285cdf188b131a487879k3s86vv7.html",PR,PARANÁ,1,G,,,,RATINHO JUNIOR,54.0,CIDA BORGHETTI,18.0,JOAO ARRUDA,12.0,DR. ROSINHA,8.0,OGIER BUCHI,5.0,PROFESSOR PIVA,1.0,PROFESSOR JORGE BERNADI,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RJ-00006/2014,https://exame.com/brasil/ibope-candidatos-ao-governo-do-rio-tem-empate-tecnico/,RJ,RIO DE JANEIRO,1,S,,,,SERGIO CABRAL,26.0,ROMARIO,22.0,JANDIRA FEGHALI,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RJ-00006/2014,https://exame.com/brasil/ibope-candidatos-ao-governo-do-rio-tem-empate-tecnico/,RJ,RIO DE JANEIRO,1,G,,,,GAROTINHO,18.0,MARCELO CRIVELLA,16.0,PEZAO,13.0,LINDBERGH FARIAS,11.0,CESAR MAIA,8.0,MIRO TEIXEIRA,1.0,TARCISIO MOTTA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RJ-00016/2012,http://www.radaroficial.com.br/d/8734331,RJ,BARRA MANSA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RJ-00017/2012,https://issuu.com/jornalrjnews/docs/edicao_65,RJ,MACAÉ,1,P,,,,DR. ALUIZIO,48.0,SYLVIO LOPES,9.0,ZEZE ABREU,7.0,CHRISTINO AUREO,6.0,PAULO ANTUNES,4.0,NILSON MENDONÇA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RJ-00049/2012,http://www.eleicoes.ibope.com.br/SiteAssets/RJ%20-%20CABO%20FRIO/Rodada_1/cabofrio_12_1768.pdf,RJ,CABO FRIO,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RJ-00056/2012,https://ipbuzios.blogspot.com/2012/08/pesquisa-eleitoral-registrada-de_31.html,RJ,ARMAÇÃO DOS BÚZIOS,1,P,,,,MIRINHO,35.0,DR. ANDRE,21.0,EVANDRO,12.0,JOAO CARRILHO,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RJ-00076/2012,https://misterfreitas.wordpress.com/tag/jorge/,RJ,NITERÓI,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RJ-00097/2012,https://lwerneck.blogspot.com/2012/09/ibope-rosinha-62-arnaldo-11-e-makhoul-11.html,RJ,CAMPOS DOS GOYTACAZES,1,P,1.0,,,ROSINHA GAROTINHO,62.0,ARNALDO VIANNA,11.0,MAKHOUL,11.0,ERIK SCHUNK,1.0,JOSE GERALDO,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RJ-00098/2012,https://misterfreitas.wordpress.com/tag/felipe-peixoto/page/2/,RJ,NITERÓI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RJ-00231/2012,"https://www.terra.com.br/noticias/brasil/politica/ibope-paes-sera-reeleito-no-rio-com-67-dos-votos-validos,c9a8c74d6666b310VgnCLD200000bbcceb0aRCRD.html",RJ,RIO DE JANEIRO,1,P,,,1.0,EDUARDO PAES,67.0,MARCELO FREIXO,27.0,OTAVIO LEITE,2.0,RODRIGO MAIA,2.0,ASPASIA,1.0,FERNANDO SIQUEIRA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RJ-00470/2018,https://s3.amazonaws.com/gp-info-eleicoes/wp-content/uploads/sites/2/2018/09/20195436/IBOPE_RIO-DE-JANEIRO-Relat%C3%B3rio-de-tabelas.pdf,RJ,RIO DE JANEIRO,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RJ-00933/2016,http://www.folhapolitica.org/2016/10/crivella-tem-67-dos-votos-validos.html,RJ,RIO DE JANEIRO,1,P,,,,MARCELO CRIVELLA,51.0,MARCELO FREIXO,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RJ-02363/2018,https://exame.com/brasil/no-inicio-da-apuracao-witzel-lidera-disputa-pelo-governo-do-rio/,RJ,RIO DE JANEIRO,1,G,,,1.0,WILSON WITZEL,55.0,EDUARDO PAES,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RJ-04204/2018,https://portalmt.com.br/boca-de-urna-no-rj-witzel-surpreende-e-tem-39-paes-briga-por-vaga-no-2o-turno/,RJ,RIO DE JANEIRO,1,G,,,,WILSON WITZEL,39.0,EDUARDO PAES,21.0,TARCISIO MOTTA,15.0,ROMARIO,9.0,INDIO DA COSTA,6.0,PEDRO FERNANDES,4.0,MARCIA TIBURI,4.0,MARCELO TRINDADE,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
