tse_id,instituto,estado,cidade,estimulada,vv,position,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
SP-05998/2018,FLS,SP,SÃO PAULO,1.0,,G,JOAO DORIA,"20,3",PAULO SKAF,"18,2",MARCIO FRANÇA,"9,1",LUIZ MARINHO,5,MARCELO CANDIDO,"2,5",MAJOR COSTA E SILVA,"2,1",PROFESSORA LISETE,2,RODRIGO TAVARES,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-05998/2018,FLS,SP,SÃO PAULO,,,S,EDUARDO SUPLICY,29,MARIO COVAS,"17,5",MAJOR OLIMPIO,"14,4",ANTONIO NETO,"6,8",CIDINHA,"6,3",MARA GABRILLI,"5,5",TRIPOLI,"4,8",DRA. ELIANA FERREIRA,"3,9",JILMAR TATTO,"3,4",EDUCADOR DANIEL CARA,"2,6",MAURREN MAGGI,"2,6",DIOGO DA LUZ,"2,2",MARCELO BARBIERI,"2,2",MANCHA,2.0,SILVIA FERRARO,2.0,PEDRO HENRIQUE DE CRISTO,"1,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-03700/2018,FLS,SP,SÃO PAULO,1.0,,PR,LULA,"27,8",JAIR BOLSONARO,"18,4",GERALDO ALCKMIN,"13,2",CIRO GOMES,"6,1",MARINA SILVA,6,ALVARO DIAS,"3,1",JOAO AMOEDO,"2,4",GUILHERME BOULOS,"1,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-07987/2018,FLS,SP,SÃO PAULO,1.0,,PR,GERALDO ALCKMIN,"22,6",JAIR BOLSONARO,"13,6",LULA,"8,8",ALVARO DIAS,"6,2",MARINA SILVA,5,CIRO GOMES,"4,2",JOAO AMOEDO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-09462/2018,FLS,SP,SÃO PAULO,1.0,,G,JOAO DORIA,"20,8",MARCIO FRANÇA,20,PAULO SKAF,"12,4",LUIZ MARINHO,"2,8",ROGERIO CHEQUER,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-05941/2018,FLS,SP,SÃO PAULO,1.0,,G,JOAO DORIA,"18,4",PAULO SKAF,"16,2",MARCIO FRANÇA,"8,9",LUIZ MARINHO,"3,2",PROF. LISETE ARELARO,"2,6",RODRIGO TAVARES,"1,8",ROGERIO CHEQUER,"1,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-05941/2018,FLS,SP,SÃO PAULO,,,S,EDUARDO SUPLICY,"28,6",MARTA SUPLICY,"23,1",JOSE LUIZ DATENA,"21,7",MARIO COVAS NETO,"13,8",MAJOR OLIMPIO,"10,1",JOSE ANIBAL,"5,5",RICARDO TRIPOLI,"4,5",JILMAR TATTO,"2,8",SILVIA FERRARO,2,EDUCADOR DANIEL CARA,"1,7",JOICE HASSELMANN,"1,7",CAUE MACRIS,"1,1",JAIR ANDREONI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-08985/2018,FLS,SP,SÃO PAULO,1.0,,G,JOAO DORIA,"21,3",PAULO SKAF,"20,1",MARCIO FRANÇA,"10,8",LUIZ MARINHO,7,MARCELO CANDIDO,"2,2",PROFESSORA LISETE,"2,1",MAJOR COSTA E SILVA,2,RODRIGO TAVARES,"1,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-08985/2018,FLS,SP,SÃO PAULO,,,S,EDUARDO SUPLICY,"29,1",MARIO COVAS,"14,5",MAJOR OLIMPIO,"10,4",MARA GABRILLI,"7,9",MAURREN MAGGI,"7,9",TRIPOLI,"6,4",ANTONIO NETO,"5,5",CIDINHA,"4,3",JILMAR TATTO,"3,6",PROFESSORA SILVIA FERRARO,"2,2",DIOGO DA LUZ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP-00395/2016,FLS,SP,SÃO BERNARDO DO CAMPO,0.0,,P,LUIZ MARINHO,"14,9",ALEX MANENTE,"13,4",ORLANDO MORANDO,"11,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
