obs,tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
,PA-00126/2016,https://ver-o-fato.com.br/saiu-do-forno-nova-pesquisa-em-bele/,PA,BELÉM,1,P,1.0,,0.0,Edmilson Rodrigues,31.9,Zenaldo Coutinho,21.2,Eder Mauro,16.7,Professor Maneschy,9.5,Úrsula Vidal,4.1,Regina Barata,2.2,Cleber Rabelo,1.2,Lélio Costa,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA-00126/2016,https://ver-o-fato.com.br/saiu-do-forno-nova-pesquisa-em-bele/,PA,BELÉM,1,P,0.0,,0.0,Edmilson Rodrigues,23.9,Zenaldo Coutinho,13.0,Eder Mauro,10.9,Professor Maneschy,6.5,Úrsula Vidal,2.3,Regina Barata,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA-00232/2016,https://diogenesbrandao.blogspot.com/2016_10_02_archive.html,PA,BELÉM,1,P,,,1.0,Edmilson Rodrigues,35.2,Zenaldo Coutinho,28.1,Eder Mauro,16.7,Professor Maneschy,10.3,Úrsula Vidal,7,Regina Barata,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA-02067/2016,https://issuu.com/pedrobrasil/docs/pesquisa_bel__m_publica____o,PA,BELÉM,1,P,1.0,,0.0,Eder Mauro ,30.2,Edmilson Rodrigues,24.7,Zenaldo Coutinho,6.9,Duciomar,5.2,Jordy,4.4,Priante,4.3,Dr. Elson Soares,2.0,Zé Carlos,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA-02067/2016,https://issuu.com/pedrobrasil/docs/pesquisa_bel__m_publica____o,PA,BELÉM,1,P,1.0,,0.0,Eder Mauro,32.4,Edmilson Rodrigues,31.1,Zenaldo Coutinho,8.2,Prof. Carlos Maneschy,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA-02067/2016,https://issuu.com/pedrobrasil/docs/pesquisa_bel__m_publica____o,PA,BELÉM,1,P,0.0,,0.0,Edmilson Rodrigues,13.2,Eder Mauro ,10.2,Zenaldo Coutinho,5.4,Jordy,3.3,Duciomar,2.8,Priante ,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA-03025/2016,https://pjpontes.blogspot.com/2016/10/,PA,BELÉM,1,P,,,0.0,Zenaldo Coutinho,44.3,Edmilson Rodrigues,41.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA-03386/2016,https://diogenesbrandao.blogspot.com/2016_10_29_archive.html,PA,BELÉM,1,P,1.0,,0.0,Zenaldo Coutinho,46.8,Edmilson Rodrigues,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA-08502/2016,https://diogenesbrandao.blogspot.com/2016/08/edmilson-rodrigues-psol-e-eder-mauro.html,PA,BELÉM,1,P,0.0,,0.0,Edmilson Rodrigues,20.5,Zenaldo Coutinho,11.2,Eder Mauro,8.5,Arnaldo Jordy,2.5,Úrsula Vidal,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA-08502/2016,https://diogenesbrandao.blogspot.com/2016/08/edmilson-rodrigues-psol-e-eder-mauro.html,PA,BELÉM,1,P,1.0,,0.0,Edmilson Rodrigues,33.5,Eder Mauro ,27.1,Zenaldo Coutinho,12.7,Arnaldo Jordy,6,Úrsula Vidal,4.3,Carlos Maneschy,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA-09424/2016,https://pjpontes.blogspot.com/2016/10/segundo-as-pesquisas-se-eleicao-fosse.html,PA,BELÉM,1,P,,,1.0,Zenaldo Coutinho,56.3,Edmilson Rodrigues,43.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA-02165/2016,https://www.jesocarneiro.com.br/politica/pesquisa-aponta-vitoria-da-candidata-do-psb-para-prefeitura-de-ulianopolis.html,PA,ULIANÓPOLIS,1,P,1.0,,0.0,Irmã Lita,41.0,Kelly Dastro,25.5,Professora Neusa,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA-07188/2016,https://www.hiroshibogea.com.br/35179-2/,PA,NOVO REPARTIMENTO,1,P,1.0,,0.0,Amizade,55.0,Valdir Lemes,10.4,Vereador Irmão Célio,8.7,Vereadora Creuza,4.5,Abraão do Sindicato,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA-09036/2016,http://www.hiroshibogea.com.br/doxa-amizade-lidera-em-novo-repartimento/,PA,NOVO REPARTIMENTO,1,P,0.0,,0.0,Amizade,43.1,Valdir Lemes,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA-08382/2016,http://www.hiroshibogea.com.br/2016/08/page/2/,PA,BREU BRANCO,1,P,1.0,,0.0,Diego Alemão,52.4,Barreirinhas,24.4,Adimilson,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA-08382/2016,http://www.hiroshibogea.com.br/2016/08/page/2/,PA,BREU BRANCO,1,P,0.0,,0.0,Diego Alemão,25.8,Barreirinhas,19.2,Adimilson,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA-09326/2016,https://correiobaionense.blogspot.com/2016/10/pesquisa-doxa-em-breu-branco-diego.html,PA,BREU BRANCO,1,P,,,0.0,Diego,48.8,Adimilson,23.4,Barreirinha,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA-01565/2016,http://www.santaluzia-online.com/2016/09/surpresa-pedro-coelho-lidera-corrida.html,PA,CASTANHAL,1,P,,,0.0,Pedro Coelho ,37.0,Paulo Titan,26.0,Milton Campos,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA-09358/2016,https://diogenesbrandao.blogspot.com/2016/09/doxa-raquel-sera-futura-prefeita-de.html,PA,PLACAS,1,P,1.0,,0.0,Raquel,55.12,Leonir Gauchão,18.08,Volmir,10.68,Gilerto Leite,5.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA-01407/2016,https://www.casemine.com/judgement/uk/5b2897cc2c94e06b9e19b381,PA,INHANGAPI,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA-04532/2016,https://www.blogdojk.com.br/2016/10/em-juruti-pesquisa-confirma-lideranca.html,PA,JURUTI,1,P,,,0.0,Marquinho,45.2,Henrique,33.4,José Nunes,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA-08591/2016,https://diogenesbrandao.blogspot.com/2016_09_22_archive.html,PA,JURUTI,1,P,1.0,,0.0,Marquinho Dolzane,41.0,Henrique,32.0,José Nunes,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA-07876/2016,https://flaviovidal.blogspot.com/2016/09/wagne-machado-lidera-corrida-eleitoral.html,PA,PIÇARRA,1,P,,,0.0,Wagne Machado,67.22,Lunardi,14.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA-08627/2016,https://moj-tribunals-documents-prod.s3.amazonaws.com/decision/pdf_file/57550/PA086272016.pdf,PA,MARABÁ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PA-09088/2016,https://www.zedudu.com.br/pesquisa-eleitoral-segundo-a-doxa-tiao-miranda-lidera-a-disputa-para-a-prefeitura-de-maraba/,PA,MARABÁ,1,P,1.0,,0.0,Tião Miranda,41.2,Manoel Veloso,10.2,João Salame,7.2,Jorge Bichara,6.2,João Chamon,3.5,Asdrúbal Bentes,3.1,Sueli Lara,2.5,Cristina Mutran,2.4,Adailton Sá,2.4,Zeferino Neto ,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
