tse_id,instituto,estado,cidade,estimulada,position,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
RS-09813/2016,STUDIO,RS,GRAVATAÍ,0,P,,DANIEL BORDIGNON,"17,3",MARCO ALBA,"8,8",ANABEL,"4,7",DR. LEVI,"3,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS-09813/2016,STUDIO,RS,GRAVATAÍ,1,P,,DANIEL BORDIGNON,32,MARCO ALBA,"15,5",ANABEL,"12,3",DR. LEVI,"7,2",RAFAEL LINCK,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS-08899/2016,STUDIO,RS,GRAVATAÍ,0,P,,DANIEL BORDIGNON,"21,2",MARCO ALBA,12,ANABEL,"7,7",DR. LEVI,"4,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS-08899/2016,STUDIO,RS,GRAVATAÍ,1,P,,DANIEL BORDIGNON,33,MARCO ALBA,"15,5",ANABEL,"12,7",DR. LEVI,"9,2",PROFESSOR VALTER,"1,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS-08445/2016,STUDIO,RS,GRAVATAÍ,0,P,,MARCO ALBA,"20,3",ANABEL,"10,3",ROSANE BORDIGNON,"9,5",BORDIGNON,"1,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS-08445/2016,STUDIO,RS,GRAVATAÍ,1,P,,MARCO ALBA,"27,8",ANABEL,"21,5",ROSANE BORDIGNON,"18,2",PROFESSOR VALTER,"1,3",RAFAEL LINCK,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS-03413/2016,STUDIO,RS,GRAVATAÍ,0,P,,MARCO ALBA,"23,8",ROSANE BORDIGNON,"16,3",ANABEL,"10,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS-03413/2016,STUDIO,RS,GRAVATAÍ,1,P,,MARCO ALBA,31,ROSANE BORDIGNON,"24,3",ANABEL,"16,2",PROFESSOR VALTER,"1,2",RAFAEL LINCK,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS-02139/2016,STUDIO,RS,GRAVATAÍ,0,P,,MARCO ALBA,"21,5",ROSANE BORDIGNON,"20,4",ANABEL,"10,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS-02139/2016,STUDIO,RS,GRAVATAÍ,1,P,,MARCO ALBA,"27,5",ROSANE BORDIGNON,"26,9",ANABEL,"16,3",RAFAEL LINCK,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS-09209/2016,STUDIO,RS,SAPIRANGA,0,P,,NELSON SPOLAOR,"24,3",CORINHA MOLLING,"16,7",RICARDO GROSS,"7,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS-09209/2016,STUDIO,RS,SAPIRANGA,1,P,,NELSON SPOLAOR,38,CORINHA MOLLING,"22,7",RICARDO GROSS,"17,7",ALVARO PEREIRA,"1,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS-00550/2016,STUDIO,RS,SAPIRANGA,0,P,,NELSON SPOLAOR,"34,3",CORINHA MOLLING,"24,5",RICARDO GROSS,"9,5",ALVARO PEREIRA,"1,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS-00550/2016,STUDIO,RS,SAPIRANGA,1,P,,NELSON SPOLAOR,41,CORINHA MOLLING,"28,8",RICARDO GROSS,13,ALVARO PEREIRA,"1,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS-00677/2016,STUDIO,RS,SAPUCAIA DO SUL,0,P,,DR. LINK,18,MARCELO MACHADO,"17,1",VOLMIR RODRIGUES,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS-00677/2016,STUDIO,RS,SAPUCAIA DO SUL,1,P,,DR. LINK,"31,3",MARCELO MACHADO,"25,1",VOLMIR RODRIGUES,"14,7",DUARTE 50,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
