tse_id,instituto,estado,cidade,position,estimulada,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
BR-36622/2010,VERITA,BR,BRASIL,PR,0,,DILMA,44.4,JOSE SERRA,39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-36622/2010,VERITA,BR,BRASIL,PR,1,,DILMA,45.4,JOSE SERRA,40.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-37682/2010,VERITA,BR,BRASIL,PR,0,,DILMA,42.8,JOSE SERRA,35.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-37682/2010,VERITA,BR,BRASIL,PR,1,,DILMA,43.7,JOSE SERRA,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DF-33622/2010,VERITA,DF,DISTRITO FEDERAL,S,1,,CRINTOVAM BUARQUE,43.2,ALBERTO FRAGA,26.4,ABADIA,26.3,ROLLEMBERG,37.7,CADU VALADARES,1.8,CHICO SANT'ANNA,1.5,MOACIR BUENO,2.4,JORGE ANTUNES,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DF-33622/2010,VERITA,DF,DISTRITO FEDERAL,G,1,,AGNELO QUEIROZ,43.1,WESLIAN RORIZ,31.4,TONINHO DO PSOL,8.4,EDUARDO BRANDAO,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DF-33622/2010,VERITA,DF,DISTRITO FEDERAL,PR,1,,MARINA SILVA,35.9,DILMA,34.3,JOSE SERRA,21.1,PLINIO,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DF-36320/2010,VERITA,DF,DISTRITO FEDERAL,PR,0,,JOSE SERRA,44.3,DILMA,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DF-36320/2010,VERITA,DF,DISTRITO FEDERAL,PR,1,,JOSE SERRA,45.8,DILMA,44.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DF-36320/2010,VERITA,DF,DISTRITO FEDERAL,G,0,,AGNELO QUEIROZ,54.5,WESLIAN RORIZ,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DF-36320/2010,VERITA,DF,DISTRITO FEDERAL,G,1,,AGNELO QUEIROZ,56.0,WESLIAN RORIZ,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DF-37881/2010,VERITA,DF,DISTRITO FEDERAL,PR,0,,JOSE SERRA,44.2,DILMA,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DF-37881/2010,VERITA,DF,DISTRITO FEDERAL,PR,1,,JOSE SERRA,46.0,DILMA,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DF-37881/2010,VERITA,DF,DISTRITO FEDERAL,G,0,,AGNELO QUEIROZ,53.7,WESLIAN RORIZ,33.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DF-37881/2010,VERITA,DF,DISTRITO FEDERAL,G,1,,AGNELO QUEIROZ,54.5,WESLIAN RORIZ,34.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DF-40845/2010,VERITA,DF,DISTRITO FEDERAL,PR,0,,DILMA,44.9,JOSE SERRA,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DF-40845/2010,VERITA,DF,DISTRITO FEDERAL,PR,1,,DILMA,45.8,JOSE SERRA,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DF-40845/2010,VERITA,DF,DISTRITO FEDERAL,G,0,,AGNELO QUEIROZ,52.4,WESLIAN RORIZ,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DF-40845/2010,VERITA,DF,DISTRITO FEDERAL,G,1,,AGNELO QUEIROZ,52.6,WESLIAN RORIZ,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-46452/2010,VERITA,GO,GOIAS,S,1,,DEMOSTENES TORRES,64.2,LUCIA VANIA,46.6,PEDRO WILSON,18.6,ADIB ELIAS,13.4,PAULO ROBERTO CUNHA,6.7,RENNER,3.7,ELIAS VAZ,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-46452/2010,VERITA,GO,GOIAS,G,1,,MARCONI PERILLO,44.4,IRIS REZENDE,34.5,VANDERLAN,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-46452/2010,VERITA,GO,GOIAS,PR,1,,DILMA,42.0,JOSE SERRA,35.5,MARINA SILVA,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-50653/2010,VERITA,GO,GOIAS,PR,0,,JOSE SERRA,49.7,DILMA,38.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-50653/2010,VERITA,GO,GOIAS,PR,1,,JOSE SERRA,51.9,DILMA,40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-50653/2010,VERITA,GO,GOIAS,G,0,,MARCONI PERILLO,48.8,IRIS REZENDE,41.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
