tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13
AC-00005/2012,"https://www.terra.com.br/noticias/brasil/politica/ac-em-rio-branco-ibope-aponta-empate-tecnico-entre-pt-e-psdb,83aedf0a2566b310VgnCLD200000bbcceb0aRCRD.html",AC,RIO BRANCO,1,p,,,,Marcus Alexandre,43,Tião Bocalom,39,Fernando Melo,6,Antônia Lúcia,5.0,Leôncio Castro,1.0,Professora Peregrina,1.0,,,,,,,,,,,,,,
AC-00008/2012,http://infodf.org.mx/anticorrupcion/infodf/docs/cv/21_gonzalez_gomez_1.PDF,AC,RIO BRANCO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-00758/2016,https://www.todapolitica.com/eleicoes-2016/pesquisa-eleitoral-rio-branco/,AC,RIO BRANCO,1,p,1.0,,,Marcus Alexandre,62,Eliane Sinhasique,27,Raimundo Vaz,3,Carlos Gomes,2.0,,,,,,,,,,,,,,,,,,
AC-00758/2016,https://www.todapolitica.com/eleicoes-2016/pesquisa-eleitoral-rio-branco/,AC,RIO BRANCO,1,p,0.0,,,Marcus Alexandre,57,Eliane Sinhasique,21,Raimundo Vaz,1,Carlos Gomes,1.0,,,,,,,,,,,,,,,,,,
AL-00028/2012,http://edivaldojunior.blogsdagazetaweb.com/2012/09/18/o-ibope-revela-porque-todos-os-candidatos-em-maceio-batem-na-tecla-da-saude/,AL,MACEIÓ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-00042/2012,https://eleicoes.uol.com.br/2012/noticias/2012/10/05/ibope-aponta-empate-entre-arthur-virgilio-e-vanessa-grazziotin-em-manaus.htm,AM,MANAUS,1,p,,,,Arthur Virgilio,31,Vanessa Grazziotin,19,Henrique Oliveira,12,Serafim,10.0,Sabino,6.0,Pauderney,2.0,Herbert Amazonas,2.0,Herbert Amazonas,1.0,Luiz Navarro,1.0,,,,,,,,
AM-00050/2012,https://oglobo.globo.com/brasil/boca-de-urna-indica-segundo-turno-na-disputa-em-manaus-6322483,AM,MANAUS,1,p,,,,Arthur Virgilio,38,Vanessa Grazziotin,27,,,,,,,,,,,,,,,,,,,,,,
AM-06279/2016,http://g1.globo.com/am/amazonas/eleicoes/2016/noticia/2016/10/boca-de-urna-ibope-manaus-artur-neto-55-marcelo-ramos-45.html,AM,MANAUS,1,p,,,,Arthur Virgilio,"49,5",Marcelo Ramos,"40,5",,,,,,,,,,,,,,,,,,,,,,
AP-00014/2014,http://g1.globo.com/ap/amapa/eleicoes/2014/noticia/2014/10/sete-candidatos-ao-governo-disputam-votos-de-eleitores-no-amapa.html,AP,AMAPÁ,1,g,,,,Waldez,42,Camilo Capiberibe,22,Lucas Barreto,17,Bruno Mineiro,9.0,Jorge Amanajás,3.0,Décio Gomes,1.0,Genival Cruz,1.0,,,,,,,,,,,,
AP-00014/2014,http://g1.globo.com/ap/amapa/eleicoes/2014/noticia/2014/10/no-ap-gilvam-tem-36-davi-33-e-dora-13-para-o-senado-diz-ibope.html,AP,AMAPÁ,1,s,,,,Gilvam,32,Davi Alcolumbre,30,Dora Nascimento,12,Promotor Moisés,8.0,Coronel Palmira,3.0,Raquel Capiberibe,2.0,Pastor Jorvan,1.0,Marquinho Abreu,1.0,Professor Paulo Ricardo,1.0,,,,,,,,
BA-00487/2012,https://oglobo.globo.com/brasil/em-salvador-ibope-mostra-pelegrino-com-43-dos-votos-validos-acm-neto-com-37-6310810,BA,SALVADOR,1,p,,,,Pelegrino,43,ACM Neto,37,Márcio Kertész,9,Márcio Marinho,6.0,Da Luz,3.0,Hamilton Assis,2.0,,,,,,,,,,,,,,
BR-00053/2014,https://issuu.com/tribunadonorte/docs/140328053219-91f6b21729c94d74ab6d7a9804311715,BR,BRASIL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-00379/2014,https://www.slideshare.net/MiguelRosario/ibope-par-11-a-14-de-agosto-de-2014,BR,BRASIL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-00398/2018,https://exame.com/brasil/no-inicio-da-apuracao-witzel-lidera-disputa-pelo-governo-do-rio/,BR,BRASIL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-00457/2018,https://blogdoeveraldo.com/blog-do-everaldo-pesquisa-do-ibope-desse-domingo-aponta-paulo-camara-com-50-dos-validos/,BR,BRASIL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-00788/2014,https://verdimnews.blogspot.com/2014/09/,BR,BRASIL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR-00853/2014,https://blogdodinhosantos.blogspot.com/2014/09/,BR,BRASIL,1,pr,,,,Dilma,49,Marina Silva,24,Aécio Neves,16,,,,,,,,,,,,,,,,,,,,
BR-00886/2014,https://issuu.com/jornalhnews/docs/dia_01-10-2014,BR,BRASIL,1,pr,,,,Aécio Neves,33,Marina Silva,19,Dilma,32,,,,,,,,,,,,,,,,,,,,
BR-00947/2014,http://g1.globo.com/ap/amapa/eleicoes/2014/noticia/2014/10/ibope-voto-valido-dilma-tem-53-marina-20-e-aecio-18.html,BR,BRASIL,1,pr,,,,Dilma,53,Marina Silva,20,Aécio Neves,18,Luciana Genro,1.0,Pastor Everaldo,1.0,Eduardo Jorge,1.0,,,,,,,,,,,,,,
