tse_id,url,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12
BA-04611/2016,https://dedemontalvao.blogspot.com/2018/05/deri-de-paloma-lidera-disputa-pela.html,1,p,,,,Deri,"47,4",Antônio Chaves,"39,4",,,,,,,,,,,,,,,,,,,,
SE-01400/2016,https://senoticias.com.br/se/96574-2/,1,p,,,,Gracinha,"43,6",Otávio Sobral,"34,4",,,,,,,,,,,,,,,,,,,,
SE-03064/2016,https://itnet.com.br/noticia/31246/marcos-costa-lidera-pesquisa-com-57-9-das-intencoes-de-voto-em-moita-bonita,1,p,,,,Marcos,"57,9",Fabinho Sindô,"38,2",,,,,,,,,,,,,,,,,,,,
SE-09399/2016,https://itnet.com.br/noticia/31233/everton-lima-lidera-com-folga-intencoes-de-voto-em-aleixo,1,p,,,,Everton Lima,60,Edivaldo Rocha,"33,9",,,,,,,,,,,,,,,,,,,,
BR-04934/2018,https://www.xodonews.com.br/belivaldo-abre-12-em-relacao-a-valadares-filho-aponta-pesquisa-espontanea-do-ifp/,1,pr,0.0,,,Fernando Haddad,"51,7",Jair Bolsonaro,29,,,,,,,,,,,,,,,,,,,,
BR-04934/2018,https://www.xodonews.com.br/belivaldo-abre-12-em-relacao-a-valadares-filho-aponta-pesquisa-espontanea-do-ifp/,1,pr,1.0,,,Fernando Haddad,"51,9",Jair Bolsonaro,"31,4",,,,,,,,,,,,,,,,,,,,
SE-00403/2018,http://www.portalsergipano.com/2018/03/exclusivo-dilson-de-agripino-e-o-unico.html,1,de,0.0,,,Gilmar Carvalho,"1,2",Janier Mota,"1,2",Maria Mendonça,"1,1",Talysson,"1,1",,,,,,,,,,,,,,,,
SE-00628/2018,https://www.xodonews.com.br/pesquisa-publicada-pela-xodo-fm-revela-preferencia-do-eleitorado-sergipano-confira-os-numeros/,1,g,0.0,,,Eduardo Amorim,"6,2",Valadares Filho,"4,4",Belivaldo Chagas,"3,9",André Moura,"1,2",Dr. Emerson,"1,1",,,,,,,,,,,,,,
SE-00628/2018,https://www.xodonews.com.br/pesquisa-publicada-pela-xodo-fm-revela-preferencia-do-eleitorado-sergipano-confira-os-numeros/,1,g,1.0,,,Eduardo Amorim,"19,2",Valadares Filho,"16,4",Belivaldo Chagas,"10,1",Professor Dudu da CUT,"1,7",Dr. Emerson,"4,6",Mendonça Prado,"1,9",João Tarantela,"1,3",,,,,,,,,,
SE-01505/2018,http://www.espacomilitar.com/2018/02/pesquisa-aponta-lideres-para-governo.html,1,g,0.0,,,Eduardo Amorim,"6,8",Jackson Barreto,"2,5",Belivaldo Chagas,2,Senador Valadares,"1,9",André Moura,"1,4",Mendonça Prado,"1,1",,,,,,,,,,,,
SE-01505/2018,http://www.espacomilitar.com/2018/02/pesquisa-aponta-lideres-para-governo.html,1,g,1.0,,,Eduardo Amorim,"21,5",Belivaldo Chagas,"8,7",Mendonça Prado,"5,7",Vera Lúcia,"4,6",Dr. Emerson,"3,5",Professor Dudu da CUT,"1,4",Márcio Souza,"1,1",,,,,,,,,,
SE-01505/2018,http://www.espacomilitar.com/2018/02/pesquisa-aponta-lideres-para-governo.html,1,s,1.0,,,Senador Valadares,"17,8",Pastor Heleno,"11,5",André Moura,"10,3",Rogério Carvalho,"7,5",João Fontes,"5,2",Joel Almeida do PT,"2,4",,,,,,,,,,,,
SE-01505/2018,http://www.espacomilitar.com/2018/02/pesquisa-aponta-lideres-para-governo.html,1,s,0.0,,,Senador Valadares,"7,2",Jackson Barreto,"3,3",Pastor Heleno,"3,1",André Moura,"2,8",Rogério Carvalho,2,Eduardo Amorim,"1,1",João Fontes,1,,,,,,,,,,
SE-01505/2018,http://www.espacomilitar.com/2018/02/pesquisa-aponta-lideres-para-governo.html,1,de,0.0,,,Gilmar Carvalho,"1,1",,,,,,,,,,,,,,,,,,,,,,
SE-01505/2018,http://www.espacomilitar.com/2018/02/pesquisa-aponta-lideres-para-governo.html,1,df,0.0,,,Valadares Filho,2,Laércio Oliveira,"1,5",Sukita,1,,,,,,,,,,,,,,,,,,
SE-01719/2018,http://sergipenoticias.com/politica/2018/08/8540/pesquisa-indica-empate-tecnico-para-o-governo.html,1,g,0.0,,,Belivaldo Chagas,"7,6",Eduardo Amorim,"7,5",Valadares Filho,"5,7",Dr Emerson,1,,,,,,,,,,,,,,,,
SE-01719/2018,http://sergipenoticias.com/politica/2018/08/8540/pesquisa-indica-empate-tecnico-para-o-governo.html,1,g,1.0,,,Valadares Filho,"19,8",Eduardo Amorim,"18,4",Belivaldo Chagas,"14,9",Dr Emerson,"3,9",Mendonça Prado,3,João Tarantela,"2,6",Milton Andrade,"2,1",Márcio Souza,"1,2",,,,,,,,
SE-01719/2018,http://sergipenoticias.com/politica/2018/08/8540/pesquisa-indica-empate-tecnico-para-o-governo.html,1,s,0.0,,,Valadares,"6,1",Jackson Barreto,5,André Moura,"4,4",Pastor Heleno,"4,3",Rogério Carvalho,"3,5",Alessandro Vieira,"2,9",Henri Clay Andrade,"1,1",,,,,,,,,,
SE-01719/2018,http://sergipenoticias.com/politica/2018/08/8540/pesquisa-indica-empate-tecnico-para-o-governo.html,1,s,1.0,,,Valadares,"23,3",André Moura,"18,3",Pastor Heleno,"17,1",Jackson Barreto,"15,2",Rogério Carvalho,"10,4",Alessandro Vieira,"9,8",Sônia Meire,6,Henri Clay Andrade,"3,5",Reinaldo Nunes,"2,3",Adelson Alves,"1,6",Josimário Mick,"1,2",Cadu Silva,1.0
SE-01719/2018,http://sergipenoticias.com/politica/2018/08/8540/pesquisa-indica-empate-tecnico-para-o-governo.html,1,de,0.0,,,Talysson de Valmir,"1,4",Luciano Bispo,"1,1",Janier Mota,1,,,,,,,,,,,,,,,,,,
SE-01719/2018,http://sergipenoticias.com/politica/2018/08/8540/pesquisa-indica-empate-tecnico-para-o-governo.html,1,df,0.0,,,Sukita,"1,5",Fábio Mitidieri,"1,4",Fábio Reis,"1,3",Gustinho Ribeiro,"1,1",Adelson Barreto,"1,1",Pastor Jony,"1,1",Fábio Henrique,1,,,,,,,,,,
SE-02219/2018,http://sergipenoticias.com/politica/2018/07/8174/pesquisa-ressalta-crescimento-de-valadares-filho-e-belivaldo.html,1,g,0.0,,,Belivaldo Chagas,"6,9",Eduardo Amorim,"6,5",Valadares Filho,"4,6",Mendonça Prado,"1,1",,,,,,,,,,,,,,,,
SE-02219/2018,http://sergipenoticias.com/politica/2018/07/8174/pesquisa-ressalta-crescimento-de-valadares-filho-e-belivaldo.html,1,g,1.0,,,Eduardo Amorim,"15,9",Valadares Filho,"14,8",Belivaldo Chagas,"14,1",Mendonça Prado,"2,9",Dr. Emerson,"2,7",Milton Andrade,"1,7",Professor Dudu da CUT,"1,2",João Tarantela,1,,,,,,,,
SE-02219/2018,http://sergipenoticias.com/politica/2018/07/8174/pesquisa-ressalta-crescimento-de-valadares-filho-e-belivaldo.html,1,s,0.0,,,Valadares,"5,4",Jackson Barreto,"4,3",Pastor Heleno,"2,9",André Moura,"2,6",Rogério Carvalho,"1,9",Alessandro Vieira,"1,2",,,,,,,,,,,,
SE-02219/2018,http://sergipenoticias.com/politica/2018/07/8174/pesquisa-ressalta-crescimento-de-valadares-filho-e-belivaldo.html,1,s,1.0,,,Valadares,14,Pastor Heleno,"11,7",Jackson Barreto,"11,4",André Moura,"10,9",Rogério Carvalho,"7,4",Alessandro Vieira,"4,5",Emília Correia,"3,1",Sônia Meire,"2,1",Dr. Henriclay,"1,7",Reinaldo Nunes,"1,5",,,,
SE-02219/2018,http://sergipenoticias.com/politica/2018/07/8174/pesquisa-ressalta-crescimento-de-valadares-filho-e-belivaldo.html,1,de,0.0,,,Talysson de Valmir,"2,9",Maria Mendonça,"1,6",Janier Mota,"1,5",Gilmar Carvalho,"1,3",Luciano Bispo,"1,1",,,,,,,,,,,,,,
SE-02219/2018,http://sergipenoticias.com/politica/2018/07/8174/pesquisa-ressalta-crescimento-de-valadares-filho-e-belivaldo.html,1,df,0.0,,,Fábio Mitidieri,"1,3",Sukita,"1,2",Fábio Reis,"1,1",,,,,,,,,,,,,,,,,,
SE-03031/2018,https://www.soudesergipe.com.br/pesquisa-aponta-empate-tecnico-entre-valadares-filho-e-eduardo-amorim/,1,g,1.0,,,Valadares Filho,"19,4",Eduardo Amorim,17,Belivaldo Chagas,"14,3",Dr. Emerson,"2,5",Mendonça Prado,"1,9",Milton Andrade,"1,2",,,,,,,,,,,,
SE-03031/2018,https://www.soudesergipe.com.br/pesquisa-aponta-empate-tecnico-entre-valadares-filho-e-eduardo-amorim/,1,s,1.0,,,Valadares,"21,8",Jackson Barreto,"14,4",Pastor Heleno,"13,6",André Moura,"12,3",Rogério Carvalho Santos,"8,8",Alessandro Vieira,"7,1",Sônia Meire,"4,5",Henri Clay,"2,2",Reynaldo Nunes,"1,4",Betinho,"1,2",,,,
SE-04299/2018,http://www.sergipenoticias.com/politica/2018/10/9094/pesquisa-ifp-para-presidente-e-governador-em-sergipe.html,1,g,0.0,,,Belivaldo Chagas,"41,9",Valadares Filho,"29,6",,,,,,,,,,,,,,,,,,,,
SE-04299/2018,http://www.sergipenoticias.com/politica/2018/10/9094/pesquisa-ifp-para-presidente-e-governador-em-sergipe.html,1,g,1.0,,,Belivaldo Chagas,"43,8",Valadares Filho,33,,,,,,,,,,,,,,,,,,,,
SE-04873/2018,https://blogdomax.net/noticias/instituto-franca-aponta-belivaldo-muito-proximo-a-valadares-filho,1,g,1.0,,,Valadares Filho,"18,2",Belivaldo Chagas,"15,1",Eduardo Amorim,"10,8",Dr. Emerson,"3,8",Mendonça Prado,"2,5",Milton Andrade,"2,1",João Tarantela,"1,4",,,,,,,,,,
SE-04873/2018,https://blogdomax.net/noticias/instituto-franca-aponta-belivaldo-muito-proximo-a-valadares-filho,1,s,1.0,,,Valadares,"13,3",Jackson Barreto,"9,4",Pastor Heleno,"9,4",André Moura,"8,8",Rogério Carvalho,4,Alessandro Vieira,"3,6",Emília Correia,"2,5",Sônia Meire,"1,4",Dr. Henriclay,"1,2",,,,,,
SE-04873/2018,https://blogdomax.net/noticias/instituto-franca-aponta-belivaldo-muito-proximo-a-valadares-filho,1,de,1.0,,,Gilmar Carvalho,"1,3",,,,,,,,,,,,,,,,,,,,,,
SE-04873/2018,https://blogdomax.net/noticias/instituto-franca-aponta-belivaldo-muito-proximo-a-valadares-filho,1,df,1.0,,,Eliane Aquino,"4,7",Adelson Barreto,"3,6",Fábio Mitidieri,"3,3",Sukita,"2,8",Pastor Jony,"2,5",Ricardo Marques,"1,6",Coronel Rocha da PM,"1,4",Fábio Henrique,"1,1",,,,,,,,
SE-05454/2018,http://www.sergipenoticias.com/politica/2018/06/7832/confira-os-numeros-da-ultima-pesquisa-eleitoral-em-sergipe.html,1,g,0.0,,,Eduardo Amorim,"6,9",Belivaldo Chagas,"4,5",Valadares Filho,"3,5",,,,,,,,,,,,,,,,,,
SE-05454/2018,http://www.sergipenoticias.com/politica/2018/06/7832/confira-os-numeros-da-ultima-pesquisa-eleitoral-em-sergipe.html,1,g,1.0,,,Eduardo Amorim,15,Valadares Filho,"12,7",Belivaldo Chagas,"11,3",Mendonça Prado,"3,7",Dr. Emerson,"3,3",Milton Andrade,"1,3",Márcio Souza,"1,1",Professor Dudu da CUT,1,,,,,,,,
SE-05454/2018,http://www.sergipenoticias.com/politica/2018/06/7832/confira-os-numeros-da-ultima-pesquisa-eleitoral-em-sergipe.html,1,s,0.0,,,Valadares,5,Jackson Barreto,"4,6",Pastor Heleno,"3,7",Rogério Carvalho,"2,8",André Moura,"2,7",,,,,,,,,,,,,,
SE-05454/2018,http://www.sergipenoticias.com/politica/2018/06/7832/confira-os-numeros-da-ultima-pesquisa-eleitoral-em-sergipe.html,1,s,1.0,,,Valadares,"15,1",Pastor Heleno,"10,8",André Moura,"10,2",Jackson Barreto,"9,6",Rogério Carvalho,"5,3",Alessandro Vieira,"3,7",Dra. Emília Correia,"2,8",Sônia Meire,"1,7",Dr. Henriclay,"1,6",,,,,,
SE-05454/2018,http://www.sergipenoticias.com/politica/2018/06/7832/confira-os-numeros-da-ultima-pesquisa-eleitoral-em-sergipe.html,1,de,0.0,,,Talysson de Valmir,"1,3",,,,,,,,,,,,,,,,,,,,,,
SE-05454/2018,http://www.sergipenoticias.com/politica/2018/06/7832/confira-os-numeros-da-ultima-pesquisa-eleitoral-em-sergipe.html,1,df,0.0,,,Fábio Mitidieri,"1,5",Fábio Reis,"1,3",Sukita,"1,2",,,,,,,,,,,,,,,,,,
SE-09639/2018,http://www.xodonews.com.br/instituto-franca-e-ibope-apontam-2-turno-com-belivaldo-chagas-e-valadares-filho/,1,g,1.0,,,Belivaldo Chagas,"24,7",Valadares Filho,"23,1",Eduardo Amorim,"18,7",Dr. Emerson,"3,3",Milton Andrade,"1,3",,,,,,,,,,,,,,
SE-09639/2018,http://www.xodonews.com.br/instituto-franca-e-ibope-apontam-2-turno-com-belivaldo-chagas-e-valadares-filho/,1,g,0.0,,,Belivaldo Chagas,"20,4",Valadares Filho,"14,8",Eduardo Amorim,14,Dr. Emerson,"2,5",Milton Andrade,"1,1",,,,,,,,,,,,,,
SE-09639/2018,http://www.xodonews.com.br/instituto-franca-e-ibope-apontam-2-turno-com-belivaldo-chagas-e-valadares-filho/,1,s,1.0,,,Valadares,"19,4",Alessandro Vieira,16,Jackson Barreto,"15,9",André Moura,"15,5",Pastor Heleno,"13,6",Rogério Carvalho,"12,6",Henri Clay,"2,9",Sônia Meire,"1,9",,,,,,,,
SE-09639/2018,http://www.xodonews.com.br/instituto-franca-e-ibope-apontam-2-turno-com-belivaldo-chagas-e-valadares-filho/,1,s,0.0,,,Valadares,"9,7",Alessandro Vieira,"9,4",Jackson Barreto,"8,7",Rogério Carvalho Santos,8,André Moura,"7,5",Pastor Heleno,"7,1",Henri Clay,"2,7",,,,,,,,,,
SE-02017/2016,PDF,1,p,0.0,,,Miguel de Dr. Marcos,"38,5",Demar,"22,8",Rita de Manoel de Rosinha,"13,9",Anselmo,"2,4",Gilmar Xavier,"1,6",,,,,,,,,,,,,,
SE-02017/2016,PDF,1,p,1.0,,,Miguel de Dr. Marcos,"39,9",Demar,"24,4",Rita de Manoel de Rosinha,"15,5",Anselmo,"2,4",Gilmar Xavier,"2,3",,,,,,,,,,,,,,
SE-06997/2016,PDF,1,p,0.0,,,Elizabeth,"43,2",Helder,"26,8",Toinho de Rollemberg,"10,1",,,,,,,,,,,,,,,,,,
SE-06997/2016,PDF,1,p,1.0,,,Elizabeth,"43,7",Helder,"26,5",Toinho de Rollemberg,"10,1",,,,,,,,,,,,,,,,,,
SE-08750/2016,PDF,1,p,0.0,,,Du de Juca,"47,6",Sandro de Jesus,"30,8",,,,,,,,,,,,,,,,,,,,
