tse_id,url,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9
AL-00065/2012,http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Eleicao-em-Maceio-pode-ser-decidida-no-primeiro-turno.aspx,1,p,,,1.0,Rui Palmeira,53,Ronaldo Lessa,31,Jefferson Morais,9,,,,,,,,,,,,
AM-00069/2012,http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Sete-em-cada-dez-eleitores-escolhem-Artur-Neto-para-.aspx,1,p,,,,Artur Neto,"64,32",Vanessa Grazziotin,"31,68",,,,,,,,,,,,,,
BA-00032/2014,http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Pesquisa-boca-de-urna-mostra-indefinicao-na-Bahia.aspx,1,g,,,,Rui Costa,"43,12",Paulo Souto,"34,32",Lídice da Mata,"7,92",,,,,,,,,,,,
BA-00032/2014,http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Pesquisa-boca-de-urna-mostra-indefinicao-na-Bahia.aspx,1,s,,,,Otto Alencar,"43,86",Geddel Vieira Lima,"31,82",Eliana Calmon,"6,88",Hamilton Assis,"2,58",,,,,,,,,,
BA-00547/2012,http://www.eleicoes.ibopeinteligencia.com.br/Paginas/ACM-Neto-segue-na-lideranca-na-vespera-da-eleicao.aspx,1,p,,,,ACM Neto,48,Pelegrino,40,,,,,,,,,,,,,,
BA-00549/2012,"http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Vantagem-de-ACM-Neto-diminui-mas-o-candidato-continua-sendo-favorito,-no-limite-da-margem-de-erro,-para-assumir-a.aspx",1,p,,,,ACM Neto,"47,84",Pelegrino,"44,16",,,,,,,,,,,,,,
CE-00038/2014,"http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Em-disputa-acirrada,-pesquisa-de-boca-de-urna-no-Ceara-mostra-vantagem-numerica-de-Camilo.aspx",1,g,,,,Camilo,"48,36",Eunício,"44,64",,,,,,,,,,,,,,
CE-00184/2012,http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Na-vespera-do-segundo-turno-eleicao-em-Fortaleza-continua-disputada-voto-a-voto.aspx,1,p,,,,Roberto Claudio,44,Elmano,42,,,,,,,,,,,,,,
CE-00186/2012,http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Fortaleza-elege-Roberto-Claudio.aspx,1,p,,,,Roberto Claudio,"48,23",Elmano,"43,24",,,,,,,,,,,,,,
DF-00093/2014,http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Rollemberg-e-eleito-governador-do-Distrito-Federal.aspx,1,g,,,,Rollemberg,"49,14",Jofran Frejat,"41,86",,,,,,,,,,,,,,
MA-00454/2012,http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Castelo-e-Edivaldo-devem-disputar-o-segundo-turno-em-Sao-Luis.aspx,1,p,,,1.0,Castelo,36,Edivaldo Holanda Jr.,31,Washington,12,Eliziane Gama,10,Tadeu Oalácio,8,Marcos Silva,2,,,,,,
MA-00545/2012,http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Edivaldo-Holanda-Jr-deve-ser-eleito-prefeito-de-Sao-Luis.aspx,1,p,,,,Edivaldo Holanda Jr,49,Castelo,39,,,,,,,,,,,,,,
MS-00368/2012,http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Alcides-Bernal-e-Giroto-devem-disputar-o-segundo-turno-em.aspx,1,p,,,1.0,Alcides Bernal,39,Giroto,27,Reinaldo Azambuja,14,,,,,,,,,,,,
MS-00391/2012,http://www.eleicoes.ibopeinteligencia.com.br/Paginas/Alcides-Bernal-sera-eleito-Prefeito-de-Campo-Grande.aspx,1,p,,,,Alcides Bernal,56,Giroto,34,,,,,,,,,,,,,,
