outro id,tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
,MG-00520/2016,https://www.alfenashoje.com.br/noticia.asp?id_noticia=12469,MG,ALFENAS,1.0,P,1.0,,,LUIZINHO,40,TONINHO MUNHOZ,"19,3",DR. MARCOS EDUARDO,15,ENEIAS REZENDE,"5,2",,,,,,,,,,,,,,,,,,,,,,
,MS-00117/2012,https://bucharadopantanal.blogspot.com/2012/09/,MS,ANASTÁCIO,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES-00077/2012,http://futuranet.ws/wp-content/uploads/2012/09/R_Campanha_Anchieta_201209_Site_V00.pdf,ES,ANCHIETA,1.0,P,0.0,,,MARQUINHOS,"42,3",RENATO LORENCINI,"36,1",,,,,,,,,,,,,,,,,,,,,,,,,,
,MG-00308/2012,https://www.sindojusmg.org.br/site/2013/02/19/conforme-a-lei-de-acesso-a-informacao/,MG,ANDRADAS,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES-00026/2012,http://futuranet.ws/wp-content/uploads/2012/07/R_RedeGazeta_Aracruz_201207_SiteFutura_V002.pdf,ES,ARACRUZ,1.0,P,1.0,,,MARCELO COELHO,"64,1",JONES CAVAGLIERI,"9,2",DOUTORA GILCINEA,"7,5",,,,,,,,,,,,,,,,,,,,,,,,
,ES-00026/2012,http://futuranet.ws/wp-content/uploads/2012/07/R_RedeGazeta_Aracruz_201207_SiteFutura_V002.pdf,ES,ARACRUZ,1.0,P,0.0,,,MARCELO COELHO,"38,2",JONES CAVAGLIERI,"3,5",DOUTORA GILCINEA,1,,,,,,,,,,,,,,,,,,,,,,,,
,ES-00065/2012,http://futuranet.ws/wp-content/uploads/2012/09/R_RedeGazeta_Aracruz_201209_SiteFutura_V001.pdf,ES,ARACRUZ,1.0,P,1.0,,,MARCELO COELHO,"66,8",DOUTORA GILCINEA,"10,4",JONES CAVAGLIERI,"4,5",,,,,,,,,,,,,,,,,,,,,,,,
,ES-00065/2012,http://futuranet.ws/wp-content/uploads/2012/09/R_RedeGazeta_Aracruz_201209_SiteFutura_V001.pdf,ES,ARACRUZ,1.0,P,0.0,,,MARCELO COELHO,"59,9",DOUTORA GILCINEA,"5,2",JONES CAVAGLIERI,"3,2",,,,,,,,,,,,,,,,,,,,,,,,
,ES-00130/2012,http://futuranet.ws/wp-content/uploads/2012/10/Resultados_Eleitoral_Aracruz.pdf,ES,ARACRUZ,1.0,P,0.0,,,MARCELO COELHO,57,DOUTORA GILCINEA,"21,8",JONES CAVAGLIERI,"5,3",,,,,,,,,,,,,,,,,,,,,,,,
,ES-00130/2012,http://futuranet.ws/wp-content/uploads/2012/10/Resultados_Eleitoral_Aracruz.pdf,ES,ARACRUZ,1.0,P,0.0,,,MARCELO COELHO,53,DOUTORA GILCINEA,"13,8",JONES CAVAGLIERI,"4,5",,,,,,,,,,,,,,,,,,,,,,,,
