tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
PE-00065/2012,http://www.blogtvwebsertao.com.br/2012_08_17_archive.html,PE,AFOGADOS DA INGAZEIRA,1.0,P,1.0,,,giza simoes,0.423,jose patriota,0.378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-00065/2012,http://www.blogtvwebsertao.com.br/2012_08_17_archive.html,PE,AFOGADOS DA INGAZEIRA,1.0,P,0.0,,,giza simoes,0.413,jose patriota,0.345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-00112/2012,https://arcoverdedetodos.blogspot.com/2012/09/,PE,AFOGADOS DA INGAZEIRA,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-00112/2012,https://arcoverdedetodos.blogspot.com/2012/09/multipla-faz-nova-pesquisa-em-afogados.html,PE,AFOGADOS DA INGAZEIRA,1.0,P,1.0,,,jose patriota,0.438,giza simoes,0.42,jair da baterias,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-00112/2012,https://iguaracyforcajovem.blogspot.com/,PE,AFOGADOS DA INGAZEIRA,1.0,P,0.0,,,jose patriota,0.403,giza simoes,0.395,jair da baterias,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-07543/2016,http://blogdoedvaldomagalhaes.com.br/index.php/page/1128/,PE,AGRESTINA,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-07543/2016,http://blogdowagnergil.com.br/vs1/tag/agrestina/,PE,AGRESTINA,1.0,P,1.0,,,thiago nunes,0.6,carmen mirian,0.283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-07543/2016,http://blogdowagnergil.com.br/vs1/tag/agrestina/,PE,AGRESTINA,1.0,P,0.0,,,thiago nunes,0.583,carmen mirian,0.271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PE-07543/2016,https://bloggleysonjose.blogspot.com/2016/09/tse-divulgara-na-madrugada-deste-sabado.html,PE,AGRESTINA,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-01306/2016,https://gironolitoral.blogspot.com/2016/09/,PR,ALMIRANTE TAMANDARE,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
