tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
AC-00021/2014,https://linguadevacanoticia.blogspot.com/2014/06/,AC,ACRE,1,G,,,,TIAO VIANA,"41,8",MARCIO BITTAR,"22,5",TIAO BOCALOM,"14,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-00029/2014,https://oaltoacre.com/pequisa-mostra-que-5696-dos-eleitores-acreanos-nao-estao-interessados-em-eleicoes/,AC,ACRE,1,G,1.0,,,TIAO VIANA,"41,84",MARCIO BITTAR,"19,64",TIAO BOCALOM,"17,04",ANTONIO ROCHA,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-00029/2014,https://oaltoacre.com/pequisa-mostra-que-5696-dos-eleitores-acreanos-nao-estao-interessados-em-eleicoes/,AC,ACRE,1,G,0.0,,,TIAO VIANA,"18,4",MARCIO BITTAR,"8,12",TIAO BOCALOM,"6,24",ANTONIO ROCHA,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-00029/2014,https://oaltoacre.com/pequisa-mostra-que-5696-dos-eleitores-acreanos-nao-estao-interessados-em-eleicoes/,AC,ACRE,1,S,0.0,,,GLADSON CAMELI,"18,48",PERPETUA ALMEIDA,"10,92",ROBERTO DUARTE,"1,28",PROFESSOR FORTUNATO,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-00029/2014,https://oaltoacre.com/pequisa-mostra-que-5696-dos-eleitores-acreanos-nao-estao-interessados-em-eleicoes/,AC,ACRE,1,S,1.0,,,GLADSON CAMELI,"37,68",PERPETUA ALMEIDA,"38,16",ROBERTO DUARTE,"2,92",PROFESSOR FORTUNATO,"1,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-00039/2014,https://www.ac24horas.com/2014/09/11/sebastiao-viana-tem-40-marcio-bittar-24-bocalom-16-aponta-nova-pesquisa-da-delta-2/,AC,ACRE,1,G,1.0,,,SEBASTIAO VIANA,"40,4",MARCIO BITTAR,"24,08",TIAO BOCALOM,"16,68",ANTONIO ROCHA,"1,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-00039/2014,https://www.ac24horas.com/2014/09/11/sebastiao-viana-tem-40-marcio-bittar-24-bocalom-16-aponta-nova-pesquisa-da-delta-2/,AC,ACRE,1,G,0.0,,,SEBASTIAO VIANA,"28,28",MARCIO BITTAR,"15,44",TIAO BOCALOM,"11,72",ANTONIO ROCHA,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-00039/2014,https://www.ac24horas.com/2014/09/11/sebastiao-viana-tem-40-marcio-bittar-24-bocalom-16-aponta-nova-pesquisa-da-delta-2/,AC,ACRE,1,S,0.0,,,GLADSON CAMELI,"36,56",PERPETUA ALMEIDA,"18,2",ROBERTO DUARTE,"1,44",PROFESSOR FORTUNATO,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-00039/2014,https://www.ac24horas.com/2014/09/11/sebastiao-viana-tem-40-marcio-bittar-24-bocalom-16-aponta-nova-pesquisa-da-delta-2/,AC,ACRE,1,S,1.0,,,GLADSON CAMELI,48,PERPETUA ALMEIDA,"32,16",ROBERTO DUARTE,"2,4",PROFESSOR FORTUNATO,"1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-00048/2014,https://www.ac24horas.com/2014/09/27/sebastiao-viana-esta-a-menos-de-5-de-uma-vitoria-no-1o-turno-aponta-pesquisa-delta/,AC,ACRE,1,G,,,,SEBASTIAO VIANA,"42,24",MARCIO BITTAR,"26,04",TIAO BOCALOM,"19,12",ANTONIO ROCHA,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
