tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
AC-00987/2018,https://tarauacaagora.blogspot.com/2018/07/sem-minoru-e-sanderson-moura-pesquisa.html,AC,ACRE,1,S,,,,JORGE VIANA,"25,07",MARCIO BITTAR,"19,41",SERGIO PETECAO,"17,38",NEY AMORIM,"10,26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-03985/2018,https://agazetadoacre.com/2018/06/pesquisa-da-agencia-delta-aponta-que-disputa-ao-governo-do-estado-devera-ser-decidida-no-2o-turno/,AC,ACRE,1,G,1.0,,,GLADSON CAMELI,"36,08",MARCUS ALEXANDRE,"31,41",ULYSSES ARAUJO,"5,83",JANAINA FURTADO,"1,91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-03985/2018,https://agazetadoacre.com/2018/06/pesquisa-da-agencia-delta-aponta-que-disputa-ao-governo-do-estado-devera-ser-decidida-no-2o-turno/,AC,ACRE,1,G,0.0,,,GLADSON CAMELI,"9,08",MARCUS ALEXANDRE,"8,33",ULYSSES ARAUJO,"1,33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-03985/2018,https://agazetadoacre.com/2018/06/pesquisa-da-agencia-delta-aponta-que-disputa-ao-governo-do-estado-devera-ser-decidida-no-2o-turno/,AC,ACRE,1,S,,,,JORGE VIANA,"39,25",SERGIO PETECAO,"32,58",MARCIO BITTAR,"31,41",NEY AMORIM,"22,08",MINORU KINPARA,"12,41",SANDERSON MOURA,"6,33",PAULO PEDRAZZA,"1,91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-03985/2018,https://agazetadoacre.com/2018/06/pesquisa-da-agencia-delta-aponta-que-disputa-ao-governo-do-estado-devera-ser-decidida-no-2o-turno/,AC,ACRE,1,PR,,,,JAIR BOLSONARO,"32,50",MARINA SILVA,"18,08",LULA,"17,66",GERALDO ALCKMIN,"5,25",CIRO GOMES,"2,25",FERNANDO COLLOR DE MELO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-05546/2018,http://www.acrelandianews.com.br/2018/10/07/gladson-tem-55-dos-votos-validos-e.html,AC,ACRE,1,G,,,1.0,GLADSON CAMELI,"55,17",MARCUS ALEXANDRE,"36,08",ULYSSES ARAUJO,"8,23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-05546/2018,https://contilnetnoticias.com.br/2018/10/pesquisa-delta-contilnet-para-o-senado-mostra-sergio-petecao-em-1o-e-marcio-bittar-em-2o/,AC,ACRE,1,S,,,,PETECAO,"57,26",MARCIO BITTAR,"44,06",JORGE VIANA,"29,53",NEY AMORIM,"25,86",MINORU KAMPARA,"16,26",PAULO PEDRAZZA,"2,53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-06152/2018,https://contilnetnoticias.com.br/2018/09/gladson-tem-44-das-intencoes-de-voto-e-marcus-alexandre-2793-segundo-nova-pesquisa-delta/,AC,ACRE,1,G,1.0,,,GLADSON CAMELI,44,MARCUS ALEXANDRE,"27,93",ULYSSES ARAUJO,"7,26",JANAINA FURTADO,"1,26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-06152/2018,https://contilnetnoticias.com.br/2018/09/sergio-petecao-lidera-para-o-senado-seguido-de-jorge-viana-marcio-bittar-e-ney-amorim/,AC,ACRE,1,S,1.0,,,PETECAO,"40,80",JORGE VIANA,"36,13",MARCIO BITTAR,"28,06",NEY AMORIM,"26,8",MINORU KINPARA,"15,06",PAULO PEDRAZZA,"2,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-06152/2018,https://contilnetnoticias.com.br/2018/09/sergio-petecao-lidera-para-o-senado-seguido-de-jorge-viana-marcio-bittar-e-ney-amorim/,AC,ACRE,1,S,0.0,,,PETECAO,"16,53",JORGE VIANA,14,NEY AMORIM,"11,53",MARCIO BITTAR,"9,86",MINORU KINPARA,"6,53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-09530/2018,https://www.acjornal.com/delta-confirma-gladson-cameli-12-a-frente-de-marcus-alexandre-e-petecao-vencendo-jorge-viana/,AC,ACRE,1,G,1.0,,,GLADSON CAMELI,"40,46",MARCUS ALEXANDRE,"27,93",ULYSSES ARAUJO,"7,26",JANAINA FURTADO,"2,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-09530/2018,https://www.acjornal.com/delta-confirma-gladson-cameli-12-a-frente-de-marcus-alexandre-e-petecao-vencendo-jorge-viana/,AC,ACRE,1,S,,,,PETECAO,"38,6",JORGE VIANA,"34,4",MARCIO BITTAR,"33,66",NEY AMORIM,"24,66",MINORU KINPARA,"14,2",PEREGRINA,"3,6",PAULO PEDRAZZA,"1,13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-01401/2018,https://amazonasatual.com.br/em-nova-pesquisa-de-intencao-de-voto-wilson-lima-tem-6841-e-amazonino-3159/,AM,AMAZONAS,1,G,,,,WILSON LIMA ,"68,41",AMAZONINO MENDES,"31,59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-04907/2018,http://www.opiniaomanauara.com.br/2018/10/wilson-lima-continua-na-lideranca-ha.html,AM,AMAZONAS,1,G,,,,WILSON LIMA,"58,59",AMAZONINO MENDES,"32,63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-06065/2018,https://amazonasatual.com.br/juridicos-de-omar-e-david-ja-impediram-a-divulgacao-de-oito-pesquisas-eleitorais/,AM,AMAZONAS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-06317/2018,https://emtempo.com.br/politica-amazonas/124081/wilson-lima-dispara-e-tem-70-da-intencao-de-votos-diz-pesquisa,AM,AMAZONAS,1,G,0.0,,,WILSON LIMA ,"64,41",AMAZONINO MENDES,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-06317/2018,https://emtempo.com.br/politica-amazonas/124081/wilson-lima-dispara-e-tem-70-da-intencao-de-votos-diz-pesquisa,AM,AMAZONAS,1,PR,0.0,,,JAIR BOLSONARO,"52,55",FERNANDO HADDAD,"37,20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM-06317/2018,https://emtempo.com.br/politica-amazonas/124081/wilson-lima-dispara-e-tem-70-da-intencao-de-votos-diz-pesquisa,AM,AMAZONAS,1,G,1.0,,,WILSON LIMA,"67,01",AMAZONINO MENDES,"26,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
